target,ablation,oof_r2,n_features
tg,all_features,0.892879518539744,9411
tg,no_morgan,0.8923616483141887,8387
tg,no_rdkit_desc,0.8917918665584529,9216
tg,no_char_ngram,0.8885033870760196,1219
tg,morgan_only,0.8882833622061191,1024
tg,rdkit_only,0.8749046895968164,195
tg,char_only,0.8847531887177659,8192
tg,morgan_rdkit,0.8885033870760196,1219
tg,morgan_char,0.8917918665584529,9216
tg,rdkit_char,0.8923616483141887,8387
egc,all_features,0.8704287472937434,9407
egc,no_morgan,0.8692292042519275,8383
egc,no_rdkit_desc,0.8731186903218142,9216
egc,no_char_ngram,0.8636398558523055,1215
egc,morgan_only,0.8649090765362182,1024
egc,rdkit_only,0.8578336770706079,191
egc,char_only,0.8611943715566979,8192
egc,morgan_rdkit,0.8636398558523055,1215
egc,morgan_char,0.8731186903218142,9216
egc,rdkit_char,0.8692292042519275,8383
egb,all_features,0.8561006110950553,4430
egb,no_morgan,0.8554692501830011,3406
egb,no_rdkit_desc,0.8304893464708919,4281
egb,no_char_ngram,0.8509359921843903,1173
egb,morgan_only,0.8225578441805717,1024
egb,rdkit_only,0.8504562227298031,149
egb,char_only,0.8161641231446155,3257
egb,morgan_rdkit,0.8509359921843903,1173
egb,morgan_char,0.8304893464708919,4281
egb,rdkit_char,0.8554692501830011,3406
ei,all_features,0.7936533213795764,2714
ei,no_morgan,0.7942289652737469,1690
ei,no_rdkit_desc,0.7561586505818829,2591
ei,no_char_ngram,0.7934769180490533,1147
ei,morgan_only,0.7590223299338974,1024
ei,rdkit_only,0.7946602025157898,123
ei,char_only,0.7152172148592862,1567
ei,morgan_rdkit,0.7934769180490533,1147
ei,morgan_char,0.7561586505818829,2591
ei,rdkit_char,0.7942289652737469,1690
eea,all_features,0.8386508195373439,2657
eea,no_morgan,0.8200455145592234,1633
eea,no_rdkit_desc,0.8748161326029584,2534
eea,no_char_ngram,0.8237756941884764,1147
eea,morgan_only,0.8166631895318613,1024
eea,rdkit_only,0.8050723859079116,123
eea,char_only,0.8388947627098684,1510
eea,morgan_rdkit,0.8237756941884764,1147
eea,morgan_char,0.8748161326029584,2534
eea,rdkit_char,0.8200455145592234,1633
nc,all_features,0.7865248669517415,2792
nc,no_morgan,0.7674411238035226,1768
nc,no_rdkit_desc,0.7661408416080495,2664
nc,no_char_ngram,0.7834115704681929,1152
nc,morgan_only,0.7902713322140135,1024
nc,rdkit_only,0.7680034257721304,128
nc,char_only,0.7311787159636558,1640
nc,morgan_rdkit,0.7834115704681929,1152
nc,morgan_char,0.7661408416080495,2664
nc,rdkit_char,0.7674411238035226,1768
eps,all_features,0.725657456816303,2782
eps,no_morgan,0.7219775369745329,1758
eps,no_rdkit_desc,0.6918912703832778,2660
eps,no_char_ngram,0.7326072044957057,1146
eps,morgan_only,0.6537770076379499,1024
eps,rdkit_only,0.7194544568712089,122
eps,char_only,0.6519168532285209,1636
eps,morgan_rdkit,0.7326072044957057,1146
eps,morgan_char,0.6918912703832778,2660
eps,rdkit_char,0.7219775369745329,1758
