smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_ensemble
*NC(=S)OC(*)=S,*NC(=S)OC(*)=S,4.0637,3.9939781719483687,3.928619999999998,4.059881812989884,3.9832963785284505
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,*Oc1ccc(C(F)(F)C(*)(F)F)cc1,1.7411,1.962579842493311,2.106175166666664,2.1943123361994523,2.0746684072820765
*COc1ccc(-c2ccc(*)cc2)s1,*COc1ccc(-c2ccc(*)cc2)s1,1.6377,1.3163803168634676,1.232310500000001,1.2609828913703298,1.2696499136169528
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,3.5136,3.3659161234745274,3.135388249999997,2.8495824046576685,3.152003935257368
*CNCN*,*CNCN*,0.8689,1.1775288624544966,0.7970615,0.7968623531405293,0.9354576752191543
*CC(*)(F)F,*CC(*)(F)F,1.1415,1.4533564838258621,0.931368000000001,0.7571842202774434,1.080310919682112
*COc1ccc(O*)cc1,*COc1ccc(O*)cc1,0.9466,1.118204388072797,0.8229659999999999,0.8755153002689915,0.9427643725368493
*CCNC(*)=S,*CCNC(*)=S,1.6837,1.9306062923330214,2.4506749999999995,2.492779056097399,2.271344045607878
*CC(O*)C(F)(F)F,*CC(O*)C(F)(F)F,0.7546,1.0744863192392995,0.6270726666666664,0.8310351893331078,0.8378809813544283
*CC(=S)C(=O)O*,*CC(=S)C(=O)O*,3.8755,3.330307919753155,4.868680500000007,4.032918549556986,4.112196308157534
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,*Cc1ccc(-c2ccc(C(*)=S)s2)s1,3.2587,3.2497695617453104,3.1172866666666676,3.185469372682446,3.181541691855756
*CCc1ccc(-c2ccc(*)s2)s1,*CCc1ccc(-c2ccc(*)s2)s1,1.9411,1.974197139189332,1.6136970833333344,1.4187613488970485,1.6989939661939861
*Nc1ccc(C(=O)C(*)=S)cc1,*Nc1ccc(C(=O)C(*)=S)cc1,4.0513,3.7860419744997813,3.7211661666666607,3.680457612078296,3.7351916724505774
*Cc1ccc(-c2ccc(N*)s2)s1,*Cc1ccc(-c2ccc(N*)s2)s1,1.6017,1.5275521470894153,1.4305250833333334,1.7264659460474658,1.5354842703652867
*Nc1ccc(C(=O)O*)s1,*Nc1ccc(C(=O)O*)s1,2.6486,2.243417875722335,2.6060989166666717,2.6110558619797546,2.475294568559321
*C(F)C(*)(F)F,*C(F)C(*)(F)F,1.524,1.5415854620823881,1.0396631666666671,1.3946669217518541,1.3058553045118177
*C(=S)OC(=S)c1ccc(*)cc1,*C(=S)OC(=S)c1ccc(*)cc1,3.7508,3.914917785321869,3.2324244999999956,3.6214210556932738,3.572322762998747
*OC(=O)C(=S)C(*)=O,*OC(=O)C(=S)C(*)=O,5.1004,5.092902841632852,4.798184166666654,4.681131832490148,4.877875586671882
*Oc1ccc(C(F)(F)C(*)(F)F)s1,*Oc1ccc(C(F)(F)C(*)(F)F)s1,1.9642,1.9654458657815543,1.8158347500000012,1.9792646829469673,1.9087399406418077
*OC(=O)c1ccc(C(*)=O)cc1,*OC(=O)c1ccc(C(*)=O)cc1,3.2451,2.6732240256389534,2.8981662499999943,2.76272252202618,2.7844367554227265
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,2.3351,2.3069248001718994,2.502653166666669,2.2645264224733674,2.375386184667608
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.0264,2.236938630181117,2.895345083333333,3.011263466428631,2.68304941966126
*CC(=O)c1ccc(C(*)=S)cc1,*CC(=O)c1ccc(C(*)=S)cc1,3.7473,2.8167691904761165,3.0804325833333333,3.00042923515225,2.9656619529025745
*CNCC(*)=O,*CNCC(*)=O,1.6269,2.022183740903986,1.112413333333332,1.2909072445849827,1.4854679495612115
*OC(=S)c1ccc(C(*)=O)s1,*OC(=S)c1ccc(C(*)=O)s1,4.037,3.5174017911494406,3.6213000833333377,3.5484420087815973,3.566345911208094
*CNc1ccc(N*)cc1,*CNc1ccc(N*)cc1,0.54,1.6137663122254096,0.6791689166666667,0.7565248607045936,1.0374534139824985
*Cc1ccc(Cc2ccc(*)s2)s1,*Cc1ccc(Cc2ccc(*)s2)s1,1.174,1.5461165721609202,1.7917718333333361,1.9633100126487242,1.7427573428159269
*Cc1ccc(NO*)cc1,*Cc1ccc(NO*)cc1,0.7333,1.341898930961222,1.166522916666665,1.1928163465758341,1.2365265713694127
