smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_ensemble
*CC(*)C(=O)OCCCSCC,*CC(*)C(=O)OCCCSCC,5.1212,5.831003240495428,5.5969079166666695,5.140696813945611,5.497312471443351
*CC(=O)c1ccc(C(*)=O)s1,*CC(=O)c1ccc(C(*)=O)s1,2.9786,2.6994028141238493,2.8052096666666677,3.1247806243905667,2.8854087944808455
*Cc1ccc(-c2ccc(O*)s2)s1,*Cc1ccc(-c2ccc(O*)s2)s1,2.9968,2.801882606499477,2.914308499999999,2.6759897199304974,2.8201850666441435
*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*CC(*)(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7714,7.059613495371596,5.90660333333333,5.754743980050854,6.066267975752874
*NC(=S)c1ccc(C(*)=S)s1,*NC(=S)c1ccc(C(*)=S)s1,1.6122,1.265026779824395,1.982505916666667,1.4472487223548736,1.6877142034121788
*CC(*)CCC,*CC(*)CCC,7.2705,7.409646673238185,7.741091833333328,7.569951986205148,7.62853554269939
*OC(F)(F)NC(*)(F)F,*OC(F)(F)NC(*)(F)F,8.991,8.944270690175358,9.949293333333355,9.027857830346123,9.483084091386127
*Cc1ccc(C(=O)C(*)=S)cc1,*Cc1ccc(C(=O)C(*)=S)cc1,2.5816,1.838631687444976,2.7603951666666675,1.9326860136077941,2.338205500470698
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,6.1125,7.399833599037707,5.4387508333333345,5.288615516112896,5.743878532986854
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.5479,2.2371260952955083,2.6808899166666618,2.6146206577783957,2.5807347723455423
*NC(=O)C(=S)c1ccc(*)s1,*NC(=O)C(=S)c1ccc(*)s1,0.9512,1.6018456019759642,1.7662769999999979,1.904192893051172,1.7795869901134787
*C(=O)C(=S)OC(*)=S,*C(=O)C(=S)OC(*)=S,1.4146,1.8787278139469743,1.9128359166666655,2.3102948725303727,2.0300659849183544
*Nc1ccc(C(=O)c2ccc(*)s2)s1,*Nc1ccc(C(=O)c2ccc(*)s2)s1,1.7108,2.06128143384817,2.6360963333333336,2.4609747957629624,2.4786559427845485
*Cc1ccc(C(=O)O*)cc1,*Cc1ccc(C(=O)O*)cc1,3.7934,4.196243471364067,4.251772416666668,4.439775177382474,4.300158040968142
*C(=S)OC(=S)c1ccc(*)cc1,*C(=S)OC(=S)c1ccc(*)cc1,2.364,1.5375960919048453,2.1991450000000015,2.0434074902057717,2.0321644805513928
*CCCOC(=O)CCCCCCCCCCC(=O)O*,*CCCOC(=O)CCCCCCCCCCC(=O)O*,6.3683,6.107101902141217,6.232850666666659,6.263140289629616,6.2196976728105575
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,4.8255,1.7931410601795745,4.229459500000001,4.3452877224234046,3.8284513056838345
*Nc1ccc(C(=O)O*)cc1,*Nc1ccc(C(=O)O*)cc1,3.977,3.4139936863273728,3.478576666666669,3.4387512455838998,3.4546342768497196
*Cc1ccc(OC(*)=S)cc1,*Cc1ccc(OC(*)=S)cc1,3.7121,3.4860308803113385,3.1226149166666666,3.1878930875163567,3.2080520788119227
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,*CC(*)(C)C(=O)OCC(F)(F)C(F)F,5.3983,6.589318295693406,6.20654591666667,6.186260247758394,6.268900784864607
*CCc1ccc(Cc2ccc(CCS*)cc2)cc1,*CCc1ccc(Cc2ccc(CCS*)cc2)cc1,4.3552,3.8532044510327537,3.8166588333333356,3.7349587937929334,3.797858518344385
*C(*)C,*C(*)C,7.4047,6.180991311549096,8.14358208333334,8.012620592493887,7.750948372602363
*CC(=O)CC(*)=O,*CC(=O)CC(*)=O,4.6959,4.855214054892844,5.1679085833333325,5.608980168804711,5.248708845916389
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,2.3992,0.29811488268936603,2.042589583333333,2.411858778419587,1.844316574855601
*OC1C(C)(C)C(OC(*)=O)C1(C)C,*OC1C(C)(C)C(OC(*)=O)C1(C)C,6.9495,6.357610005778767,6.117327250000004,6.303532070026828,6.218208802901231
*OCC(F)(F)C(*)(F)F,*OCC(F)(F)C(*)(F)F,8.8494,6.955303514987461,8.533543666666665,8.795533759007345,8.331791881481584
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,1.5003,2.501546415048293,2.042543750000002,1.956424707356759,2.0981398173965577
*NC(=S)Nc1ccc(*)cc1,*NC(=S)Nc1ccc(*)cc1,2.6405,3.892404722619905,3.043511666666666,3.1999342366707366,3.24430500658571
*CC(*)(C)C(=O)OCCC#N,*CC(*)(C)C(=O)OCCC#N,6.2508,6.112744778353459,6.163933750000001,6.332211622008762,6.2069763300396295
*CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O*)cc1,*CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O*)cc1,4.4708,4.723550023896747,4.251931916666664,4.314368239625062,4.3558932211246955
*NC(=O)Oc1ccc(*)s1,*NC(=O)Oc1ccc(*)s1,3.4227,3.0261942361902,3.310147500000002,2.9664996286296037,3.152572773013138
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.5725,3.0684353493401595,4.218759750000001,2.212601634106014,3.389857916087736
*NC(=O)C(=S)c1ccc(*)cc1,*NC(=O)C(=S)c1ccc(*)cc1,1.5619,1.5737750262809955,1.8579526666666666,1.5342083823916772,1.7065145745260644
*CC(*)F,*CC(*)F,8.3099,6.109703787859734,7.899211583333333,7.587261547659397,7.481452383574751
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.7314,2.130674043816852,2.7515186666666676,2.588225466762479,2.5894936388160996
*C(=O)C(F)(F)NC(*)(F)F,*C(=O)C(F)(F)NC(*)(F)F,5.0875,5.581140916697085,5.246864833333335,5.198986852289259,5.291958884133552
*CC(*)OC(C)=O,*CC(*)OC(C)=O,5.9373,7.034114848448546,6.3313590833333295,6.264587938282025,6.436676753366633
*C(F)C(*)(F)OC(F)(F)F,*C(F)C(*)(F)OC(F)(F)F,7.802,7.7256648085567265,7.176650750000008,7.743993559484372,7.451185656033692
*NC(=O)NO*,*NC(=O)NO*,5.0658,4.916620743955557,3.88292441666667,3.8031238381351327,4.043552805040727
*CCC(C)CC(=O)O*,*CCC(C)CC(=O)O*,6.7489,6.140824288578402,6.23686375,6.145135456156853,6.191172101240084
