target,feature,mean_abs_shap
tg,NumHeterocycles,30.585260812304952
tg,morgan_80,21.00073940138062
tg,VSA_EState2,12.342834847807557
tg,morgan_356,10.82946618435991
tg,NumAromaticHeterocycles,8.101933402068333
tg,fr_amidine,6.35795085353017
tg,fr_allylic_oxid,5.0928115707673
tg,EState_VSA6,3.867708044785802
tg,morgan_891,3.1295437166233597
tg,morgan_695,3.047179118208533
tg,ngram_)O,2.6914877854975363
tg,SMR_VSA2,2.5233208809644734
tg,Chi3n,2.4614973634133
tg,ngram_CO,2.357541308930055
tg,EState_VSA2,2.1427289963328917
tg,VSA_EState9,2.0189897141395168
tg,SlogP_VSA11,1.9629793959560173
tg,ngram_c(,1.9126144055764023
tg,EState_VSA5,1.8962196320466227
tg,fr_Nhpyrrole,1.8267987370412009
egc,morgan_356,0.42572290129512147
egc,VSA_EState2,0.40224251080225754
egc,PEOE_VSA3,0.23063049593941198
egc,SlogP_VSA1,0.10865895740753775
egc,SlogP_VSA11,0.10261476279139131
egc,SMR_VSA7,0.06790490371465868
egc,morgan_664,0.04925033086200606
egc,PEOE_VSA2,0.04055141918296143
egc,morgan_875,0.033887288005439074
egc,PEOE_VSA5,0.028994431997389672
egc,fr_quatN,0.02607837667590587
egc,EState_VSA9,0.025349803417882375
egc,PEOE_VSA9,0.024837781477722583
egc,SlogP_VSA2,0.024578580521756387
egc,morgan_4,0.024157196654228365
egc,PEOE_VSA7,0.023393263058785495
egc,PEOE_VSA8,0.02052625488335838
egc,morgan_247,0.020482670104668647
egc,morgan_587,0.02048130169602356
egc,EState_VSA4,0.020415786153801328
egb,VSA_EState1,1.0011466353289193
egb,PEOE_VSA14,0.5203594889802725
egb,EState_VSA11,0.22474424512890723
egb,PEOE_VSA7,0.09489216096556412
egb,EState_VSA10,0.0876590479261333
egb,SlogP_VSA1,0.05155171480623155
egb,SMR_VSA5,0.0478743985768872
egb,EState_VSA1,0.047003329686162956
egb,EState_VSA3,0.04112296778317075
egb,FpDensityMorgan3,0.041102986956217724
