target,method,level,coverage,mean_width,rho_err_unc
tg,split_conformal,0.8,0.8003861935795318,65.81632396549057,
tg,split_conformal,0.9,0.9003137822833696,99.7249031175952,
tg,split_conformal,0.95,0.9502775766352884,137.66462984898544,
tg,ensemble_std,,,,0.2732740112694662
tg,mc_dropout,0.8,0.8003861935795318,17.618123841466417,0.13645400147245734
tg,mc_dropout,0.9,0.9003137822833696,25.834091595339654,0.13645400147245734
tg,mc_dropout,0.95,0.9502775766352884,35.867725522766186,0.13645400147245734
egc,split_conformal,0.8,0.8007889546351085,1.0240712284408944,
egc,split_conformal,0.9,0.900887573964497,1.5053348233867148,
egc,split_conformal,0.95,0.9506903353057199,2.024500229841508,
egc,ensemble_std,,,,0.32267974920686265
egc,mc_dropout,0.8,0.8007889546351085,0.18760189772837263,0.10624663807059728
egc,mc_dropout,0.9,0.900887573964497,0.26617369966450555,0.10624663807059728
egc,mc_dropout,0.95,0.9506903353057199,0.35325572958951856,0.10624663807059728
egb,split_conformal,0.8,0.8041543026706232,1.5236031411557072,
egb,split_conformal,0.9,0.9050445103857567,2.045287100720654,
egb,split_conformal,0.95,0.9554896142433235,2.7451051208118455,
egb,ensemble_std,,,,0.23205882795588337
egb,mc_dropout,0.8,0.8041543026706232,0.19260390989943185,0.21203103561583356
egb,mc_dropout,0.9,0.9050445103857567,0.27528331290451663,0.21203103561583356
egb,mc_dropout,0.95,0.9554896142433235,0.3822036843704537,0.21203103561583356
ei,split_conformal,0.8,0.8063063063063063,1.1024684221985928,
ei,split_conformal,0.9,0.9054054054054054,1.6306228866689876,
ei,split_conformal,0.95,0.954954954954955,1.986266014111208,
ei,ensemble_std,,,,0.10600058898660851
ei,mc_dropout,0.8,0.8063063063063063,0.10305326036332918,0.28686335017118453
ei,mc_dropout,0.9,0.9054054054054054,0.13461243119110963,0.28686335017118453
ei,mc_dropout,0.95,0.954954954954955,0.1841022805428714,0.28686335017118453
eea,split_conformal,0.8,0.8054298642533937,0.9618692490927834,
eea,split_conformal,0.9,0.9049773755656109,1.2997654869860833,
eea,split_conformal,0.95,0.9547511312217195,1.6505163156559788,
eea,ensemble_std,,,,0.1761314996609114
eea,mc_dropout,0.8,0.8054298642533937,0.10999751553772824,0.20975685681568032
eea,mc_dropout,0.9,0.9049773755656109,0.1437005752960483,0.20975685681568032
eea,mc_dropout,0.95,0.9547511312217195,0.1710486174156221,0.20975685681568032
nc,split_conformal,0.8,0.8034934497816594,0.20613571783200788,
nc,split_conformal,0.9,0.9039301310043668,0.36019121409405913,
nc,split_conformal,0.95,0.9563318777292577,0.5092148569638276,
nc,ensemble_std,,,,0.27373717186453894
nc,mc_dropout,0.8,0.8034934497816594,0.027155358526904354,0.36981903210656225
nc,mc_dropout,0.9,0.9039301310043668,0.03281658622042069,0.36981903210656225
nc,mc_dropout,0.95,0.9563318777292577,0.052974778287796086,0.36981903210656225
eps,split_conformal,0.8,0.8034934497816594,1.1227547198804664,
eps,split_conformal,0.9,0.9039301310043668,1.7045161636020072,
eps,split_conformal,0.95,0.9563318777292577,2.383746944553491,
eps,ensemble_std,,,,0.2008204011071918
eps,mc_dropout,0.8,0.8034934497816594,0.1324628226934044,0.271614721253485
eps,mc_dropout,0.9,0.9039301310043668,0.16705733003574666,0.271614721253485
eps,mc_dropout,0.95,0.9563318777292577,0.19987856635880802,0.271614721253485
