target,model_a,model_b,spearman
tg,ridge,et,0.21924181423678005
tg,ridge,lgbm,0.21877670017778447
tg,ridge,shap,0.21675248037659114
tg,et,lgbm,0.4446490283830012
tg,et,shap,0.4554707438194741
tg,lgbm,shap,0.9965687322747379
egc,ridge,et,0.2780291521807302
egc,ridge,lgbm,0.2440000383181798
egc,ridge,shap,0.2435753668361272
egc,et,lgbm,0.4345909668889974
egc,et,shap,0.4383124001974854
egc,lgbm,shap,0.999022264997599
egb,ridge,et,0.41405485489756877
egb,ridge,lgbm,0.24333492567886328
egb,ridge,shap,0.2440585993025726
egb,et,lgbm,0.5085466985286915
egb,et,shap,0.5091330433206759
egb,lgbm,shap,0.9996811767810636
ei,ridge,et,0.4560944986745855
ei,ridge,lgbm,0.24391411300512653
ei,ridge,shap,0.2446953584481612
ei,et,lgbm,0.5419523426502042
ei,et,shap,0.542412421009583
ei,lgbm,shap,0.9993065346829682
eea,ridge,et,0.40667367683056105
eea,ridge,lgbm,0.2353109361697965
eea,ridge,shap,0.23597836026579982
eea,et,lgbm,0.4682235834252207
eea,et,shap,0.4684863198217617
eea,lgbm,shap,0.9997256228605473
nc,ridge,et,0.5219317373631519
nc,ridge,lgbm,0.243851219959935
nc,ridge,shap,0.244638226385287
nc,et,lgbm,0.4610417951905506
nc,et,shap,0.46102810938883465
nc,lgbm,shap,0.9997882922989964
eps,ridge,et,0.5418180484231027
eps,ridge,lgbm,0.23307858752502653
eps,ridge,shap,0.23349563458005373
eps,et,lgbm,0.4409721224784365
eps,et,shap,0.44073000425775405
eps,lgbm,shap,0.9998307084184237
