target,regime,mean_r2,n_folds
tg,G0_random,0.8943989937605075,5
tg,G1_canonical_group,0.8963954524608798,5
tg,G2_scaffold,0.8251023302184898,5
tg,G3_family,-0.40945186541697937,2
tg,G4_low_sim_0.6,0.6197360264453209,1
tg,G5_ultra_low_0.4,0.5623055077970809,1
egc,G0_random,0.875870391529558,5
egc,G1_canonical_group,0.8841924611176832,5
egc,G2_scaffold,0.6978293743465033,5
egc,G3_family,-0.10954640414195427,2
egc,G4_low_sim_0.6,0.6721186275454871,1
egc,G5_ultra_low_0.4,0.622017180132298,1
egb,G0_random,0.8676561870129322,5
egb,G1_canonical_group,0.8644509287969135,5
egb,G2_scaffold,0.6913221569354968,5
egb,G3_family,-0.7916408178618721,2
egb,G4_low_sim_0.6,0.5918087898108876,1
egb,G5_ultra_low_0.4,0.7418213993344379,1
ei,G0_random,0.7904780844415681,5
ei,G1_canonical_group,0.7879666673575256,5
ei,G2_scaffold,0.3879911027653269,5
ei,G3_family,-0.4157080819222839,2
ei,G4_low_sim_0.6,-0.20674505872548754,1
ei,G5_ultra_low_0.4,0.7143774415694226,1
eea,G0_random,0.8491776441703441,5
eea,G1_canonical_group,0.8436656036972524,5
eea,G2_scaffold,0.7596719394824774,5
eea,G3_family,0.6162832141159583,2
eea,G4_low_sim_0.6,0.6387249294672982,1
eea,G5_ultra_low_0.4,0.33844130307871056,1
nc,G0_random,0.7608048971091217,5
nc,G1_canonical_group,0.7568452007057767,5
nc,G2_scaffold,0.6053022364900623,5
nc,G3_family,0.037048419745582595,2
nc,G4_low_sim_0.6,0.4594679146606021,1
nc,G5_ultra_low_0.4,0.7176022188858702,1
eps,G0_random,0.7083884152162512,5
eps,G1_canonical_group,0.7329612018583159,5
eps,G2_scaffold,0.6532256062501913,5
eps,G3_family,0.40757778221692686,2
eps,G4_low_sim_0.6,0.4860971952600205,1
eps,G5_ultra_low_0.4,0.6579512215660459,1
