smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_ensemble
*CCCCCCCCCCCC(=O)N*,*CCCCCCCCCCCC(=O)N*,6.0986,6.0953242939073675,6.1088808333333375,6.0220123716783345,6.047447411157176
*CCCCCCNC(=O)C1CC1(C)C(=O)N*,*CCCCCCNC(=O)C1CC1(C)C(=O)N*,6.1739,4.646255187225843,5.627799583333335,5.754893744864865,5.652262441581967
*CC(C)(C)COC(=O)NC(=O)c1cccc(C(=O)NC(=O)O*)c1,*CC(C)(C)COC(=O)NC(=O)c1cccc(C(=O)NC(=O)O*)c1,4.9585,5.982706975822514,4.806158999999997,4.879334261832844,4.934024260681898
*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3*,*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,2.8474,3.0121950852981176,2.939023833333333,2.9215065748024864,2.9315943494252235
*Oc1ccc(Oc2ccc(NC(=C(C#N)C#N)c3ccc(-c4ccc(-c5ccc(C(Nc6ccc(*)cc6)=C(C#N)C#N)cc5)cc4)cc3)cc2)cc1,*Oc1ccc(Oc2ccc(NC(=C(C#N)C#N)c3ccc(-c4ccc(-c5ccc(C(Nc6ccc(*)cc6)=C(C#N)C#N)cc5)cc4)cc3)cc2)cc1,3.2228,3.4032256686226505,3.0501943333333355,3.2423526309522015,3.2071926130425354
*CC(OC(=O)OCC)C(COC(=O)O*)OC(=O)OCC,*CC(OC(=O)OCC)C(COC(=O)O*)OC(=O)OCC,7.1757,6.153760190862066,6.600199416666662,6.523884239311849,6.517842268641433
*OC(=O)CCCCCCCCCCC(*)=O,*OC(=O)CCCCCCCCCCC(*)=O,6.499,6.143557361517986,6.260521333333328,6.345680352319255,6.312236601468464
*c1ccc(-n2ccc(-c3ccc(-c4ccn(*)n4)cc3)n2)cc1,*c1ccc(-n2ccc(-c3ccc(-c4ccn(*)n4)cc3)n2)cc1,3.3335,3.56328060023547,3.6080399166666672,3.6476574628261735,3.6327295224541336
*CCCOC(=O)N1CCC(*)CC1,*CCCOC(=O)N1CCC(*)CC1,5.7499,5.681483784940523,5.911247166666669,5.853592434844388,5.85605148367988
*CCC=C(*)Cl,*CCC=C(*)Cl,5.461,5.150149568764724,4.892352416666667,4.87328204085016,4.895901669208131
*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,5.6858,5.645215962789255,5.714867083333335,5.743844684927786,5.730514453449337
*CCCCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,*CCCCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,5.1678,5.120138751243583,5.174949416666659,5.056177445068855,5.088584015901788
*CNCN*,*CNCN*,5.1634,5.864734504411932,5.377606583333329,5.694813055457498,5.630524414168824
*CC(C)(C)O*,*CC(C)(C)O*,5.2445,6.602667440223929,5.7629715833333295,5.743872586317039,5.804515250393796
*c1sc(*)c(OCCCCCCCCCCCCCCCC)c1C,*c1sc(*)c(OCCCCCCCCCCCCCCCC)c1C,3.676,2.9817765085968704,2.9428327499999996,2.95804838482599,2.95598225524635
