smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_ensemble
*OC(F)(F)CC(*)(F)F,*OC(F)(F)CC(*)(F)F,9.6085,7.950844136165216,8.825447249999991,8.785666008795932,8.67412738724182
*NOC(=S)O*,*NOC(=S)O*,7.5682,7.113456763028472,6.5596944999999955,7.7133174568649485,7.016954632496599
*Nc1ccc(C(=O)O*)s1,*Nc1ccc(C(=O)O*)s1,6.0364,6.752127042869947,6.32314133333333,6.530354606483064,6.457485242157981
*NC(=O)c1ccc(O*)s1,*NC(=O)c1ccc(O*)s1,6.5697,6.548233696362442,6.407152000000002,6.2570537863715305,6.381427671209326
*CNC(=S)c1ccc(*)s1,*CNC(=S)c1ccc(*)s1,5.8964,5.665626357790603,5.958882250000003,5.689968328124546,5.826280780448371
*OC(F)(F)C(=S)C(*)(F)F,*OC(F)(F)C(=S)C(*)(F)F,7.385,8.158587607192903,7.219215666666667,8.216216173053885,7.687406193990179
*C(=S)C(F)(F)CC(*)(F)F,*C(=S)C(F)(F)CC(*)(F)F,7.4545,8.123116083834185,7.576743583333333,7.16444456772603,7.531250092342949
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,7.5565,7.719508936904107,7.350830749999985,7.672127064167901,7.512161270243333
*NC(=O)NC(*)=O,*NC(=O)NC(*)=O,5.9087,7.143109121294847,7.194139916666656,5.777249886842711,6.732208178851703
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,5.7839,5.9461774962154275,6.020707166666671,6.014249042965998,6.006829618086525
*CCc1ccc(C(*)=S)cc1,*CCc1ccc(C(*)=S)cc1,5.8549,6.015547440031678,5.736511750000005,5.832397710979439,5.81143724581982
*CNC(=S)C(*)=O,*CNC(=S)C(*)=O,6.3386,5.9872997574450615,6.293504333333335,6.489832226148767,6.30787347725062
*Cc1ccc(C(=S)c2ccc(*)s2)s1,*Cc1ccc(C(=S)c2ccc(*)s2)s1,5.9541,5.811470869159814,5.738293583333331,5.670497750854663,5.728172459120891
*CCCc1ccc(*)s1,*CCCc1ccc(*)s1,5.6976,5.516122336906581,5.52996666666666,5.82425120268969,5.6220357939392205
