target,frac_masked,k,r2_baseline,r2_top_shap,r2_random,drop_top_shap,drop_random
tg,0.01,94,0.9784572301923727,0.4091115946854259,0.9740478764590916,0.5693456355069468,0.004409353733281107
tg,0.05,470,0.9784572301923727,0.2533874040724722,0.9497895408494479,0.7250698261199006,0.02866768934292485
tg,0.1,941,0.9784572301923727,0.19491013625429365,0.9106314704478677,0.7835470939380791,0.067825759744505
tg,0.15,1411,0.9784572301923727,0.16716031322040137,0.8976704999035139,0.8112969169719714,0.08078673028885885
tg,0.2,1882,0.9784572301923727,0.14919920644720508,0.8199442996503136,0.8292580237451677,0.15851293054205917
tg,0.3,2823,0.9784572301923727,0.14265684518773591,0.7943062126383765,0.8358003850046368,0.1841510175539962
tg,0.5,4705,0.9784572301923727,0.11471564125797518,0.5493202074465575,0.8637415889343976,0.4291370227458152
egc,0.01,94,0.9696464909126855,-0.24726153948108576,0.9622118050757921,1.2169080303937712,0.00743468583689344
egc,0.05,470,0.9696464909126855,-1.2613524887473222,0.8700458282632267,2.230998979660008,0.09960066264945877
egc,0.1,940,0.9696464909126855,-1.2793433613054965,0.8865839769516368,2.248989852218182,0.08306251396104869
egc,0.15,1411,0.9696464909126855,-1.306913410894023,0.6771643726348202,2.2765599018067086,0.2924821182778653
egc,0.2,1881,0.9696464909126855,-1.3105883101970166,0.43788181129615306,2.2802348011097022,0.5317646796165325
egc,0.3,2822,0.9696464909126855,-1.3505576410274909,0.17582498217355352,2.3202041319401765,0.793821508739132
egc,0.5,4703,0.9696464909126855,-1.3736391219444912,-0.5050751928214744,2.343285612857177,1.47472168373416
egb,0.01,44,0.9704528184107956,0.5102078345448067,0.9677561964075789,0.4602449838659889,0.002696622003216631
egb,0.05,221,0.9704528184107956,0.32190755873890176,0.9657507275650155,0.6485452596718938,0.004702090845780105
egb,0.1,443,0.9704528184107956,0.28847431726092376,0.9367855870097713,0.6819785011498718,0.033667231401024234
egb,0.15,664,0.9704528184107956,0.23625088931575944,0.9382014482891055,0.7342019290950361,0.032251370121690104
egb,0.2,886,0.9704528184107956,0.19714726739737576,0.7145640328349592,0.7733055510134198,0.2558887855758364
egb,0.3,1329,0.9704528184107956,0.1825778485772509,0.8245973930816627,0.7878749698335447,0.14585542532913287
egb,0.5,2215,0.9704528184107956,0.13262073401997732,0.6394863932286243,0.8378320843908182,0.33096642518217123
ei,0.01,27,0.9161856205787913,0.5439118927903812,0.9105787815947242,0.37227372778841006,0.0056068389840671085
ei,0.05,135,0.9161856205787913,0.36963011117393807,0.8973545281232151,0.5465555094048532,0.018831092455576126
ei,0.1,271,0.9161856205787913,0.30649973232924566,0.8816672389031833,0.6096858882495456,0.034518381675607945
ei,0.15,407,0.9161856205787913,0.2975961318485505,0.8293462750417671,0.6185894887302408,0.08683934553702422
ei,0.2,542,0.9161856205787913,0.2849730639737712,0.7871013327603882,0.6312125566050201,0.1290842878184031
ei,0.3,814,0.9161856205787913,0.23054862754096683,0.7806362796474551,0.6856369930378244,0.1355493409313362
ei,0.5,1357,0.9161856205787913,0.2025920820119348,0.6057029992229139,0.7135935385668565,0.31048262135587734
eea,0.01,26,0.9589731496868193,0.7274181404677859,0.9560949554045429,0.2315550092190335,0.002878194282276425
eea,0.05,132,0.9589731496868193,0.5783488974960238,0.9379419270972725,0.38062425219079554,0.021031222589546816
eea,0.1,265,0.9589731496868193,0.497464043403545,0.9200188192659031,0.46150910628327435,0.03895433042091623
eea,0.15,398,0.9589731496868193,0.48598093543174326,0.9100446511818223,0.4729922142550761,0.04892849850499703
eea,0.2,531,0.9589731496868193,0.46476150448704523,0.8383851974711523,0.4942116451997741,0.1205879522156671
eea,0.3,797,0.9589731496868193,0.36342117033023524,0.7930663001180391,0.5955519793565841,0.1659068495687802
eea,0.5,1328,0.9589731496868193,0.3309122223268962,0.5144302577449922,0.6280609273599231,0.44454289194182717
nc,0.01,27,0.946562782206188,0.4960795555794175,0.9449377339518353,0.4504832266267704,0.0016250482543526124
nc,0.05,139,0.946562782206188,0.41005971475778824,0.9250331488226831,0.5365030674483997,0.021529633383504887
nc,0.1,279,0.946562782206188,0.37629572262169353,0.9350767691200581,0.5702670595844944,0.011486013086129843
nc,0.15,418,0.946562782206188,0.36907009785981926,0.8467780246700715,0.5774926843463687,0.09978475753611649
nc,0.2,558,0.946562782206188,0.34823706942734234,0.8055643495273348,0.5983257127788456,0.14099843267885315
nc,0.3,837,0.946562782206188,0.2962147300799791,0.8498251180924441,0.6503480521262088,0.09673766411374385
nc,0.5,1396,0.946562782206188,0.2539812574913358,0.5705428281146638,0.6925815247148521,0.3760199540915241
eps,0.01,27,0.9092954045651531,0.5252417108576712,0.9080282637802746,0.3840536937074819,0.001267140784878551
eps,0.05,139,0.9092954045651531,0.3253603639499837,0.8800111334996721,0.5839350406151694,0.029284271065481038
eps,0.1,278,0.9092954045651531,0.31036481468752375,0.8771925985357221,0.5989305898776294,0.03210280602943105
eps,0.15,417,0.9092954045651531,0.3014075752380314,0.8632007447082666,0.6078878293271217,0.046094659856886544
eps,0.2,556,0.9092954045651531,0.28814278255545334,0.7992078639376008,0.6211526220096998,0.11008754062755233
eps,0.3,834,0.9092954045651531,0.24532372167083594,0.7575912575413639,0.6639716828943172,0.1517041470237892
eps,0.5,1391,0.9092954045651531,0.19506963451120074,0.601948003037274,0.7142257700539524,0.3073474015278791
