target,layer,concept,probe_r2
tg,block1,aromaticity,0.8954563553613021
tg,block1,heavy_atoms,0.9634157419204712
tg,block1,hbond_donors,0.8245470523834229
tg,block1,hbond_acceptors,0.9188723961512247
tg,block1,ring_density,0.8702722188754682
tg,block1,aromatic_bond_frac,0.8812270731389967
tg,block1,polar_atoms,0.6301669604174321
tg,block2,aromaticity,0.8431269768152054
tg,block2,heavy_atoms,0.921538790067037
tg,block2,hbond_donors,0.669526994228363
tg,block2,hbond_acceptors,0.7856132984161377
tg,block2,ring_density,0.8126352864234855
tg,block2,aromatic_bond_frac,0.8259187365904109
tg,block2,polar_atoms,0.4475689585899993
tg,block3,aromaticity,0.7673180053062364
tg,block3,heavy_atoms,0.8801162838935852
tg,block3,hbond_donors,0.4726855754852295
tg,block3,hbond_acceptors,0.6393211483955383
tg,block3,ring_density,0.7434443249001258
tg,block3,aromatic_bond_frac,0.7419165588880093
tg,block3,polar_atoms,0.2703955863290067
egc,block1,aromaticity,0.9005646071572353
egc,block1,heavy_atoms,0.8861268162727356
egc,block1,hbond_donors,0.6440074245134989
egc,block1,hbond_acceptors,0.828380306561788
egc,block1,ring_density,0.7714882397637762
egc,block1,aromatic_bond_frac,0.8915659038429053
egc,block1,polar_atoms,0.521676285717912
egc,block2,aromaticity,0.8638016650475988
egc,block2,heavy_atoms,0.7969084978103638
egc,block2,hbond_donors,0.4908745288848877
egc,block2,hbond_acceptors,0.6633411844571432
egc,block2,ring_density,0.6984357638470303
egc,block2,aromatic_bond_frac,0.8557565806173297
egc,block2,polar_atoms,0.3800735402875886
egc,block3,aromaticity,0.817643171163937
egc,block3,heavy_atoms,0.7512755990028381
egc,block3,hbond_donors,0.3632660508155823
egc,block3,hbond_acceptors,0.52635391553243
egc,block3,ring_density,0.6617396477272203
egc,block3,aromatic_bond_frac,0.8110250218480796
egc,block3,polar_atoms,0.32477931325595266
nc,block1,aromaticity,0.9062666936304108
nc,block1,heavy_atoms,0.9159640471140543
nc,block1,hbond_donors,0.8087877432505289
nc,block1,hbond_acceptors,0.8203311363855997
nc,block1,ring_density,0.8549215557270413
nc,block1,aromatic_bond_frac,0.8888719318673365
nc,block1,polar_atoms,0.7532658135919856
nc,block2,aromaticity,0.8055882293392944
nc,block2,heavy_atoms,0.8263535300890604
nc,block2,hbond_donors,0.5905526677767435
nc,block2,hbond_acceptors,0.3191567063331604
nc,block2,ring_density,0.7832869694910561
nc,block2,aromatic_bond_frac,0.7947254590221077
nc,block2,polar_atoms,0.44299166854198474
nc,block3,aromaticity,0.7542154497988012
nc,block3,heavy_atoms,0.80445663134257
nc,block3,hbond_donors,0.43875962495803833
nc,block3,hbond_acceptors,0.5172563195228577
nc,block3,ring_density,0.6808622869059563
nc,block3,aromatic_bond_frac,0.7285010161532958
nc,block3,polar_atoms,0.5734163999891001
eps,block1,aromaticity,0.9337072322445737
eps,block1,heavy_atoms,0.8448133865992228
eps,block1,hbond_donors,0.7588240504264832
eps,block1,hbond_acceptors,0.8419103821118673
eps,block1,ring_density,0.8715169382526381
eps,block1,aromatic_bond_frac,0.9252492798817702
eps,block1,polar_atoms,0.6885862221974263
eps,block2,aromaticity,0.7380209024648675
eps,block2,heavy_atoms,0.8636930187543234
eps,block2,hbond_donors,0.418817679087321
eps,block2,hbond_acceptors,0.5770646929740906
eps,block2,ring_density,0.6425836482507113
eps,block2,aromatic_bond_frac,0.7155418264622585
eps,block2,polar_atoms,0.7448682611741084
eps,block3,aromaticity,0.750190077619353
eps,block3,heavy_atoms,0.8390150467554728
eps,block3,hbond_donors,0.22912031412124634
eps,block3,hbond_acceptors,0.5819059213002523
eps,block3,ring_density,0.6667675180539799
eps,block3,aromatic_bond_frac,0.7250977437589937
eps,block3,polar_atoms,0.6419276684970056
