smiles,canonical,true_value,oof_ridge,oof_et,oof_lgbm,oof_ensemble
*NC(=O)Oc1ccc(*)s1,*NC(=O)Oc1ccc(*)s1,1.9321,1.9374640628298476,1.9516104166666661,1.940182183139665,1.9418604895388765
*NCNC(=O)OC(=O)NC(*)=O,*NCNC(=O)OC(=O)NC(*)=O,1.7355,1.760002974574305,1.7715918333333311,1.77101201605285,1.7671889589903536
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,1.7814,2.012466348888272,1.9515201666666666,1.9182609237899697,1.959856223077762
*Cc1ccc(OC(*)=S)cc1,*Cc1ccc(OC(*)=S)cc1,1.8273,1.9236717899334785,1.8975476666666649,1.8669879033751096,1.894466840040016
*NC(=O)C(=S)C(*)=O,*NC(=O)C(=S)C(*)=O,2.263,2.077285293608047,2.1260189166666636,2.427512969100098,2.231549502305046
*CNOc1ccc(*)cc1,*CNOc1ccc(*)cc1,1.8294,1.8432314539281478,1.8525599166666655,1.885396029031575,1.8626078939424113
*OC(F)(F)NC(*)(F)F,*OC(F)(F)NC(*)(F)F,1.5936,1.594134690271998,1.566546166666663,1.5699800289950392,1.5778658070965286
*CCO*,*CCO*,1.6377,1.7783180050196545,1.631563083333333,1.6633963821867763,1.6973142316741223
*CCCc1ccc(*)s1,*CCCc1ccc(*)s1,1.7538,1.7642095458127662,1.822668416666665,1.8096031232772845,1.7963198613780424
*Nc1ccc(C(=O)c2ccc(*)s2)s1,*Nc1ccc(C(=O)c2ccc(*)s2)s1,2.5062,2.1356708323360807,2.138966083333335,2.1060904204110558,2.124363700291923
*CC(=S)OC(*)=S,*CC(=S)OC(*)=S,1.9523,2.024199578125702,2.0496213333333353,2.048208374740774,2.039905455651701
*CCC(=O)N*,*CCC(=O)N*,1.7036,1.7365171214573438,1.7075563333333326,1.6843075077045868,1.7084791507450352
*Cc1ccc(Cc2ccc(*)s2)s1,*Cc1ccc(Cc2ccc(*)s2)s1,1.8382,1.7944034673047669,1.895209499999999,1.8122808072211234,1.8251232660099581
*NC(=O)C(=S)O*,*NC(=O)C(=S)O*,2.1173,2.028153786910645,2.0703610833333355,1.9673698307208831,2.013153028615372
*OC(=S)C(F)(F)C(*)(F)F,*OC(=S)C(F)(F)C(*)(F)F,1.7142,1.6854210409080017,1.7822826666666662,1.6806121404406642,1.7059652485940793
*C(F)C(*)(F)F,*C(F)C(*)(F)F,1.5796,1.7510751235171305,1.6078105833333354,1.6099331667506798,1.6601809265323821
*Nc1ccc(Oc2ccc(*)cc2)cc1,*Nc1ccc(Oc2ccc(*)cc2)cc1,1.9297,1.9404292107491103,1.9649226666666657,1.9482194223404579,1.9493000046464781
*OC(=O)C(F)(F)C(*)(F)F,*OC(=O)C(F)(F)C(*)(F)F,1.5879,1.576792045054021,1.5790965000000006,1.57076495451518,1.574867640614071
*Cc1ccc(-c2ccc(O*)s2)s1,*Cc1ccc(-c2ccc(O*)s2)s1,1.9533,1.9900205860072466,1.940051166666666,1.9663548724874678,1.9687508062451236
*CC(=O)Cc1ccc(*)s1,*CC(=O)Cc1ccc(*)s1,1.799,1.8435536610915904,1.8585909166666672,1.86336158247932,1.8551320560208493
*CC(=O)NC(*)=S,*CC(=O)NC(*)=S,1.9255,1.903140443166787,1.9445357499999987,1.9036920445574765,1.9129842378784783
*NC(=O)c1ccc(C(*)=S)cc1,*NC(=O)c1ccc(C(*)=S)cc1,1.971,2.1046886805081653,2.1487731666666656,2.071465629782271,2.1013726966192636
*CC(=O)NC(*)=O,*CC(=O)NC(*)=O,1.7864,1.8108215650487052,1.744688333333334,1.8045122088236836,1.7928796893870276
