target,level,coverage_standard,coverage_shift_aware,n_cal,n_val
tg,0.8,0.8106151990349819,0.8094089264173703,3314,829
tg,0.9,0.9191797346200241,0.9191797346200241,3314,829
tg,0.95,0.9589867310012062,0.9589867310012062,3314,829
egc,0.8,0.8177339901477833,0.8177339901477833,1622,406
egc,0.9,0.9187192118226601,0.9236453201970444,1622,406
egc,0.95,0.9532019704433498,0.9532019704433498,1622,406
egb,0.8,0.8529411764705882,0.8529411764705882,269,68
egb,0.9,0.8823529411764706,0.8823529411764706,269,68
egb,0.95,0.9411764705882353,0.9411764705882353,269,68
ei,0.8,0.8,0.8,177,45
ei,0.9,0.9333333333333333,0.9111111111111111,177,45
ei,0.95,0.9555555555555556,0.9333333333333333,177,45
eea,0.8,0.8888888888888888,0.8666666666666667,176,45
eea,0.9,0.9555555555555556,0.9555555555555556,176,45
eea,0.95,0.9777777777777777,0.9777777777777777,176,45
nc,0.8,0.8478260869565217,0.8260869565217391,183,46
nc,0.9,0.9782608695652174,0.9347826086956522,183,46
nc,0.95,1.0,1.0,183,46
eps,0.8,0.782608695652174,0.782608695652174,183,46
eps,0.9,0.9347826086956522,0.9347826086956522,183,46
eps,0.95,0.9782608695652174,0.9782608695652174,183,46
