iter	Passed	Remaining
0	5	2392
1	9	2116
2	13	2081
3	19	2209
4	23	2124
5	28	2103
6	33	2127
7	37	2089
8	42	2081
9	47	2074
10	51	2045
11	56	2044
12	60	2035
13	65	2025
14	69	2004
15	73	2001
16	77	1974
17	81	1964
18	86	1963
19	90	1949
20	95	1942
21	99	1944
22	104	1947
23	108	1932
24	114	1943
25	118	1939
26	123	1934
27	128	1933
28	132	1920
29	137	1919
30	140	1901
31	146	1910
32	150	1903
33	154	1891
34	159	1890
35	163	1880
36	168	1876
37	171	1863
38	177	1867
39	182	1870
40	186	1862
41	191	1858
42	195	1854
43	200	1851
44	205	1845
45	209	1840
46	213	1833
47	218	1829
48	222	1821
49	227	1816
50	231	1813
51	235	1802
52	240	1800
53	244	1794
54	248	1787
55	253	1783
56	257	1775
57	262	1770
58	266	1763
59	270	1757
60	274	1750
61	278	1742
62	282	1733
63	286	1727
64	290	1721
65	295	1718
66	299	1710
67	303	1705
68	308	1703
69	312	1695
70	316	1689
71	320	1682
72	324	1678
73	330	1678
74	334	1671
75	337	1663
76	342	1660
77	346	1651
78	350	1646
79	354	1637
80	358	1634
81	362	1626
82	366	1619
83	370	1614
84	374	1609
85	378	1601
86	382	1595
87	385	1587
88	390	1585
89	394	1578
90	398	1571
91	402	1564
92	406	1560
93	410	1555
94	415	1551
95	419	1545
96	424	1543
97	428	1537
98	432	1531
99	435	1525
100	440	1521
101	445	1518
102	448	1512
103	452	1506
104	456	1501
105	461	1497
106	465	1491
107	469	1486
108	473	1481
109	477	1475
110	481	1469
111	485	1464
112	488	1458
113	492	1452
114	496	1447
115	500	1441
116	504	1436
117	508	1431
118	512	1425
119	516	1420
120	520	1416
121	526	1414
122	531	1412
123	535	1407
124	539	1403
125	543	1398
126	548	1393
127	552	1390
128	558	1388
129	562	1384
130	566	1379
131	571	1376
132	575	1372
133	580	1368
134	584	1363
135	588	1359
136	593	1355
137	597	1351
138	601	1346
139	605	1341
140	610	1336
141	613	1331
142	617	1326
143	621	1320
144	625	1315
145	629	1310
146	633	1306
147	637	1301
148	643	1299
149	646	1293
150	651	1289
151	655	1284
152	659	1280
153	663	1275
154	668	1272
155	673	1268
156	677	1263
157	682	1261
158	687	1257
