iter	Passed	Remaining
0	4	2126
1	8	1852
2	12	1834
3	16	1864
4	20	1794
5	23	1762
6	27	1740
7	32	1776
8	35	1747
9	39	1747
10	43	1722
11	47	1719
12	50	1700
13	54	1682
14	57	1673
15	61	1656
16	64	1646
17	68	1632
18	72	1635
19	75	1624
20	79	1615
21	82	1605
22	86	1607
23	90	1600
24	93	1596
25	97	1588
26	100	1581
27	104	1572
28	107	1565
29	111	1559
30	115	1560
31	119	1561
32	123	1556
33	127	1555
34	131	1556
35	134	1550
36	138	1547
37	141	1538
38	145	1534
39	148	1527
40	152	1520
41	156	1518
42	159	1511
43	163	1507
44	167	1503
45	170	1497
46	173	1491
47	177	1485
48	181	1482
49	184	1475
50	188	1474
51	191	1469
52	195	1464
53	199	1459
54	202	1455
55	206	1452
56	211	1455
57	215	1453
58	218	1449
59	222	1445
60	226	1442
61	229	1438
62	233	1432
63	236	1428
64	240	1423
65	244	1421
66	248	1418
67	251	1413
68	255	1408
69	258	1405
70	262	1401
71	265	1396
72	270	1397
73	274	1393
74	277	1389
75	281	1383
76	284	1378
77	288	1375
78	291	1369
79	295	1365
80	298	1360
81	302	1356
82	305	1351
83	309	1350
84	313	1347
85	318	1348
86	322	1347
87	327	1345
88	331	1343
89	337	1348
90	343	1353
91	354	1377
92	359	1378
93	363	1376
94	367	1373
95	372	1374
96	376	1370
97	380	1365
98	384	1361
99	387	1356
100	390	1351
101	394	1346
102	398	1341
103	401	1337
104	405	1331
105	409	1327
106	412	1322
107	416	1318
108	419	1313
109	423	1308
110	427	1304
111	431	1300
112	434	1297
113	438	1292
114	442	1287
115	445	1283
116	449	1278
117	453	1275
118	456	1270
119	460	1266
120	464	1262
121	468	1258
122	472	1254
123	475	1250
124	478	1245
125	483	1242
126	486	1237
127	490	1232
128	494	1229
129	497	1225
130	501	1221
131	505	1218
132	509	1214
133	514	1212
134	517	1208
135	521	1204
136	525	1200
137	529	1196
138	532	1192
139	536	1187
140	539	1183
141	543	1178
142	546	1173
143	550	1169
144	553	1165
145	557	1161
146	561	1156
147	564	1152
148	568	1148
149	572	1145
150	576	1142
151	581	1140
152	585	1137
153	589	1133
154	593	1129
155	597	1126
156	600	1121
157	605	1118
158	609	1114
159	612	1110
160	616	1106
161	619	1101
162	623	1097
163	626	1092
164	630	1088
165	633	1084
166	637	1080
167	641	1076
168	644	1071
169	647	1067
170	651	1062
171	654	1058
172	658	1054
173	662	1050
174	665	1046
175	669	1042
176	673	1038
177	676	1033
178	680	1029
179	683	1025
180	687	1021
181	690	1017
182	694	1012
183	697	1008
184	700	1003
185	704	999
186	707	995
187	711	991
188	714	987
189	718	982
190	722	979
191	725	975
192	729	971
193	733	968
194	737	964
195	740	960
196	744	956
197	747	951
198	751	947
199	754	943
200	758	939
201	761	935
202	765	931
203	769	927
204	772	923
205	776	919
206	779	915
207	783	911
208	786	907
209	790	903
210	794	900
211	798	896
212	803	893
213	807	890
214	811	886
215	814	882
216	818	879
217	822	874
218	825	870
219	829	867
220	833	863
221	836	859
222	840	855
223	843	851
224	848	848
225	852	844
226	855	840
227	859	837
228	863	833
229	867	830
230	871	825
231	874	821
232	878	817
233	881	813
234	884	809
235	888	805
236	891	801
237	895	797
238	899	793
239	902	789
240	906	785
241	909	781
242	913	777
243	916	773
244	919	769
245	923	765
246	926	761
247	930	757
248	934	754
249	937	750
250	941	746
251	945	742
252	949	739
253	952	735
254	956	731
255	960	727
256	963	723
257	967	719
258	971	716
259	975	712
260	978	708
261	981	704
262	985	700
263	988	696
264	992	692
265	995	688
266	999	685
267	1003	681
268	1006	677
269	1009	673
270	1013	669
271	1016	665
272	1020	661
273	1023	657
274	1027	654
275	1032	650
276	1035	646
277	1038	642
278	1042	638
279	1046	635
280	1050	631
281	1053	627
282	1057	624
283	1061	620
284	1064	616
285	1068	612
286	1071	608
287	1075	605
288	1078	601
289	1082	597
290	1085	593
291	1089	589
292	1092	585
293	1096	581
294	1100	578
295	1103	574
296	1107	570
297	1111	566
298	1115	563
299	1119	559
300	1123	556
301	1126	552
302	1131	548
303	1134	545
304	1138	541
305	1142	537
306	1145	533
307	1150	530
308	1153	526
309	1157	522
310	1161	519
311	1165	515
312	1169	511
313	1173	508
314	1177	504
315	1181	500
316	1184	496
317	1188	493
318	1192	489
319	1196	486
320	1202	483
321	1206	479
322	1209	475
323	1213	472
324	1217	468
325	1220	464
326	1224	460
327	1228	456
328	1231	453
329	1235	449
330	1239	445
331	1242	441
332	1246	437
333	1250	434
334	1254	430
335	1258	426
336	1261	423
337	1265	419
338	1269	415
339	1273	411
340	1276	408
341	1280	404
342	1284	400
343	1287	396
344	1291	392
345	1294	389
346	1298	385
347	1301	381
348	1305	377
349	1309	374
350	1313	370
351	1316	366
352	1320	362
353	1323	358
354	1327	355
355	1331	351
356	1334	347
357	1338	343
358	1341	340
359	1345	336
360	1348	332
361	1351	328
362	1355	324
363	1359	321
364	1363	317
365	1367	313
366	1370	309
367	1374	306
368	1378	302
369	1381	298
370	1385	294
371	1388	291
372	1392	287
373	1395	283
374	1399	279
375	1402	276
376	1406	272
377	1409	268
378	1413	264
379	1416	260
380	1420	257
381	1423	253
382	1427	249
383	1430	245
384	1434	242
385	1437	238
386	1441	234
387	1444	230
388	1448	227
389	1451	223
390	1455	219
391	1458	215
392	1463	212
393	1466	208
394	1470	204
395	1474	201
396	1478	197
397	1481	193
398	1485	189
399	1489	186
400	1494	182
401	1498	178
402	1502	175
403	1506	171
404	1510	167
405	1513	164
406	1517	160
407	1520	156
408	1524	152
409	1527	149
410	1531	145
411	1534	141
412	1538	137
413	1542	134
414	1545	130
415	1549	126
416	1552	122
417	1556	119
418	1560	115
419	1563	111
420	1567	108
421	1571	104
422	1575	100
423	1578	96
424	1582	93
425	1586	89
426	1590	85
427	1594	81
428	1598	78
429	1602	74
430	1605	70
431	1609	67
432	1613	63
433	1617	59
434	1621	55
435	1625	52
436	1628	48
437	1632	44
438	1635	40
439	1639	37
440	1643	33
441	1646	29
442	1650	26
443	1653	22
444	1657	18
445	1660	14
446	1664	11
