iter	Passed	Remaining
0	5	2416
1	9	2146
2	13	2035
3	17	1976
4	21	1906
5	25	1865
6	29	1836
7	33	1831
8	37	1824
9	41	1825
10	45	1827
11	50	1827
12	53	1811
13	58	1810
14	62	1810
15	67	1822
16	71	1821
17	75	1823
18	79	1814
19	84	1811
20	88	1804
21	93	1811
22	97	1803
23	101	1804
24	105	1801
25	110	1799
26	114	1794
27	118	1787
28	123	1793
29	127	1789
30	131	1783
31	136	1782
32	140	1777
33	145	1776
34	149	1778
35	155	1783
36	160	1790
37	164	1784
38	169	1781
39	173	1781
40	177	1774
41	181	1767
42	185	1758
43	190	1756
44	194	1748
45	198	1742
46	202	1734
47	206	1727
48	210	1720
49	214	1716
50	219	1713
51	223	1711
52	228	1711
53	232	1704
54	236	1697
55	240	1690
56	244	1684
57	249	1685
58	253	1678
59	257	1673
60	261	1669
61	265	1663
62	270	1663
63	274	1658
64	278	1652
65	283	1646
66	287	1641
67	291	1635
68	294	1628
69	298	1622
70	303	1618
71	307	1612
72	311	1607
73	316	1606
74	320	1602
75	325	1599
76	329	1597
77	334	1593
78	338	1588
79	342	1583
80	346	1579
81	350	1574
82	355	1572
83	359	1567
84	364	1565
85	368	1559
86	372	1554
87	376	1548
88	380	1543
89	386	1544
90	390	1538
91	394	1533
92	398	1529
93	402	1523
94	406	1519
95	411	1515
96	414	1509
97	418	1504
98	423	1500
99	427	1496
100	431	1492
101	436	1487
102	440	1483
103	444	1478
104	448	1472
105	452	1467
106	456	1462
107	460	1458
108	464	1453
109	469	1452
110	473	1446
111	477	1442
112	481	1436
113	485	1432
114	490	1428
115	494	1424
116	498	1419
117	502	1414
118	506	1409
119	511	1405
120	515	1400
121	519	1396
122	523	1392
123	528	1388
124	532	1383
125	536	1378
126	540	1375
127	545	1371
128	549	1366
129	553	1363
130	557	1358
131	562	1355
132	566	1350
133	570	1346
134	575	1343
135	579	1338
136	584	1334
137	600	1357
138	605	1355
139	618	1369
140	623	1367
141	629	1365
142	634	1362
143	639	1359
144	644	1355
145	649	1351
146	653	1347
147	657	1342
148	662	1337
149	666	1332
150	670	1327
151	674	1321
152	678	1316
153	681	1310
154	685	1305
155	689	1300
156	694	1295
157	697	1289
158	702	1285
159	706	1280
160	720	1293
161	744	1323
162	756	1331
163	768	1340
164	782	1351
165	804	1376
166	814	1380
167	821	1378
168	834	1387
169	857	1412
170	879	1434
171	886	1433
172	892	1428
173	897	1423
174	902	1418
175	908	1414
176	912	1407
177	917	1401
178	921	1394
179	925	1388
180	930	1382
181	934	1376
182	939	1371
183	945	1366
184	949	1359
185	953	1352
186	957	1346
187	961	1339
188	965	1333
189	969	1326
190	974	1321
191	978	1314
192	982	1308
193	986	1301
194	991	1296
195	995	1290
196	1000	1284
197	1004	1278
198	1008	1271
199	1012	1265
200	1016	1259
201	1022	1255
202	1027	1250
203	1031	1244
204	1035	1237
205	1039	1231
206	1045	1227
207	1049	1220
208	1053	1214
209	1057	1208
210	1061	1201
211	1065	1195
212	1069	1189
213	1073	1183
214	1077	1177
215	1081	1171
216	1085	1165
217	1089	1159
218	1094	1154
219	1098	1148
220	1102	1142
221	1106	1136
222	1111	1131
223	1115	1125
224	1119	1119
225	1123	1113
226	1128	1108
227	1132	1102
228	1137	1097
229	1141	1091
230	1146	1086
231	1150	1080
232	1155	1075
233	1159	1070
234	1164	1065
235	1167	1058
236	1172	1053
237	1176	1047
238	1180	1042
239	1185	1036
240	1189	1031
241	1193	1025
242	1197	1020
243	1201	1014
244	1205	1008
245	1209	1003
246	1213	997
247	1217	991
248	1222	986
249	1225	980
250	1229	974
251	1233	969
252	1237	963
253	1241	958
254	1246	952
255	1251	948
256	1255	942
257	1259	937
258	1264	932
259	1269	927
260	1274	923
261	1279	917
262	1283	912
263	1287	906
264	1291	901
265	1295	895
266	1299	890
