iter	Passed	Remaining
0	4	2126
1	8	1946
2	12	1893
3	16	1836
4	20	1783
5	23	1767
6	27	1759
7	31	1760
8	35	1742
9	39	1744
10	43	1731
11	47	1715
12	50	1703
13	54	1688
14	58	1702
15	62	1699
16	66	1688
17	69	1677
18	73	1666
19	77	1661
20	81	1654
21	84	1643
22	88	1640
23	92	1635
24	95	1628
25	99	1620
26	102	1613
27	106	1606
28	110	1602
29	114	1597
30	117	1589
31	121	1583
32	125	1582
33	128	1578
34	132	1573
35	136	1566
36	139	1562
37	143	1558
38	147	1559
39	151	1553
40	155	1550
41	159	1548
42	163	1545
43	166	1539
44	170	1533
45	173	1527
46	177	1524
47	181	1519
48	184	1513
49	188	1511
50	192	1506
51	196	1501
52	199	1495
53	203	1490
54	207	1487
55	210	1483
56	214	1479
57	218	1474
58	222	1472
59	226	1469
60	229	1465
61	233	1459
62	236	1455
63	240	1451
64	245	1452
65	249	1451
66	254	1453
67	258	1449
68	261	1444
69	265	1440
70	269	1436
71	273	1436
72	278	1438
73	282	1436
74	287	1435
75	291	1433
76	295	1432
77	300	1432
78	304	1427
79	308	1425
80	311	1421
81	315	1415
82	319	1412
83	323	1407
84	326	1403
85	330	1399
86	334	1394
87	338	1391
88	341	1386
89	345	1382
90	349	1377
91	353	1373
92	356	1369
93	360	1364
94	363	1359
95	367	1354
96	370	1349
97	374	1345
98	378	1340
99	381	1336
100	385	1332
101	389	1328
102	392	1323
103	396	1318
104	399	1313
105	403	1310
106	407	1305
107	410	1301
108	414	1297
109	418	1294
110	422	1289
111	425	1284
112	429	1279
113	432	1274
114	436	1270
115	439	1266
116	443	1262
117	447	1258
118	450	1254
119	454	1250
120	458	1245
121	461	1241
122	465	1237
123	469	1233
124	473	1230
125	476	1225
126	480	1221
127	484	1218
128	487	1213
129	491	1209
130	495	1205
131	498	1201
132	502	1197
133	506	1194
134	509	1189
135	513	1184
136	517	1181
137	520	1177
138	524	1173
139	527	1168
140	531	1164
141	535	1161
142	539	1157
143	543	1153
144	546	1149
145	550	1145
146	554	1142
147	558	1138
148	561	1134
149	565	1130
150	568	1126
151	572	1122
152	576	1118
153	580	1114
154	583	1111
155	587	1107
156	591	1103
157	595	1099
158	598	1095
159	602	1092
160	606	1087
161	609	1083
162	613	1079
163	617	1077
164	621	1072
165	624	1068
166	628	1064
167	632	1060
168	635	1057
169	639	1053
170	643	1049
171	647	1046
172	650	1042
173	654	1038
174	658	1035
175	662	1031
176	665	1027
177	669	1023
178	673	1019
179	676	1015
180	680	1011
181	684	1007
182	687	1003
183	691	999
184	694	995
185	698	991
186	701	987
187	705	983
188	709	979
189	712	975
190	716	971
191	720	967
192	723	964
193	727	959
194	731	956
195	734	952
196	738	948
197	742	944
198	745	940
199	749	937
200	753	933
201	756	929
202	760	925
203	764	921
204	767	917
205	771	913
206	774	909
207	778	905
208	782	902
209	786	898
210	790	895
211	793	890
212	797	886
213	800	883
214	804	879
215	807	875
216	811	871
217	815	867
218	818	863
219	822	860
220	826	856
221	829	852
222	833	848
223	836	844
224	840	840
225	844	836
226	848	833
227	851	829
228	855	825
229	858	821
230	862	817
231	866	813
232	870	810
233	874	806
234	877	803
235	881	799
236	885	795
237	889	792
238	893	788
239	896	784
240	900	780
241	904	777
242	907	773
243	911	769
244	915	765
245	919	762
246	923	758
247	926	754
248	930	751
249	934	747
250	937	743
251	941	739
252	945	736
253	949	732
254	952	728
255	956	724
256	959	720
257	963	717
258	967	713
259	971	709
260	974	705
261	978	702
262	982	698
263	986	695
264	990	691
265	993	687
266	997	683
267	1001	680
268	1005	676
269	1009	672
270	1012	668
271	1016	665
272	1020	661
273	1023	657
274	1028	654
275	1031	650
276	1035	646
277	1039	643
278	1042	639
279	1046	635
280	1050	631
281	1054	628
282	1058	624
283	1061	620
284	1065	616
285	1069	613
286	1073	609
287	1077	605
288	1080	602
289	1085	598
290	1088	594
291	1092	591
292	1096	587
293	1100	584
294	1104	580
295	1108	576
296	1112	572
297	1115	569
298	1119	565
299	1123	561
300	1127	558
301	1131	554
302	1135	550
303	1138	546
304	1142	543
305	1146	539
306	1150	536
307	1154	532
308	1157	528
309	1161	524
310	1164	520
311	1168	516
312	1172	513
313	1176	509
314	1180	505
315	1184	502
316	1187	498
317	1191	494
318	1195	490
319	1198	486
320	1202	483
321	1206	479
322	1210	475
323	1214	472
324	1218	468
325	1222	464
326	1226	461
327	1229	457
328	1233	453
329	1237	450
330	1241	446
331	1245	442
332	1249	438
333	1252	435
334	1256	431
335	1260	427
336	1263	423
337	1267	420
338	1271	416
339	1275	412
340	1279	408
341	1283	405
342	1286	401
343	1290	397
344	1293	393
345	1297	389
346	1300	386
347	1304	382
348	1308	378
349	1312	374
350	1316	371
351	1320	367
352	1323	363
353	1327	359
354	1331	356
355	1335	352
356	1338	348
357	1342	345
358	1346	341
359	1349	337
360	1353	333
361	1357	329
362	1361	326
363	1364	322
364	1368	318
365	1372	315
366	1376	311
367	1380	307
368	1384	303
369	1387	300
370	1391	296
371	1395	292
372	1399	288
373	1402	285
374	1406	281
375	1410	277
376	1414	273
377	1417	270
378	1421	266
379	1424	262
380	1428	258
381	1431	254
382	1435	251
383	1439	247
384	1443	243
385	1447	239
386	1451	236
387	1455	232
388	1458	228
389	1462	225
390	1466	221
391	1471	217
392	1475	214
393	1484	210
394	1488	207
395	1492	203
396	1496	199
397	1500	196
398	1504	192
399	1508	188
400	1512	184
401	1517	181
402	1522	177
403	1525	173
404	1529	169
405	1533	166
406	1537	162
407	1541	158
408	1545	154
409	1548	151
410	1552	147
411	1555	143
412	1559	139
