iter	Passed	Remaining
0	4	1824
1	8	1882
2	12	1856
3	16	1801
4	19	1766
5	23	1740
6	27	1743
7	31	1730
8	35	1715
9	39	1720
10	41	1658
11	45	1652
12	49	1655
13	52	1649
14	56	1650
15	60	1642
16	64	1647
17	68	1644
18	72	1650
19	76	1639
20	80	1637
21	83	1631
22	87	1626
23	91	1620
24	95	1617
25	99	1616
26	102	1610
27	106	1605
28	110	1598
29	113	1594
30	117	1590
31	121	1587
32	125	1581
33	129	1578
34	132	1576
35	136	1574
36	140	1568
37	144	1564
38	148	1564
39	152	1560
40	155	1554
41	159	1549
42	163	1546
43	166	1540
44	171	1540
45	174	1536
46	178	1533
47	182	1529
48	186	1527
49	190	1523
50	194	1521
51	198	1517
52	202	1513
53	205	1507
54	209	1503
55	213	1499
56	216	1494
57	220	1491
58	224	1487
59	228	1484
60	231	1479
61	236	1477
62	239	1473
63	243	1470
64	247	1465
65	251	1462
66	254	1457
67	258	1454
68	262	1452
69	266	1447
70	270	1444
71	274	1439
72	278	1437
73	281	1432
74	285	1429
75	289	1424
76	293	1420
77	296	1416
78	300	1413
79	304	1409
80	308	1405
81	312	1401
82	316	1397
83	320	1397
84	323	1387
85	327	1386
86	331	1382
87	335	1379
88	339	1375
89	343	1372
90	346	1367
91	350	1364
92	354	1361
93	358	1358
94	362	1354
95	366	1350
96	370	1346
97	373	1342
98	378	1340
99	381	1336
100	385	1332
101	389	1327
102	393	1324
103	396	1320
104	401	1317
105	404	1313
106	408	1309
107	412	1305
108	416	1301
109	420	1298
110	424	1295
111	428	1291
112	431	1288
113	435	1284
114	440	1282
115	443	1278
116	447	1274
117	451	1270
118	456	1268
119	459	1264
120	463	1260
121	467	1257
122	471	1253
123	475	1251
124	479	1247
125	483	1243
126	487	1239
127	491	1235
128	495	1232
129	499	1228
130	503	1224
131	507	1221
132	510	1217
133	514	1214
134	518	1209
135	522	1206
136	526	1202
137	530	1198
138	533	1194
139	537	1190
140	541	1187
141	545	1182
142	549	1180
143	553	1176
144	557	1172
145	561	1168
146	565	1165
147	568	1160
148	572	1157
149	576	1152
150	580	1148
151	583	1144
152	588	1141
153	591	1137
154	595	1133
155	599	1130
156	603	1125
157	607	1122
158	610	1117
159	614	1113
160	618	1109
161	622	1106
162	626	1102
163	630	1099
164	633	1095
165	637	1090
166	641	1087
167	645	1083
168	649	1080
169	653	1076
170	657	1072
171	661	1069
172	665	1065
173	668	1061
174	673	1057
175	676	1053
176	681	1050
177	685	1046
178	688	1042
179	692	1039
180	696	1035
181	700	1032
182	704	1028
183	708	1024
184	712	1020
185	716	1016
186	720	1012
187	723	1008
188	727	1004
189	731	1001
190	735	996
191	739	993
192	742	988
193	746	985
194	750	981
195	754	978
196	758	974
197	763	971
198	767	967
199	770	963
200	774	959
201	778	955
202	782	951
203	786	947
204	790	944
205	794	941
206	797	936
207	801	932
208	805	929
209	809	925
210	813	921
211	817	917
212	821	913
213	824	909
214	828	905
215	832	901
216	836	897
217	839	893
218	844	890
219	847	886
220	851	882
221	855	878
222	859	874
223	862	870
224	866	866
225	870	862
226	874	858
227	877	854
228	881	850
229	885	846
230	889	842
231	892	839
232	896	835
233	900	831
234	904	827
235	909	824
236	912	820
237	917	816
238	920	812
239	924	809
240	928	805
241	932	801
242	936	798
243	940	794
244	944	790
245	948	786
246	952	782
247	955	778
248	960	775
249	963	771
250	967	767
251	971	763
252	975	759
253	979	755
254	983	752
255	987	748
256	991	744
257	995	740
258	999	736
259	1003	733
260	1006	729
261	1010	725
262	1015	721
263	1018	717
264	1022	714
265	1027	710
266	1030	706
267	1034	702
268	1038	698
269	1042	694
270	1046	691
271	1050	687
272	1053	683
273	1057	679
274	1061	675
275	1065	671
276	1069	667
277	1073	664
278	1076	659
279	1080	655
280	1084	652
281	1088	648
282	1091	644
283	1095	640
284	1099	636
285	1103	632
286	1106	628
287	1110	624
288	1114	621
289	1118	617
290	1122	613
291	1126	609
292	1129	605
293	1133	601
294	1137	597
295	1141	593
296	1145	589
297	1149	586
298	1152	582
299	1156	578
300	1160	574
301	1164	570
302	1168	566
303	1172	562
304	1175	558
305	1179	554
306	1183	551
307	1187	547
308	1191	543
309	1194	539
310	1199	535
311	1202	532
312	1206	528
313	1210	524
314	1214	520
315	1218	516
316	1222	512
317	1226	509
318	1230	505
319	1233	501
320	1237	497
321	1241	493
322	1245	489
323	1249	485
324	1253	481
325	1257	478
326	1260	474
327	1264	470
328	1268	466
329	1272	462
330	1276	458
331	1280	455
332	1284	451
333	1287	447
334	1291	443
335	1295	439
336	1299	435
337	1303	431
338	1307	428
339	1310	424
340	1314	420
341	1318	416
342	1322	412
343	1326	408
344	1330	404
345	1333	400
346	1337	397
347	1341	393
348	1345	389
349	1349	385
350	1353	381
351	1357	377
352	1361	373
353	1364	370
354	1368	366
355	1372	362
356	1375	358
357	1379	354
358	1383	350
359	1387	346
360	1391	342
361	1395	339
362	1398	335
363	1403	331
364	1406	327
365	1410	323
366	1414	319
367	1418	316
368	1422	312
369	1426	308
370	1430	304
371	1433	300
372	1437	296
373	1441	292
374	1445	289
375	1449	285
376	1453	281
377	1457	277
378	1461	273
379	1464	269
380	1468	266
381	1473	262
382	1477	258
383	1481	254
384	1485	250
385	1489	246
386	1493	243
387	1497	239
388	1500	235
389	1504	231
390	1508	227
391	1512	223
392	1516	219
393	1520	216
394	1524	212
395	1528	208
396	1532	204
397	1536	200
398	1540	196
399	1543	192
400	1547	189
401	1551	185
402	1555	181
403	1559	177
404	1562	173
405	1566	169
406	1570	165
407	1573	162
408	1577	158
409	1581	154
410	1585	150
411	1589	146
412	1593	142
413	1597	138
414	1600	135
415	1604	131
416	1608	127
417	1612	123
418	1615	119
419	1619	115
420	1623	111
421	1626	107
422	1630	104
423	1634	100
424	1638	96
425	1642	92
426	1646	88
427	1650	84
428	1654	81
429	1658	77
430	1662	73
431	1666	69
432	1670	65
433	1674	61
434	1677	57
435	1681	53
436	1685	50
437	1689	46
438	1693	42
439	1697	38
440	1701	34
441	1705	30
442	1709	27
443	1713	23
444	1717	19
445	1721	15
446	1725	11
447	1729	7
448	1733	3
449	1737	0
