iter	Passed	Remaining
0	4	2175
1	8	1904
2	12	1806
3	15	1749
4	19	1704
5	22	1683
6	26	1660
7	29	1650
8	33	1634
9	36	1626
10	40	1617
11	43	1604
12	47	1596
13	51	1609
14	55	1598
15	58	1585
16	62	1598
17	66	1589
18	69	1585
19	73	1578
20	76	1571
21	80	1564
22	83	1558
23	88	1568
24	91	1562
25	95	1555
26	99	1553
27	102	1549
28	106	1553
29	110	1548
30	114	1544
31	117	1537
32	121	1531
33	124	1526
34	128	1519
35	131	1514
36	135	1509
37	138	1503
38	142	1498
39	145	1492
40	149	1493
41	153	1490
42	156	1485
43	160	1482
44	164	1477
45	167	1471
46	171	1468
47	174	1463
48	178	1461
49	182	1456
50	185	1451
51	189	1447
52	192	1445
53	196	1440
54	200	1437
55	204	1437
56	207	1433
57	211	1429
58	215	1425
59	218	1420
60	222	1419
61	226	1417
62	230	1413
63	233	1410
64	237	1406
65	240	1401
66	244	1399
67	248	1395
68	252	1391
69	255	1386
70	258	1382
71	262	1378
72	266	1377
73	270	1373
74	274	1370
75	277	1366
76	281	1362
77	285	1359
78	288	1355
79	292	1351
80	295	1348
81	300	1346
82	303	1342
83	307	1337
84	310	1334
85	314	1330
86	317	1326
87	321	1322
88	324	1317
89	329	1316
90	332	1313
91	336	1308
92	339	1304
93	343	1300
94	346	1295
95	351	1295
96	354	1291
97	358	1287
98	362	1284
99	366	1282
100	369	1277
101	373	1274
102	377	1270
103	380	1267
104	384	1262
105	387	1258
106	391	1255
107	395	1253
108	400	1252
109	404	1249
110	408	1248
111	412	1243
112	415	1239
113	420	1238
114	424	1236
115	428	1233
116	432	1230
117	435	1226
118	439	1223
119	444	1221
120	447	1217
121	451	1213
122	455	1210
123	458	1205
124	462	1201
125	465	1197
126	469	1192
127	472	1189
128	476	1185
129	480	1181
130	483	1177
131	487	1173
132	490	1169
133	492	1161
134	496	1158
135	499	1154
136	503	1149
137	507	1146
138	510	1142
139	514	1138
140	517	1134
141	521	1130
142	524	1126
143	528	1122
144	531	1118
145	535	1114
146	539	1111
147	542	1107
148	546	1103
149	549	1099
150	553	1096
151	557	1092
152	560	1088
153	564	1084
154	568	1081
155	572	1078
156	575	1074
157	579	1070
158	582	1066
159	586	1062
160	589	1058
161	593	1055
162	597	1051
163	601	1048
164	605	1045
165	608	1041
166	612	1037
167	616	1035
168	620	1031
169	624	1028
170	628	1025
171	632	1022
172	636	1018
173	640	1015
174	644	1012
175	648	1009
176	652	1006
177	656	1003
178	660	1000
179	664	996
180	667	992
181	671	988
182	674	984
183	678	980
184	681	976
185	685	973
186	689	969
187	692	965
188	696	961
189	700	957
190	703	954
191	707	950
192	711	947
193	716	945
194	721	943
195	726	941
196	733	941
197	741	943
198	746	941
199	750	938
200	755	936
201	760	933
202	765	931
203	770	929
204	774	925
205	780	923
206	784	920
207	789	918
208	794	916
209	799	913
210	803	909
211	807	906
212	811	903
213	816	900
214	821	897
215	824	893
216	828	889
217	832	885
218	835	881
219	839	877
220	842	873
221	846	869
222	850	865
223	854	861
224	857	857
225	861	853
226	865	850
227	869	846
228	872	842
229	876	838
230	880	834
231	883	830
232	887	826
233	891	822
234	895	819
235	899	815
236	903	812
237	907	808
238	910	804
239	914	800
240	918	796
241	922	792
242	926	788
243	929	785
244	933	780
245	937	777
246	940	773
247	944	769
248	948	765
249	952	761
250	955	757
251	959	753
252	963	749
253	966	746
254	970	742
255	974	738
256	977	734
257	982	730
258	985	726
259	989	722
260	993	719
261	998	716
262	1002	712
263	1005	708
264	1009	704
265	1013	700
266	1016	696
267	1020	693
268	1024	689
269	1028	685
270	1031	681
271	1035	677
272	1039	673
273	1042	669
274	1046	666
275	1050	662
276	1053	658
277	1057	654
278	1061	650
279	1064	646
280	1068	642
281	1072	638
282	1075	634
283	1079	630
284	1083	627
285	1086	623
286	1090	619
287	1093	615
288	1097	611
289	1101	607
290	1104	603
291	1108	599
292	1112	595
293	1115	591
294	1119	587
295	1123	584
296	1126	580
297	1131	577
298	1134	573
299	1138	569
300	1141	565
301	1145	561
302	1148	557
303	1153	553
304	1156	549
305	1160	546
306	1164	542
307	1167	538
308	1171	534
309	1174	530
310	1178	526
311	1182	522
312	1186	519
313	1189	515
314	1193	511
315	1197	507
316	1200	503
317	1204	499
318	1208	496
319	1211	492
320	1215	488
321	1219	484
322	1222	480
323	1226	476
324	1229	473
325	1233	469
326	1236	465
327	1240	461
328	1244	457
329	1247	453
330	1251	449
331	1254	445
332	1258	442
333	1261	438
334	1265	434
335	1268	430
336	1272	426
337	1275	422
338	1279	418
339	1283	415
340	1286	411
341	1290	407
342	1293	403
343	1297	399
344	1301	396
345	1305	392
346	1310	388
347	1314	385
348	1319	381
349	1323	378
350	1327	374
351	1331	370
352	1336	367
353	1339	363
354	1343	359
355	1346	355
356	1350	351
357	1354	348
358	1358	344
359	1361	340
360	1365	336
361	1368	332
362	1372	328
363	1375	325
364	1379	321
365	1382	317
366	1386	313
367	1389	309
368	1393	305
369	1397	302
370	1400	298
371	1404	294
372	1407	290
373	1411	286
374	1415	283
375	1418	279
376	1422	275
377	1425	271
378	1429	267
379	1432	263
380	1437	260
381	1441	256
382	1445	252
383	1449	249
384	1453	245
385	1458	241
386	1462	238
387	1466	234
388	1470	230
389	1474	226
390	1478	223
391	1482	219
392	1485	215
393	1489	211
394	1492	207
395	1496	204
396	1500	200
397	1503	196
398	1507	192
399	1511	188
400	1514	185
401	1518	181
402	1522	177
403	1525	173
404	1529	169
405	1533	166
406	1536	162
407	1540	158
408	1543	154
409	1547	150
410	1551	147
411	1555	143
412	1559	139
413	1562	135
414	1566	132
415	1570	128
416	1573	124
417	1577	120
418	1581	116
419	1584	113
420	1588	109
421	1592	105
422	1596	101
423	1599	98
424	1603	94
425	1607	90
426	1611	86
427	1615	83
428	1618	79
429	1622	75
430	1626	71
431	1629	67
432	1633	64
433	1637	60
434	1641	56
435	1644	52
436	1648	49
437	1652	45
438	1656	41
439	1660	37
440	1663	33
441	1667	30
442	1671	26
443	1675	22
444	1679	18
445	1683	15
446	1686	11
447	1690	7
448	1693	3
449	1697	0
