iter	Passed	Remaining
0	5	2557
1	9	2133
2	13	1980
3	17	1912
4	21	1890
5	25	1851
6	28	1820
7	32	1800
8	36	1786
9	40	1773
10	44	1774
11	48	1752
12	52	1757
13	56	1750
14	60	1753
15	64	1762
16	68	1755
17	72	1743
18	76	1736
19	80	1734
20	84	1731
21	88	1717
22	92	1711
23	95	1701
24	100	1701
25	103	1691
26	107	1685
27	112	1690
28	116	1685
29	119	1677
30	123	1667
31	127	1661
32	130	1652
33	134	1647
34	138	1640
35	142	1635
36	145	1626
37	149	1619
38	153	1613
39	156	1608
40	160	1604
41	164	1597
42	168	1596
43	172	1588
44	175	1582
45	179	1578
46	183	1574
47	187	1568
48	191	1567
49	195	1566
50	199	1563
51	203	1556
52	207	1552
53	210	1545
54	214	1539
55	218	1533
56	221	1528
57	225	1525
58	229	1520
59	233	1516
60	236	1510
61	240	1505
62	244	1501
63	248	1497
64	251	1491
65	255	1487
66	259	1483
67	263	1477
68	266	1472
69	270	1467
70	274	1464
71	277	1459
72	281	1455
73	285	1450
74	289	1448
75	293	1444
76	297	1441
77	301	1437
78	305	1433
79	308	1428
80	312	1423
81	316	1419
82	319	1414
83	323	1410
84	327	1405
85	331	1401
86	334	1396
87	339	1394
88	343	1392
89	347	1389
90	351	1386
91	355	1383
92	359	1380
93	363	1377
94	367	1372
95	371	1368
96	374	1364
97	378	1359
98	382	1355
99	385	1350
100	389	1346
101	393	1341
102	397	1339
103	401	1334
104	404	1330
105	408	1325
106	412	1321
107	416	1317
108	419	1313
109	423	1309
110	427	1304
111	430	1300
112	434	1295
113	438	1292
114	442	1288
115	445	1284
116	450	1282
117	454	1278
118	458	1274
119	462	1270
120	465	1266
121	469	1263
122	474	1261
123	478	1258
124	482	1253
125	486	1250
126	490	1246
127	493	1241
128	497	1237
129	500	1232
130	504	1229
131	508	1225
132	512	1221
133	516	1217
134	519	1213
135	523	1208
136	527	1205
137	531	1202
138	535	1199
139	539	1195
140	543	1191
141	547	1188
142	551	1184
143	556	1181
144	559	1177
145	563	1173
146	567	1169
147	570	1164
148	574	1160
149	578	1157
150	582	1152
151	586	1148
152	590	1147
153	594	1142
154	598	1138
155	602	1134
156	605	1130
157	610	1127
158	613	1123
159	617	1119
160	621	1114
161	624	1110
162	628	1106
163	631	1101
164	635	1097
165	639	1093
166	642	1089
167	646	1085
168	650	1081
169	654	1077
170	658	1073
171	661	1069
172	665	1066
173	669	1061
174	672	1057
175	676	1053
176	680	1049
177	685	1046
178	688	1042
179	692	1039
180	696	1035
181	700	1030
182	704	1027
183	708	1024
184	712	1020
185	716	1016
186	719	1012
187	723	1007
188	726	1003
189	730	999
190	734	995
191	737	991
192	742	988
193	745	983
194	749	979
195	752	975
196	756	971
197	760	967
198	763	963
199	767	959
200	771	955
201	775	952
202	778	947
203	782	943
204	786	939
205	790	935
206	793	931
207	797	927
208	800	923
209	804	919
210	808	915
211	811	911
212	815	907
