iter	Passed	Remaining
0	5	2555
1	9	2086
2	13	1977
3	17	1913
4	21	1869
5	25	1863
6	28	1817
7	32	1801
8	36	1780
9	40	1767
10	44	1757
11	47	1737
12	52	1748
13	56	1744
14	59	1738
15	64	1749
16	68	1739
17	72	1728
18	75	1720
19	80	1729
20	84	1718
21	87	1705
22	91	1706
23	95	1694
24	99	1687
25	102	1674
26	106	1667
27	110	1661
28	114	1656
29	117	1645
30	121	1637
31	124	1630
32	128	1623
33	132	1617
34	135	1611
35	140	1613
36	144	1609
37	148	1607
38	152	1604
39	156	1602
40	160	1604
41	164	1598
42	168	1590
43	172	1587
44	175	1583
45	180	1581
46	183	1577
47	188	1576
48	192	1575
49	197	1577
50	201	1579
51	206	1581
52	211	1581
53	215	1580
54	219	1578
55	224	1579
56	228	1574
57	232	1573
58	236	1567
59	240	1561
60	244	1557
61	247	1551
62	251	1544
63	255	1538
64	258	1531
65	262	1527
66	266	1523
67	271	1522
68	274	1516
69	278	1512
70	282	1507
71	286	1503
72	290	1498
73	293	1493
74	297	1488
75	301	1482
76	304	1477
77	308	1471
78	312	1467
79	316	1461
80	319	1457
81	323	1452
82	327	1448
83	331	1446
84	336	1442
85	339	1438
86	344	1435
87	348	1432
88	352	1429
89	356	1426
90	360	1422
91	364	1419
92	369	1416
93	373	1413
94	377	1408
95	380	1404
96	384	1400
97	388	1395
98	391	1389
99	395	1385
100	399	1379
101	403	1375
102	406	1370
103	410	1367
104	414	1361
105	418	1357
106	421	1351
107	425	1346
108	429	1342
109	432	1337
110	436	1332
111	439	1327
112	443	1323
113	447	1318
114	450	1313
115	454	1308
116	457	1303
117	461	1299
118	465	1294
119	469	1290
120	472	1285
121	476	1281
122	480	1277
123	484	1274
124	489	1271
125	493	1268
126	497	1264
127	501	1261
128	505	1257
129	509	1253
130	512	1248
131	517	1245
132	521	1242
133	524	1237
134	530	1237
135	534	1233
136	537	1228
137	541	1224
138	545	1220
139	550	1218
140	554	1216
141	560	1215
142	565	1213
143	570	1213
144	574	1209
145	578	1204
146	582	1199
147	586	1195
148	589	1191
