iter	Passed	Remaining
0	4	1868
1	8	1793
2	11	1750
3	15	1704
4	18	1678
5	22	1655
6	26	1646
7	29	1631
8	33	1624
9	36	1624
10	40	1629
11	44	1612
12	47	1608
13	51	1602
14	55	1597
15	58	1589
16	62	1591
17	66	1590
18	69	1580
19	73	1576
20	76	1569
21	80	1564
22	84	1574
23	88	1570
24	92	1568
25	95	1562
26	99	1557
27	102	1550
28	106	1547
29	109	1538
30	113	1532
31	116	1528
32	120	1524
33	124	1520
34	127	1515
35	131	1516
36	135	1513
37	139	1515
38	143	1510
39	147	1507
40	150	1503
41	154	1499
42	157	1495
43	161	1490
44	165	1486
45	169	1486
46	173	1484
47	176	1479
48	180	1475
49	183	1469
50	187	1464
51	190	1460
52	195	1462
53	198	1457
54	202	1453
55	206	1450
56	209	1446
57	213	1442
58	217	1438
59	220	1433
60	224	1434
61	228	1431
62	232	1427
63	235	1422
64	240	1423
65	243	1418
66	247	1414
67	251	1411
68	254	1407
69	258	1402
70	262	1398
71	266	1397
72	269	1392
73	273	1389
74	277	1386
75	280	1382
76	284	1377
77	288	1373
78	291	1371
79	295	1368
80	299	1364
81	303	1360
82	306	1356
83	310	1352
84	314	1350
85	318	1346
86	321	1342
87	325	1338
88	329	1334
89	332	1331
90	336	1327
91	339	1322
92	343	1318
93	347	1315
94	350	1311
95	354	1308
96	359	1306
97	362	1303
98	366	1298
99	370	1296
100	373	1291
101	377	1288
102	381	1284
103	384	1280
104	388	1276
105	392	1272
106	396	1271
107	400	1267
108	404	1266
109	408	1261
110	411	1257
111	415	1253
112	419	1249
113	422	1245
114	426	1240
115	429	1237
116	433	1232
117	437	1229
118	440	1225
119	444	1221
120	447	1217
121	451	1214
122	455	1210
123	458	1206
124	463	1204
125	466	1200
126	470	1196
127	475	1195
128	479	1192
129	482	1188
130	486	1184
131	490	1180
132	493	1176
133	495	1168
134	499	1164
135	502	1160
136	506	1157
137	510	1154
138	514	1150
139	517	1146
140	521	1142
141	525	1139
142	528	1135
143	532	1131
144	535	1127
145	539	1124
146	543	1120
147	547	1116
148	551	1113
149	554	1109
150	558	1105
151	562	1102
152	565	1098
153	569	1094
154	573	1091
155	576	1087
156	580	1083
157	584	1080
158	588	1076
159	591	1072
160	595	1068
161	599	1065
162	602	1061
163	606	1057
164	610	1054
165	614	1050
166	617	1047
167	621	1042
168	625	1039
169	629	1036
170	632	1032
171	636	1028
172	639	1024
173	643	1021
174	647	1017
175	651	1013
176	654	1009
177	658	1006
178	662	1002
179	665	998
180	669	994
181	672	990
182	676	987
183	680	983
184	683	979
185	687	975
186	690	971
187	694	968
188	698	964
189	701	960
190	705	956
191	709	952
192	712	949
193	716	945
194	720	941
195	724	938
196	727	934
197	731	931
198	735	927
199	739	924
200	743	920
201	746	916
202	750	913
203	754	909
204	758	906
205	761	902
206	765	898
207	768	894
208	772	890
209	776	886
210	779	883
211	783	879
212	786	875
213	791	872
214	794	868
215	798	864
216	801	860
217	805	857
218	808	853
219	812	849
220	816	845
221	819	841
222	823	838
223	827	835
224	832	832
225	837	829
226	841	826
227	844	822
228	849	819
229	853	816
230	858	813
231	862	810
232	867	807
233	872	805
234	877	802
235	896	812
236	913	820
237	934	832
238	946	835
239	950	831
240	957	830
241	969	833
242	974	830
243	979	826
244	982	822
245	986	818
246	990	813
247	993	809
248	997	805
249	1001	801
250	1005	797
251	1009	792
252	1012	788
253	1016	784
254	1019	779
255	1023	775
256	1027	771
257	1030	767
258	1034	763
259	1038	759
260	1042	754
261	1045	750
262	1049	746
263	1053	742
264	1057	738
265	1060	733
266	1064	729
267	1067	725
268	1071	721
269	1075	716
270	1078	712
271	1082	708
272	1086	704
273	1090	700
274	1093	696
275	1097	691
276	1101	687
277	1105	683
278	1109	679
279	1112	675
280	1116	671
281	1120	667
282	1123	663
283	1127	659
284	1131	654
285	1134	650
286	1138	646
287	1142	642
288	1145	638
289	1149	634
290	1152	629
291	1156	625
292	1160	621
293	1164	617
294	1167	613
295	1171	609
296	1175	605
297	1178	601
298	1182	597
299	1186	593
300	1189	588
301	1193	584
302	1197	580
303	1201	577
304	1205	572
305	1208	568
306	1212	564
307	1216	560
308	1219	556
309	1224	552
310	1228	549
311	1232	544
312	1235	540
313	1239	536
314	1243	532
315	1246	528
316	1250	524
317	1253	520
318	1259	517
319	1262	513
320	1267	509
321	1270	505
322	1274	501
323	1278	497
324	1282	493
325	1286	489
326	1290	485
327	1293	481
328	1297	477
329	1301	473
330	1305	469
331	1308	465
332	1312	461
333	1316	457
334	1320	453
335	1323	449
336	1328	445
337	1331	441
338	1335	437
339	1339	433
340	1342	429
341	1346	425
342	1350	421
343	1354	417
344	1357	413
345	1361	409
346	1365	405
347	1368	401
348	1372	397
349	1376	393
350	1379	389
351	1383	385
352	1387	381
353	1390	377
354	1394	373
355	1398	369
356	1402	365
357	1405	361
358	1409	357
359	1413	353
360	1416	349
361	1420	345
362	1424	341
363	1427	337
364	1431	333
365	1435	329
366	1438	325
367	1442	321
368	1445	317
369	1449	313
370	1453	309
371	1457	305
372	1461	301
373	1464	297
374	1468	293
375	1471	289
376	1475	285
377	1479	281
378	1482	277
379	1486	273
380	1489	269
381	1493	265
382	1496	261
383	1500	257
384	1503	253
385	1507	249
386	1511	246
387	1514	242
388	1518	238
389	1521	234
390	1525	230
391	1529	226
392	1533	222
393	1537	218
394	1541	214
395	1544	210
396	1548	206
397	1552	202
398	1555	198
399	1559	194
400	1563	191
401	1566	187
402	1570	183
403	1574	179
404	1577	175
405	1581	171
406	1584	167
407	1588	163
408	1592	159
409	1595	155
410	1599	151
411	1603	147
412	1607	144
413	1611	140
414	1614	136
415	1618	132
416	1622	128
417	1625	124
418	1629	120
419	1632	116
420	1636	112
421	1640	108
422	1643	104
423	1647	101
424	1650	97
425	1654	93
426	1657	89
427	1661	85
428	1665	81
429	1669	77
430	1672	73
431	1677	69
432	1681	66
433	1685	62
434	1689	58
435	1693	54
436	1697	50
437	1700	46
438	1704	42
439	1707	38
440	1711	34
441	1714	31
442	1718	27
443	1721	23
444	1725	19
445	1729	15
446	1732	11
447	1736	7
448	1739	3
449	1743	0
