iter	Passed	Remaining
0	4	2443
1	8	2225
2	12	2141
3	16	2071
4	20	2025
5	24	2007
6	27	1966
7	31	1948
8	36	1976
9	40	1977
10	44	1958
11	47	1951
12	51	1940
13	55	1928
14	59	1932
15	63	1920
16	67	1909
17	70	1897
18	74	1893
19	78	1886
20	82	1878
21	86	1869
22	90	1868
23	93	1861
24	97	1853
25	101	1846
26	105	1841
27	108	1832
28	113	1838
29	117	1833
30	120	1829
31	124	1821
32	128	1819
33	132	1815
34	136	1809
35	140	1805
36	143	1798
37	147	1793
38	151	1786
39	155	1783
40	158	1777
41	162	1771
42	166	1768
43	170	1771
44	174	1765
45	178	1760
46	182	1757
47	186	1753
48	190	1749
49	193	1744
50	197	1738
51	201	1731
52	205	1729
53	209	1728
54	212	1722
55	216	1716
56	220	1713
57	225	1717
58	229	1712
59	232	1706
60	236	1703
61	240	1698
62	244	1695
63	247	1689
64	251	1685
65	255	1681
66	259	1675
67	263	1671
68	266	1666
69	270	1663
70	274	1658
71	278	1654
72	281	1648
73	285	1643
74	289	1639
75	293	1634
76	297	1631
77	300	1627
78	304	1622
79	308	1617
80	312	1617
81	316	1611
82	320	1608
83	324	1604
84	327	1600
85	331	1595
86	335	1591
87	338	1586
88	342	1582
89	346	1578
90	350	1575
91	354	1571
92	357	1566
93	361	1562
94	365	1558
95	369	1555
96	373	1550
97	377	1546
98	380	1541
99	384	1538
100	388	1534
101	393	1533
102	396	1529
103	400	1524
104	404	1521
105	408	1516
106	411	1512
107	415	1507
108	419	1504
109	423	1501
110	427	1496
111	430	1492
112	434	1488
113	438	1483
114	441	1479
115	445	1474
116	449	1470
117	452	1465
118	456	1461
119	460	1457
120	463	1452
121	468	1450
122	471	1445
123	475	1441
124	479	1437
125	482	1432
126	486	1428
127	490	1425
128	494	1421
129	498	1417
130	502	1414
131	505	1409
132	509	1406
133	513	1402
134	517	1398
135	521	1394
136	525	1391
137	528	1387
138	533	1386
139	537	1382
140	541	1377
141	544	1373
142	548	1369
143	552	1365
144	556	1361
145	559	1357
146	563	1353
147	567	1350
148	571	1347
149	575	1343
150	579	1339
151	583	1335
152	586	1331
153	590	1327
154	594	1323
155	598	1319
156	602	1315
157	605	1311
158	609	1307
159	613	1303
160	617	1299
161	621	1295
162	624	1291
163	628	1288
164	632	1284
165	636	1280
166	639	1275
167	643	1271
168	647	1268
169	651	1263
170	654	1259
171	658	1255
172	662	1252
173	666	1248
174	669	1243
175	674	1240
176	677	1236
177	682	1234
178	685	1230
179	689	1226
180	693	1222
181	697	1219
182	701	1215
183	705	1211
184	709	1208
185	714	1205
186	717	1201
187	721	1198
188	725	1194
189	729	1190
190	733	1186
191	737	1182
192	740	1178
193	744	1174
194	748	1171
195	753	1167
196	758	1166
197	763	1164
198	768	1161
199	772	1159
200	776	1155
201	781	1152
202	785	1148
203	789	1145
204	793	1142
205	797	1138
206	802	1136
207	807	1133
208	812	1131
209	817	1129
210	822	1126
211	828	1124
212	832	1121
213	836	1118
214	841	1114
215	845	1111
216	849	1108
217	854	1104
218	858	1101
219	862	1097
220	866	1094
221	871	1090
222	875	1087
223	879	1083
224	883	1079
225	887	1076
226	893	1074
227	897	1071
228	903	1068
229	907	1065
230	912	1062
