iter	Passed	Remaining
0	5	2487
1	10	2340
2	15	2278
3	20	2263
4	25	2236
5	29	2203
6	34	2187
7	39	2169
8	44	2159
9	48	2154
10	53	2146
11	58	2152
12	64	2159
13	69	2178
14	75	2179
15	80	2187
16	85	2174
17	90	2164
18	95	2160
19	100	2155
20	105	2145
21	109	2131
22	114	2127
23	119	2121
24	125	2126
25	130	2120
26	135	2117
27	139	2108
28	144	2099
29	149	2096
30	154	2090
31	159	2087
32	164	2080
33	169	2074
34	174	2065
35	179	2059
36	184	2058
37	189	2054
38	195	2055
39	200	2050
40	204	2043
41	209	2036
42	214	2030
43	219	2023
44	224	2016
45	228	2008
46	233	2001
47	238	1995
48	242	1987
49	247	1981
50	252	1977
51	257	1969
52	262	1963
53	266	1956
54	271	1950
55	276	1943
56	281	1938
57	285	1932
58	290	1926
59	295	1921
60	300	1915
61	305	1909
62	309	1903
63	314	1899
64	319	1894
65	324	1888
66	329	1882
67	335	1882
68	340	1878
69	345	1873
70	350	1868
71	354	1862
72	359	1857
73	364	1851
74	369	1846
75	373	1840
76	378	1834
77	383	1828
78	387	1821
79	392	1815
80	397	1810
81	402	1805
82	407	1802
83	412	1796
84	416	1789
85	421	1784
86	426	1779
87	431	1773
88	436	1770
89	441	1766
90	446	1760
91	451	1757
92	456	1752
93	461	1748
94	466	1743
95	471	1738
96	476	1732
97	480	1726
98	485	1721
99	490	1715
100	494	1709
101	499	1704
102	504	1698
103	508	1692
104	514	1689
105	518	1684
106	523	1679
107	528	1674
108	533	1670
109	538	1664
110	543	1658
111	547	1653
112	552	1648
113	557	1643
114	562	1637
115	566	1632
116	571	1626
117	576	1621
118	581	1617
119	586	1612
120	591	1608
121	597	1605
122	602	1600
123	607	1596
124	612	1593
125	617	1588
126	622	1583
127	626	1577
128	631	1572
129	636	1566
130	641	1562
131	646	1556
132	650	1551
133	655	1545
134	660	1541
135	665	1535
136	670	1531
137	675	1527
138	680	1522
139	685	1516
140	689	1511
141	694	1506
142	698	1500
143	703	1495
144	708	1490
145	713	1484
146	717	1479
147	722	1473
148	727	1469
149	732	1464
150	737	1459
151	741	1454
152	747	1450
153	751	1444
154	756	1440
155	761	1434
156	766	1430
157	771	1426
158	776	1420
159	780	1415
160	785	1410
161	790	1405
162	795	1400
163	799	1394
164	804	1389
165	809	1385
166	814	1380
167	819	1375
168	824	1370
169	829	1365
170	833	1360
171	838	1355
172	843	1350
173	848	1345
174	853	1340
175	858	1336
176	862	1331
177	868	1326
178	872	1321
179	877	1316
180	883	1312
181	888	1307
182	892	1302
183	897	1297
184	902	1292
185	907	1287
186	912	1282
187	916	1277
188	922	1273
189	926	1268
190	931	1263
191	936	1258
192	941	1253
193	945	1247
194	950	1242
195	954	1237
196	960	1233
197	965	1228
198	969	1223
199	974	1218
200	979	1212
201	983	1207
202	988	1202
203	993	1197
204	997	1192
205	1002	1187
206	1007	1182
207	1012	1178
208	1017	1173
209	1022	1168
210	1027	1163
211	1031	1158
212	1036	1153
213	1041	1148
214	1046	1143
215	1050	1138
216	1055	1133
217	1060	1128
218	1064	1122
219	1069	1117
220	1074	1113
221	1080	1109
222	1085	1104
223	1090	1099
224	1094	1094
225	1100	1090
226	1105	1085
227	1110	1081
228	1115	1076
229	1120	1071
230	1125	1066
231	1129	1061
232	1134	1056
233	1139	1051
234	1144	1046
235	1148	1041
236	1153	1036
237	1159	1032
238	1164	1027
239	1168	1022
240	1174	1018
241	1179	1013
242	1183	1008
243	1188	1003
244	1194	999
245	1198	993
246	1203	989
247	1208	984
248	1213	979
249	1217	974
250	1222	968
251	1226	964
252	1231	958
253	1236	953
254	1240	948
255	1245	943
256	1250	938
257	1254	933
258	1259	928
259	1263	923
260	1268	918
261	1273	913
262	1277	908
263	1282	903
264	1286	898
265	1291	893
266	1296	888
267	1300	883
268	1305	878
269	1311	874
270	1316	869
271	1321	864
272	1326	859
273	1331	855
274	1336	850
275	1340	845
276	1345	840
277	1350	835
278	1354	830
279	1359	825
280	1364	820
281	1369	815
282	1374	810
283	1378	805
284	1384	801
285	1388	796
286	1393	791
287	1398	786
288	1403	781
289	1407	776
290	1412	771
291	1417	766
292	1422	762
293	1426	757
294	1431	752
295	1436	747
296	1440	742
297	1445	737
298	1450	732
299	1454	727
300	1459	722
301	1464	717
302	1469	712
303	1474	707
304	1478	703
305	1483	698
306	1488	693
307	1493	688
308	1497	683
309	1502	678
310	1508	674
311	1512	669
312	1517	664
313	1522	659
