iter	Passed	Remaining
0	6	2865
1	11	2569
2	16	2447
3	21	2402
4	26	2340
5	31	2311
6	36	2300
7	41	2279
8	46	2277
9	51	2257
10	56	2254
11	61	2256
12	66	2233
13	71	2233
14	76	2213
15	81	2202
16	86	2198
17	91	2189
18	96	2181
19	101	2186
20	106	2176
21	111	2173
22	116	2161
23	121	2165
24	127	2160
25	132	2159
26	137	2157
27	142	2153
28	147	2144
29	153	2147
30	158	2139
31	163	2132
32	168	2127
33	173	2119
34	178	2115
35	183	2105
36	188	2099
37	193	2094
38	198	2088
39	203	2083
40	207	2073
41	212	2067
42	217	2060
43	222	2056
44	227	2049
45	232	2042
46	237	2038
47	242	2032
48	247	2025
49	252	2020
50	258	2018
51	263	2020
52	269	2016
53	273	2007
54	278	2002
55	284	1998
56	289	1993
57	294	1991
58	300	1988
59	304	1982
60	309	1976
61	314	1968
62	319	1963
63	325	1961
64	330	1955
65	335	1950
66	340	1944
67	344	1937
68	350	1933
69	354	1926
70	361	1928
71	366	1921
72	370	1915
73	375	1910
74	380	1904
75	385	1898
76	390	1893
77	395	1887
78	400	1882
79	405	1875
80	410	1870
81	415	1865
82	420	1859
83	425	1854
84	430	1849
85	435	1844
86	441	1840
87	446	1835
88	451	1830
89	456	1825
90	461	1819
91	466	1814
92	471	1811
93	476	1805
94	481	1800
95	486	1794
96	492	1790
97	497	1785
98	502	1780
99	506	1774
100	511	1768
101	516	1763
102	521	1758
103	526	1752
104	531	1747
105	536	1742
106	541	1736
107	546	1731
108	551	1726
109	556	1721
110	561	1715
111	566	1710
112	571	1705
113	576	1699
114	581	1694
115	586	1688
116	591	1683
117	596	1677
118	601	1672
119	606	1667
120	611	1662
121	616	1657
122	621	1652
123	627	1648
124	632	1643
125	637	1638
126	642	1633
127	647	1628
128	651	1622
129	656	1616
130	661	1611
131	667	1606
132	672	1602
133	677	1596
134	682	1591
135	687	1586
136	692	1581
137	697	1576
138	702	1570
139	707	1565
140	711	1559
141	716	1554
142	722	1550
143	727	1545
144	732	1540
145	737	1534
146	742	1529
147	747	1524
148	751	1518
149	757	1514
150	762	1509
151	767	1505
152	772	1500
153	777	1495
154	783	1491
155	788	1486
156	794	1481
157	798	1476
158	803	1471
159	809	1466
160	814	1461
161	819	1456
162	824	1451
163	829	1447
164	834	1441
165	839	1436
166	846	1434
167	851	1429
168	856	1424
169	861	1419
170	866	1413
171	871	1408
172	876	1403
173	881	1398
174	887	1394
175	892	1389
176	897	1384
177	902	1379
178	907	1373
179	913	1369
180	918	1364
181	923	1359
182	928	1354
183	932	1348
184	937	1343
185	942	1337
186	947	1332
187	952	1327
188	956	1321
189	962	1316
190	967	1311
191	972	1306
192	977	1301
193	983	1297
194	988	1292
195	993	1287
196	999	1283
197	1004	1277
198	1009	1272
199	1013	1267
200	1018	1262
201	1023	1256
202	1028	1251
203	1033	1246
204	1038	1241
205	1043	1235
206	1048	1230
207	1053	1225
208	1058	1220
209	1063	1215
210	1069	1211
211	1077	1209
212	1083	1205
213	1089	1201
214	1094	1196
215	1099	1191
216	1104	1186
217	1110	1181
218	1114	1175
219	1119	1170
220	1124	1165
221	1130	1160
222	1135	1155
223	1141	1151
224	1146	1146
225	1151	1141
226	1156	1136
227	1161	1130
228	1166	1125
229	1171	1120
230	1176	1115
231	1182	1110
232	1186	1105
233	1192	1100
234	1196	1095
235	1201	1089
236	1206	1084
237	1212	1080
238	1218	1075
239	1222	1070
240	1227	1064
241	1232	1059
242	1237	1054
243	1242	1049
244	1248	1044
245	1252	1039
246	1258	1033
247	1262	1028
248	1267	1023
249	1273	1018
250	1277	1013
251	1283	1008
252	1288	1002
253	1293	998
254	1298	993
255	1303	987
256	1308	982
257	1313	977
258	1318	972
259	1323	967
260	1328	962
261	1333	956
262	1338	951
263	1344	947
264	1349	942
265	1354	936
266	1359	931
267	1364	926
268	1369	921
269	1374	916
270	1379	911
271	1384	905
272	1389	900
273	1394	895
274	1399	890
275	1404	885
276	1409	880
277	1414	874
278	1418	869
279	1424	864
280	1430	860
281	1434	854
282	1440	849
283	1445	844
284	1450	839
285	1456	835
286	1462	830
287	1466	825
288	1472	820
289	1477	815
290	1482	809
291	1487	804
292	1492	799
293	1497	794
294	1502	789
295	1506	783
296	1511	778
297	1516	773
298	1521	768
299	1526	763
300	1531	758
301	1536	753
302	1541	747
303	1546	742
304	1551	737
305	1556	732
306	1561	727
307	1565	721
308	1571	716
309	1576	712
310	1581	707
311	1586	701
312	1592	696
313	1597	691
314	1602	686
315	1607	681
316	1612	676
317	1617	671
318	1622	666
319	1627	661
320	1632	656
321	1638	651
322	1643	646
323	1648	641
324	1653	636
325	1658	630
326	1663	625
327	1668	620
328	1673	615
329	1678	610
330	1683	605
331	1688	600
332	1694	595
333	1699	590
334	1704	585
335	1709	580
336	1714	574
337	1720	570
338	1725	564
339	1730	559
340	1735	554
341	1740	549
342	1745	544
343	1751	539
344	1756	534
345	1761	529
346	1767	524
347	1771	519
348	1776	514
349	1781	509
350	1786	503
351	1791	498
352	1796	493
353	1801	488
354	1807	483
355	1812	478
356	1817	473
357	1822	468
358	1827	463
359	1832	458
360	1837	452
361	1842	447
362	1847	442
363	1852	437
364	1857	432
365	1862	427
366	1867	422
367	1872	417
368	1876	411
369	1881	406
370	1886	401
371	1891	396
372	1896	391
373	1901	386
374	1906	381
375	1911	376
376	1916	371
377	1921	365
378	1925	360
379	1931	355
380	1935	350
381	1941	345
382	1945	340
383	1950	335
384	1956	330
385	1960	325
386	1966	320
387	1970	314
388	1976	309
389	1981	304
390	1986	299
391	1991	294
392	1996	289
393	2001	284
394	2006	279
395	2011	274
396	2016	269
397	2021	264
398	2026	259
399	2031	253
400	2036	248
401	2041	243
402	2046	238
403	2051	233
404	2056	228
405	2061	223
406	2066	218
407	2071	213
408	2076	208
409	2081	203
410	2086	198
411	2091	192
412	2096	187
413	2101	182
414	2106	177
415	2111	172
416	2116	167
417	2121	162
418	2126	157
419	2131	152
420	2136	147
421	2141	142
422	2147	137
423	2152	131
424	2157	126
425	2162	121
426	2167	116
427	2172	111
428	2177	106
429	2182	101
430	2187	96
431	2191	91
432	2196	86
433	2201	81
434	2206	76
435	2211	71
436	2217	65
437	2222	60
438	2227	55
