iter	Passed	Remaining
0	6	2986
1	11	2661
2	17	2572
3	22	2481
4	27	2424
5	32	2389
6	37	2344
7	42	2321
8	47	2321
9	52	2301
10	57	2293
11	62	2284
12	67	2275
13	72	2272
14	77	2252
15	82	2249
16	88	2252
17	93	2239
18	98	2240
19	103	2234
20	108	2222
21	113	2216
22	118	2204
23	124	2202
24	129	2198
25	134	2189
26	139	2186
27	144	2173
28	149	2170
29	154	2159
30	159	2150
31	164	2145
32	168	2134
33	174	2130
34	178	2120
35	184	2117
36	189	2114
37	194	2106
38	199	2101
39	204	2097
40	209	2091
41	214	2087
42	219	2081
43	224	2075
44	229	2068
45	234	2060
46	240	2057
47	246	2063
48	251	2054
49	256	2049
50	261	2042
51	265	2034
52	271	2033
53	276	2026
54	281	2020
55	286	2014
56	291	2008
57	296	2006
58	301	1999
59	306	1993
60	312	1989
61	317	1986
62	322	1982
63	328	1981
64	333	1977
65	339	1973
66	343	1966
67	350	1969
68	356	1968
69	362	1969
70	367	1962
71	372	1955
72	377	1951
73	383	1948
74	389	1947
75	394	1941
76	399	1934
77	404	1928
78	409	1923
79	414	1917
80	419	1912
81	424	1905
82	429	1900
83	434	1894
84	439	1888
85	445	1883
86	449	1876
87	454	1870
88	459	1864
89	464	1858
90	469	1852
91	474	1845
92	479	1839
93	485	1837
94	490	1833
95	495	1828
96	500	1822
97	505	1816
98	510	1811
99	515	1804
100	520	1799
101	525	1793
102	530	1787
103	535	1781
104	540	1775
105	545	1769
106	550	1763
107	555	1758
108	560	1753
109	564	1746
110	570	1741
111	576	1738
112	581	1735
113	588	1733
114	593	1728
115	598	1723
116	604	1719
117	610	1717
118	615	1712
119	622	1711
120	630	1713
121	635	1707
122	639	1701
123	644	1695
124	650	1690
125	655	1684
126	660	1680
127	665	1675
128	670	1669
129	675	1663
130	680	1657
131	686	1653
132	691	1648
133	696	1641
134	701	1636
135	706	1630
136	710	1624
137	715	1618
138	720	1612
139	725	1607
140	730	1601
141	735	1596
142	740	1590
143	746	1586
144	751	1580
145	756	1574
146	761	1569
147	766	1563
148	770	1557
149	776	1552
150	781	1546
151	786	1541
152	791	1535
153	796	1529
154	801	1524
155	806	1519
156	810	1513
157	816	1508
158	821	1502
159	826	1497
160	831	1493
161	836	1487
162	841	1481
163	846	1475
164	851	1470
165	857	1466
166	862	1461
167	867	1455
168	872	1450
169	877	1445
170	882	1439
171	887	1434
172	892	1429
173	897	1423
174	902	1417
175	907	1412
176	912	1406
177	917	1401
178	922	1396
179	927	1391
180	932	1385
181	937	1380
182	942	1374
183	947	1369
184	952	1363
185	957	1358
186	961	1352
187	966	1347
188	971	1341
189	976	1336
190	981	1331
191	986	1326
192	991	1320
193	996	1315
194	1001	1309
195	1007	1305
196	1012	1300
197	1017	1295
198	1023	1290
199	1028	1285
200	1033	1280
201	1040	1277
202	1046	1272
203	1051	1268
204	1056	1263
205	1062	1257
206	1066	1252
207	1072	1247
208	1077	1241
209	1082	1236
210	1087	1231
211	1092	1226
212	1097	1221
213	1102	1215
214	1107	1210
215	1112	1205
216	1117	1200
217	1122	1194
218	1127	1189
219	1132	1184
220	1137	1179
221	1142	1173
222	1147	1168
223	1152	1163
224	1157	1157
225	1162	1152
226	1167	1146
227	1172	1141
228	1177	1136
229	1182	1131
230	1188	1126
231	1193	1121
232	1198	1115
233	1203	1110
234	1207	1105
235	1213	1100
236	1218	1094
237	1222	1089
238	1228	1084
239	1232	1078
240	1237	1073
241	1242	1068
242	1247	1062
243	1253	1058
244	1258	1052
245	1263	1047
246	1268	1042
247	1274	1038
248	1279	1032
249	1284	1027
250	1289	1022
251	1295	1017
252	1301	1013
253	1306	1007
254	1312	1003
255	1317	998
256	1322	993
257	1327	988
258	1333	983
259	1338	977
260	1343	973
261	1348	967
262	1353	962
263	1359	957
264	1364	952
265	1370	947
266	1376	943
267	1381	938
268	1387	933
269	1393	928
270	1399	924
271	1404	919
272	1410	914
273	1416	909
274	1421	904
275	1427	900
276	1434	895
277	1439	890
278	1445	886
279	1451	881
280	1457	876
281	1462	871
282	1469	867
283	1475	862
284	1480	857
285	1485	852
286	1491	847
287	1497	842
288	1503	837
289	1509	832
290	1515	828
291	1523	824
292	1528	818
293	1534	814
294	1540	809
295	1545	803
296	1550	798
297	1555	793
298	1560	787
299	1565	782
300	1570	777
301	1576	772
302	1581	767
303	1585	761
304	1590	756
305	1595	750
306	1600	745
307	1605	740
308	1610	734
309	1615	729
310	1620	724
311	1625	718
312	1630	713
313	1635	708
314	1640	702
315	1645	697
316	1650	692
317	1655	687
318	1660	681
319	1665	676
320	1670	671
321	1675	666
322	1680	660
323	1685	655
324	1690	650
325	1696	645
326	1700	639
327	1706	634
328	1711	629
329	1716	624
330	1721	618
331	1725	613
332	1730	608
333	1735	602
334	1740	597
335	1745	592
336	1750	586
337	1755	581
338	1760	576
339	1766	571
340	1771	566
341	1776	561
342	1781	555
343	1786	550
344	1791	545
345	1796	540
346	1801	534
347	1807	529
348	1812	524
349	1817	519
350	1821	513
351	1826	508
352	1831	503
353	1837	498
354	1841	492
355	1846	487
356	1851	482
357	1856	477
358	1862	472
359	1867	466
360	1871	461
361	1876	456
362	1881	450
363	1886	445
364	1892	440
365	1897	435
366	1902	430
367	1907	424
368	1911	419
369	1917	414
370	1921	409
371	1926	403
372	1931	398
373	1936	393
374	1941	388
375	1946	383
376	1951	377
377	1956	372
378	1961	367
379	1965	362
380	1970	356
381	1976	351
382	1981	346
383	1986	341
384	1992	336
385	1996	331
386	2002	326
387	2008	320
388	2013	315
389	2018	310
390	2023	305
391	2028	300
392	2033	294
393	2038	289
394	2043	284
395	2047	279
396	2053	274
397	2058	268
398	2063	263
399	2068	258
400	2073	253
401	2078	248
402	2084	243
403	2089	237
404	2095	232
405	2100	227
406	2105	222
407	2110	217
408	2115	212
409	2120	206
410	2125	201
411	2130	196
412	2135	191
413	2140	186
414	2145	180
415	2151	175
416	2156	170
417	2161	165
418	2166	160
419	2172	155
420	2177	150
421	2182	144
422	2187	139
423	2193	134
424	2199	129
425	2204	124
426	2209	119
427	2214	113
428	2219	108
429	2224	103
430	2229	98
431	2234	93
432	2239	87
433	2244	82
434	2250	77
435	2255	72
436	2260	67
437	2265	62
438	2270	56
439	2275	51
440	2280	46
441	2285	41
442	2290	36
443	2296	31
444	2301	25
445	2306	20
446	2311	15
447	2316	10
448	2321	5
449	2326	0
