iter	Passed	Remaining
0	6	2924
1	11	2638
2	17	2550
3	22	2458
4	27	2412
5	32	2395
6	37	2354
7	42	2339
8	47	2319
9	52	2305
10	57	2297
11	62	2279
12	68	2290
13	74	2317
14	79	2301
15	84	2287
16	89	2284
17	94	2273
18	100	2269
19	104	2257
20	110	2247
21	115	2254
22	121	2261
23	126	2249
24	132	2248
25	137	2239
26	142	2230
27	147	2227
28	152	2216
29	157	2207
30	162	2199
31	167	2190
32	172	2184
33	177	2172
34	182	2166
35	187	2158
36	192	2150
37	197	2143
38	203	2139
39	208	2132
40	213	2128
41	218	2121
42	223	2117
43	229	2114
44	234	2106
45	239	2102
46	244	2097
47	249	2090
48	254	2085
49	259	2078
50	264	2073
51	271	2078
52	276	2070
53	281	2064
54	287	2065
55	292	2057
56	297	2052
57	302	2045
58	307	2037
59	312	2033
60	317	2024
61	322	2019
62	327	2014
63	332	2008
64	338	2002
65	343	1995
66	347	1988
67	352	1982
68	357	1976
69	363	1973
70	368	1968
71	373	1963
72	379	1957
73	384	1954
74	389	1948
75	394	1942
76	399	1935
77	404	1930
78	409	1924
79	414	1918
80	419	1912
81	424	1906
82	430	1901
83	435	1895
84	439	1889
85	445	1883
86	449	1877
87	454	1871
88	460	1866
89	465	1861
90	470	1856
91	475	1850
92	480	1844
93	485	1839
94	490	1833
95	495	1828
96	500	1823
97	505	1817
98	511	1812
99	515	1805
100	521	1801
101	526	1796
102	531	1790
103	537	1788
104	543	1784
105	548	1778
106	553	1774
107	558	1768
108	563	1762
109	568	1758
110	574	1754
111	579	1748
112	584	1743
113	589	1737
114	594	1732
115	599	1727
116	604	1721
117	610	1716
118	615	1711
119	620	1706
120	625	1700
121	630	1695
122	635	1689
123	641	1686
124	646	1679
125	651	1674
126	656	1669
127	661	1663
128	666	1658
129	671	1652
130	676	1647
131	681	1642
132	686	1637
133	691	1631
134	697	1626
135	702	1621
136	707	1616
137	712	1610
138	717	1604
139	722	1599
140	727	1595
141	733	1590
142	739	1587
143	746	1587
144	755	1589
145	764	1592
146	773	1594
147	780	1592
148	787	1590
149	793	1587
150	799	1583
151	805	1579
152	811	1575
153	818	1573
154	825	1570
155	831	1567
156	839	1566
157	847	1565
158	854	1563
159	860	1559
160	866	1554
161	872	1550
162	879	1548
163	886	1545
164	891	1539
165	898	1536
166	903	1531
167	909	1526
168	915	1522
169	921	1517
170	926	1511
171	931	1506
172	937	1501
173	942	1495
174	948	1490
175	954	1485
176	959	1480
177	966	1476
178	974	1475
179	979	1469
180	984	1463
181	989	1457
182	994	1451
183	999	1445
184	1004	1438
185	1009	1432
186	1014	1426
187	1019	1420
188	1024	1414
189	1029	1408
190	1034	1402
191	1039	1396
192	1044	1391
193	1050	1386
194	1055	1380
195	1061	1375
196	1066	1369
197	1071	1363
198	1076	1358
199	1082	1352
200	1087	1347
201	1092	1341
202	1097	1335
203	1102	1329
204	1107	1323
205	1112	1317
206	1117	1311
207	1122	1305
208	1127	1300
209	1133	1295
210	1138	1290
211	1144	1284
212	1149	1279
213	1154	1273
214	1159	1267
215	1164	1261
216	1169	1255
217	1174	1249
218	1179	1243
219	1184	1238
220	1189	1232
221	1194	1226
222	1199	1220
223	1204	1215
224	1209	1209
225	1214	1204
226	1219	1198
227	1224	1192
228	1230	1187
229	1235	1182
230	1240	1176
231	1246	1171
232	1251	1165
233	1255	1159
234	1260	1153
235	1265	1147
236	1270	1142
237	1275	1136
238	1280	1130
239	1285	1124
240	1290	1118
241	1294	1112
242	1299	1107
243	1304	1101
244	1309	1095
245	1313	1089
246	1318	1083
247	1323	1077
248	1328	1072
249	1333	1067
250	1338	1061
251	1344	1056
252	1349	1050
253	1354	1044
254	1359	1039
