iter	Passed	Remaining
0	6	2878
1	11	2520
2	16	2411
3	21	2351
4	25	2307
5	30	2257
6	35	2235
7	40	2235
8	45	2246
9	50	2240
10	56	2252
11	61	2232
12	65	2216
13	71	2211
14	75	2196
15	80	2186
16	86	2190
17	90	2180
18	95	2170
19	100	2159
20	104	2144
21	109	2135
22	114	2126
23	119	2121
24	124	2109
25	128	2103
26	133	2096
27	139	2096
28	143	2086
29	148	2077
30	153	2071
31	158	2067
32	163	2060
33	167	2051
34	172	2047
35	177	2040
36	182	2039
37	187	2033
38	192	2028
39	197	2025
40	202	2017
41	207	2010
42	211	2003
43	216	1999
44	222	2002
45	227	1997
46	232	1997
47	237	1990
48	242	1983
49	247	1976
50	251	1970
51	256	1964
52	261	1957
53	266	1951
54	271	1947
55	276	1941
56	281	1942
57	286	1938
58	291	1934
59	296	1927
60	301	1923
61	307	1922
62	311	1916
63	316	1910
64	321	1905
65	326	1901
66	331	1896
67	336	1891
68	341	1886
69	346	1880
70	351	1876
71	356	1871
72	361	1866
73	366	1860
74	370	1853
75	375	1848
76	380	1843
77	385	1836
78	389	1831
79	394	1825
80	400	1826
81	405	1820
82	410	1816
83	415	1810
84	420	1804
85	425	1800
86	430	1794
87	434	1788
88	439	1782
89	443	1775
90	448	1770
91	454	1766
92	459	1762
93	464	1759
94	469	1754
95	474	1748
96	479	1744
97	484	1738
98	488	1733
99	493	1728
100	498	1723
101	503	1717
102	508	1712
103	512	1706
104	517	1700
105	522	1695
106	527	1691
107	532	1687
108	537	1681
109	542	1676
110	547	1671
111	553	1669
112	558	1665
113	564	1662
114	569	1658
115	574	1652
116	578	1646
117	583	1642
118	588	1637
119	593	1632
120	598	1627
121	603	1623
122	608	1618
123	613	1612
124	618	1607
125	623	1602
126	627	1597
127	632	1591
128	637	1585
129	642	1580
130	646	1574
131	651	1570
132	656	1565
133	661	1560
134	666	1554
135	670	1548
136	675	1542
137	681	1540
138	686	1536
139	691	1531
140	696	1527
141	701	1521
142	707	1518
143	711	1512
144	717	1508
145	722	1503
146	726	1498
147	732	1494
148	737	1490
149	742	1485
150	747	1481
151	752	1475
152	758	1471
153	762	1466
154	767	1461
155	772	1455
156	777	1451
157	782	1445
158	787	1440
159	791	1434
160	796	1430
161	801	1425
162	806	1420
163	811	1415
164	818	1413
165	823	1408
166	828	1404
167	833	1398
168	838	1394
169	843	1388
170	848	1384
171	853	1379
172	858	1375
173	863	1370
174	869	1366
175	874	1361
176	880	1357
177	886	1354
178	892	1351
179	898	1347
180	903	1342
181	908	1338
182	913	1332
183	917	1326
184	922	1321
185	926	1315
186	931	1309
187	935	1304
188	940	1299
189	945	1294
190	950	1288
191	955	1283
192	959	1278
193	965	1273
194	969	1268
195	974	1263
196	980	1259
197	985	1254
198	990	1249
199	996	1245
200	1000	1239
201	1006	1235
202	1011	1230
203	1015	1224
204	1020	1219
205	1025	1214
206	1031	1210
207	1035	1204
208	1040	1199
209	1045	1194
210	1049	1189
211	1054	1183
212	1059	1178
213	1064	1173
214	1070	1169
215	1075	1164
216	1080	1159
217	1085	1154
218	1090	1150
219	1094	1144
220	1100	1139
221	1105	1134
222	1109	1129
223	1114	1124
224	1118	1118
225	1123	1113
226	1128	1108
227	1133	1103
228	1138	1098
229	1143	1093
230	1147	1087
231	1152	1083
232	1157	1078
233	1162	1073
234	1167	1068
235	1172	1063
236	1177	1058
237	1182	1053
238	1187	1048
239	1192	1043
240	1196	1037
241	1201	1032
242	1206	1028
243	1211	1023
244	1217	1018
245	1223	1014
246	1228	1009
247	1232	1004
248	1238	999
249	1243	994
250	1248	989
251	1252	984
252	1257	979
253	1263	974
254	1268	969
255	1273	964
256	1278	959
257	1282	954
258	1287	949
259	1293	945
260	1298	940
261	1303	935
262	1307	929
263	1312	924
264	1317	919
265	1321	914
266	1326	909
267	1331	904
268	1336	899
269	1341	894
270	1345	888
271	1350	883
272	1355	878
273	1359	873
274	1364	868
275	1369	863
276	1374	858
277	1379	853
278	1384	848
279	1389	843
280	1394	838
281	1399	833
282	1404	828
283	1409	823
284	1414	818
285	1418	813
286	1423	808
287	1428	803
288	1433	798
289	1437	793
290	1442	788
291	1447	783
292	1452	778
293	1457	773
294	1462	768
295	1467	763
296	1472	758
297	1476	753
298	1481	748
299	1486	743
300	1491	738
301	1496	733
302	1501	728
303	1506	723
304	1512	718
305	1517	713
306	1521	708
307	1526	703
308	1531	698
309	1536	693
310	1541	688
311	1546	683
312	1551	679
313	1556	674
314	1561	669
315	1566	664
316	1571	659
317	1576	654
318	1581	649
319	1587	644
320	1591	639
321	1596	634
322	1601	629
323	1606	624
324	1611	619
325	1617	615
326	1622	610
327	1627	605
328	1632	600
329	1636	595
330	1641	590
331	1646	585
332	1651	580
333	1656	575
334	1660	570
335	1665	565
336	1670	560
337	1675	555
338	1680	550
339	1685	545
340	1690	540
341	1695	535
342	1700	530
343	1705	525
344	1710	520
345	1715	515
346	1719	510
347	1724	505
348	1729	500
349	1734	495
350	1739	490
351	1743	485
352	1748	480
353	1754	475
354	1759	470
355	1764	465
356	1769	461
357	1774	456
358	1779	451
359	1784	446
360	1789	441
361	1794	436
362	1798	431
363	1803	426
364	1808	421
365	1814	416
366	1819	411
367	1823	406
368	1828	401
369	1833	396
370	1838	391
371	1843	386
372	1847	381
373	1853	376
374	1857	371
375	1863	366
376	1868	361
377	1873	356
378	1877	351
379	1883	346
380	1888	342
381	1894	337
382	1899	332
383	1904	327
384	1909	322
385	1914	317
386	1919	312
387	1924	307
388	1929	302
389	1933	297
390	1938	292
391	1943	287
392	1948	282
393	1953	277
394	1958	272
395	1963	267
396	1968	262
397	1973	257
398	1978	252
399	1983	247
400	1989	243
401	1994	238
402	1999	233
403	2004	228
404	2009	223
405	2014	218
406	2019	213
407	2025	208
408	2029	203
409	2034	198
410	2039	193
411	2044	188
412	2049	183
413	2054	178
414	2061	173
415	2067	169
416	2074	164
417	2079	159
418	2085	154
419	2091	149
420	2097	144
421	2102	139
422	2106	134
423	2111	129
424	2117	124
425	2122	119
426	2127	114
427	2133	109
428	2138	104
429	2144	99
430	2150	94
431	2155	89
432	2160	84
433	2165	79
434	2170	74
435	2175	69
436	2180	64
437	2185	59
438	2190	54
439	2196	49
440	2204	44
441	2210	40
442	2217	35
443	2223	30
444	2229	25
445	2236	20
446	2244	15
447	2252	10
448	2260	5
449	2272	0
