iter	Passed	Remaining
0	6	3051
1	12	2774
2	17	2661
3	23	2571
4	29	2608
5	34	2529
6	39	2502
7	44	2462
8	49	2437
9	54	2411
10	59	2386
11	64	2365
12	70	2354
13	75	2338
14	80	2330
15	85	2309
16	92	2345
17	97	2339
18	102	2325
19	107	2311
20	112	2306
21	117	2290
22	122	2282
23	127	2271
24	132	2260
25	138	2253
26	143	2247
27	148	2239
28	154	2245
29	159	2236
30	164	2228
31	169	2219
32	174	2207
33	179	2200
34	184	2191
35	189	2179
36	194	2175
37	199	2165
38	205	2161
39	210	2155
40	215	2145
41	220	2141
42	225	2131
43	230	2124
44	235	2118
45	240	2109
46	245	2104
47	250	2097
48	255	2089
49	260	2083
50	265	2076
51	270	2069
52	275	2063
53	280	2056
54	285	2051
55	291	2050
56	296	2045
57	301	2040
58	307	2035
59	312	2033
60	318	2029
61	323	2025
62	330	2032
63	336	2028
64	341	2024
65	347	2022
66	352	2017
67	358	2012
68	363	2009
69	369	2005
70	374	2000
71	380	1995
72	386	1993
73	391	1988
74	397	1985
75	402	1980
76	408	1976
77	413	1971
78	418	1966
79	424	1961
80	429	1956
81	435	1953
82	440	1948
83	446	1944
84	451	1939
85	457	1935
86	462	1929
87	467	1925
88	473	1920
89	480	1921
90	485	1916
91	491	1911
92	496	1906
93	501	1901
94	507	1896
95	513	1892
96	519	1889
97	524	1884
98	529	1878
99	535	1873
100	540	1867
101	546	1862
102	551	1856
103	556	1851
104	562	1849
105	568	1844
106	573	1839
107	579	1834
108	585	1830
109	591	1828
110	596	1823
111	602	1818
112	608	1813
113	613	1807
114	618	1801
115	624	1798
116	630	1794
117	636	1790
118	643	1790
119	649	1786
120	658	1790
121	665	1789
122	672	1788
123	680	1788
124	688	1788
125	694	1784
126	700	1781
127	706	1777
128	713	1774
129	719	1770
130	725	1767
131	732	1764
132	739	1762
133	746	1760
134	756	1764
135	766	1770
136	775	1771
137	785	1774
138	827	1851
139	866	1917
140	889	1949
141	910	1975
142	917	1970
143	924	1963
144	932	1961
145	959	1996
146	966	1992
147	972	1984
148	978	1976
149	984	1969
150	990	1962
151	998	1958
152	1006	1954
153	1013	1948
154	1019	1940
155	1025	1933
156	1032	1927
157	1039	1920
158	1046	1914
159	1052	1908
160	1060	1904
161	1068	1899
162	1075	1893
163	1080	1885
164	1087	1878
165	1093	1870
166	1099	1862
167	1105	1855
168	1111	1847
169	1116	1839
170	1122	1831
171	1128	1823
172	1133	1814
173	1138	1806
174	1144	1798
175	1150	1790
176	1155	1782
177	1161	1774
178	1167	1767
179	1174	1761
180	1180	1755
181	1186	1746
182	1191	1738
183	1196	1729
184	1201	1721
185	1207	1713
186	1212	1704
187	1217	1696
188	1222	1688
189	1227	1680
190	1233	1672
191	1238	1664
192	1244	1656
193	1249	1649
194	1254	1641
195	1259	1632
196	1265	1624
197	1269	1616
198	1275	1608
199	1280	1600
200	1285	1592
201	1290	1584
202	1295	1576
203	1300	1568
204	1305	1560
205	1310	1551
206	1315	1544
207	1320	1535
208	1325	1528
209	1330	1520
210	1335	1512
211	1340	1505
212	1345	1497
213	1350	1489
214	1355	1481
215	1360	1474
216	1365	1466
217	1370	1458
218	1375	1450
219	1380	1442
220	1385	1435
221	1390	1427
222	1395	1420
223	1400	1412
224	1405	1405
225	1409	1397
226	1415	1390
227	1420	1382
228	1425	1375
229	1430	1368
230	1435	1360
231	1440	1353
232	1445	1345
233	1450	1338
234	1455	1331
235	1460	1323
236	1465	1316
237	1470	1309
238	1475	1302
239	1480	1295
240	1485	1287
241	1489	1280
242	1494	1273
243	1499	1266
244	1504	1259
245	1509	1251
246	1514	1244
247	1519	1237
248	1524	1230
249	1529	1223
250	1534	1216
251	1539	1209
252	1544	1202
253	1549	1195
254	1554	1188
255	1559	1181
256	1564	1175
257	1569	1167
258	1574	1160
259	1579	1154
260	1584	1147
261	1589	1140
262	1594	1133
263	1599	1126
264	1604	1120
265	1611	1114
266	1616	1107
267	1623	1102
268	1629	1096
269	1634	1089
270	1640	1083
271	1646	1077
272	1652	1071
273	1658	1065
274	1664	1058
275	1669	1052
276	1675	1046
277	1680	1039
278	1686	1033
279	1691	1026
280	1696	1020
281	1701	1013
282	1707	1007
283	1712	1001
284	1717	994
285	1722	987
286	1728	981
287	1733	975
288	1738	968
289	1743	961
290	1748	955
291	1755	949
292	1762	944
293	1767	938
294	1773	931
295	1779	925
296	1785	919
297	1790	913
298	1796	907
299	1801	900
300	1808	895
301	1816	890
302	1824	885
303	1834	880
304	1841	875
305	1848	869
306	1856	864
307	1861	858
308	1866	851
309	1870	844
310	1875	838
311	1880	831
312	1885	825
313	1891	819
314	1896	812
315	1901	806
316	1905	799
317	1911	793
318	1917	787
319	1922	781
320	1928	774
321	1933	768
322	1938	762
323	1944	756
324	1949	749
325	1954	743
326	1959	737
327	1964	730
328	1969	724
329	1974	718
330	1979	711
331	1984	705
332	1989	699
333	1994	692
334	2000	686
335	2005	680
336	2010	674
337	2015	667
338	2020	661
339	2026	655
340	2031	649
341	2036	643
342	2042	637
343	2047	630
344	2052	624
345	2057	618
346	2062	612
347	2067	605
348	2072	599
349	2077	593
350	2082	587
351	2087	581
352	2092	574
353	2097	568
354	2102	562
355	2108	556
356	2113	550
357	2118	544
358	2123	538
359	2128	532
360	2133	525
361	2138	519
362	2143	513
363	2148	507
364	2153	501
365	2159	495
366	2164	489
367	2170	483
368	2175	477
369	2180	471
370	2185	465
371	2190	459
372	2195	453
373	2200	447
374	2205	441
375	2210	435
376	2216	429
377	2221	423
378	2226	417
379	2232	411
380	2237	405
381	2242	399
382	2248	393
383	2253	387
384	2257	381
385	2262	375
386	2267	369
387	2272	363
388	2277	357
389	2282	351
390	2288	345
391	2293	339
392	2297	333
393	2303	327
394	2307	321
395	2313	315
396	2318	309
397	2324	303
398	2329	297
399	2334	291
400	2339	285
401	2344	279
402	2349	273
403	2355	268
404	2360	262
405	2365	256
406	2370	250
407	2375	244
408	2380	238
409	2385	232
410	2389	226
411	2394	220
412	2400	215
413	2404	209
414	2410	203
415	2415	197
416	2420	191
417	2426	185
418	2430	179
419	2435	173
420	2440	168
421	2446	162
422	2451	156
423	2456	150
424	2461	144
425	2465	138
426	2470	133
427	2475	127
428	2480	121
429	2486	115
430	2491	109
431	2496	104
432	2501	98
433	2506	92
434	2512	86
435	2517	80
436	2523	75
437	2530	69
438	2536	63
439	2541	57
440	2546	51
441	2551	46
442	2557	40
443	2562	34
444	2568	28
445	2574	23
446	2579	17
447	2585	11
448	2591	5
449	2595	0
