iter	Passed	Remaining
0	6	2964
1	12	2735
2	17	2536
3	22	2515
4	27	2482
5	32	2428
6	38	2405
7	43	2379
8	48	2357
9	53	2350
10	58	2334
11	63	2320
12	68	2308
13	74	2310
14	79	2297
15	84	2286
16	89	2276
17	95	2282
18	100	2290
19	105	2276
20	111	2272
21	116	2259
22	121	2254
23	126	2249
24	131	2240
25	137	2234
26	142	2227
27	147	2222
28	152	2217
29	157	2205
30	162	2198
31	167	2191
32	172	2181
33	177	2175
34	182	2168
35	187	2158
36	192	2153
37	197	2146
38	203	2140
39	208	2137
40	213	2128
41	218	2125
42	223	2117
43	228	2111
44	234	2106
45	239	2102
46	244	2097
47	249	2091
48	254	2083
49	260	2080
50	265	2074
51	270	2068
52	275	2063
53	280	2054
54	285	2050
55	290	2046
56	295	2040
57	301	2035
58	306	2029
59	311	2023
60	316	2018
61	321	2009
62	326	2004
63	331	2000
64	336	1995
65	342	1991
66	347	1984
67	352	1980
68	357	1976
69	362	1970
70	368	1964
71	373	1958
72	378	1952
73	383	1948
74	388	1943
75	393	1936
76	398	1931
77	403	1925
78	408	1920
79	413	1912
80	418	1907
81	424	1904
82	429	1899
83	434	1895
84	440	1890
85	445	1884
86	450	1881
87	460	1892
88	466	1892
89	472	1890
90	477	1883
91	482	1878
92	488	1874
93	493	1867
94	498	1863
95	503	1857
96	509	1853
97	514	1849
98	519	1842
99	525	1837
100	530	1832
101	535	1827
102	540	1821
103	547	1820
104	553	1819
105	559	1817
106	566	1814
107	572	1811
108	578	1808
109	584	1805
110	590	1802
111	595	1796
112	600	1790
113	605	1784
114	611	1780
115	616	1773
116	621	1768
117	627	1764
118	632	1758
119	637	1752
120	642	1747
121	647	1741
122	653	1736
123	658	1730
124	663	1724
125	668	1719
126	673	1713
127	679	1709
128	685	1706
129	692	1704
130	698	1701
131	705	1698
132	710	1694
133	716	1689
134	722	1684
135	730	1687
136	738	1686
137	745	1684
138	768	1719
139	799	1770
140	841	1844
141	865	1878
142	875	1879
143	910	1935
144	918	1932
145	927	1931
146	936	1931
147	943	1925
148	949	1917
149	954	1908
150	959	1899
151	964	1890
152	969	1882
153	974	1873
154	980	1865
155	985	1858
156	990	1849
157	996	1840
158	1002	1834
159	1007	1826
160	1012	1817
161	1017	1809
162	1023	1801
163	1028	1792
164	1033	1784
165	1038	1776
166	1043	1767
167	1048	1759
168	1053	1751
169	1058	1742
170	1062	1734
171	1068	1727
172	1074	1719
173	1078	1711
174	1083	1702
175	1088	1694
176	1094	1688
177	1100	1681
178	1105	1674
179	1111	1666
180	1116	1659
181	1121	1650
182	1125	1642
183	1130	1634
184	1135	1626
185	1140	1618
186	1144	1610
187	1150	1603
188	1155	1595
189	1160	1587
190	1165	1580
191	1170	1573
192	1176	1566
193	1181	1558
194	1186	1551
195	1191	1543
196	1197	1537
197	1201	1529
198	1206	1522
199	1211	1514
200	1216	1507
201	1222	1500
202	1227	1493
203	1232	1485
204	1236	1478
205	1241	1470
206	1246	1463
207	1252	1456
208	1257	1450
209	1262	1443
210	1267	1435
211	1272	1428
212	1278	1422
213	1283	1415
214	1288	1408
215	1294	1401
216	1299	1394
217	1303	1387
218	1308	1380
219	1314	1373
220	1318	1366
221	1323	1359
222	1328	1352
223	1333	1345
224	1338	1338
225	1344	1332
226	1349	1325
227	1354	1318
228	1359	1311
229	1364	1304
230	1369	1298
231	1374	1291
232	1379	1284
233	1384	1277
234	1389	1271
235	1394	1264
236	1399	1257
237	1404	1250
238	1409	1243
239	1414	1237
240	1419	1231
241	1424	1224
242	1429	1217
243	1434	1211
244	1439	1204
245	1444	1197
246	1449	1191
247	1455	1185
248	1460	1178
249	1465	1172
250	1470	1166
251	1475	1159
252	1480	1152
253	1485	1146
254	1490	1139
255	1496	1133
256	1501	1127
257	1506	1120
258	1510	1114
259	1515	1107
260	1520	1101
261	1525	1094
262	1530	1088
263	1535	1082
264	1540	1075
265	1545	1069
266	1551	1063
267	1556	1057
268	1561	1050
269	1566	1044
270	1571	1038
271	1576	1031
272	1582	1026
273	1588	1020
274	1593	1014
275	1598	1007
276	1603	1001
277	1608	994
278	1613	988
279	1618	982
280	1623	976
281	1628	970
282	1633	963
283	1638	957
284	1643	951
285	1648	945
286	1653	939
287	1658	932
288	1662	926
289	1667	920
290	1672	913
291	1678	907
292	1682	901
293	1687	895
294	1692	889
295	1697	883
296	1702	877
297	1707	871
298	1712	864
299	1717	858
300	1722	852
301	1728	846
302	1732	840
303	1738	834
304	1743	829
305	1749	823
306	1753	816
307	1758	810
308	1763	804
309	1769	799
310	1774	793
311	1779	787
312	1784	781
313	1789	775
314	1794	768
315	1799	763
316	1804	757
317	1809	751
318	1814	745
319	1820	739
320	1825	733
321	1830	727
322	1835	721
323	1840	715
324	1845	709
325	1851	704
326	1856	698
327	1860	692
328	1866	686
329	1871	680
330	1876	674
331	1881	668
332	1886	662
333	1891	657
334	1897	651
335	1902	645
336	1907	639
337	1912	633
338	1917	627
339	1923	622
340	1927	616
341	1933	610
342	1938	604
343	1943	598
344	1948	593
345	1954	587
346	1959	581
347	1964	575
348	1970	570
349	1975	564
350	1980	558
351	1985	552
352	1990	547
353	1996	541
354	2001	535
355	2006	529
356	2012	524
357	2017	518
358	2022	512
359	2027	506
360	2033	501
361	2038	495
362	2043	489
363	2048	483
364	2053	478
365	2059	472
366	2064	466
367	2070	461
368	2075	455
369	2080	449
370	2086	444
371	2091	438
372	2096	432
373	2101	427
374	2107	421
375	2112	415
376	2117	410
377	2122	404
378	2127	398
379	2132	392
380	2138	387
381	2143	381
382	2148	375
383	2153	370
384	2159	364
385	2163	358
386	2169	353
387	2174	347
388	2179	341
389	2184	336
390	2190	330
391	2195	324
392	2200	319
393	2205	313
394	2211	307
395	2216	302
396	2221	296
397	2226	290
398	2231	285
399	2237	279
400	2242	274
401	2247	268
402	2252	262
403	2257	257
404	2262	251
405	2268	245
406	2273	240
407	2278	234
408	2284	228
409	2289	223
410	2294	217
411	2299	212
412	2304	206
413	2310	200
414	2315	195
