iter	Passed	Remaining
0	7	3159
1	12	2765
2	17	2632
3	22	2544
4	28	2496
5	33	2464
6	38	2435
7	43	2390
8	48	2376
9	53	2351
10	58	2339
11	63	2335
12	69	2320
13	74	2323
14	79	2311
15	84	2299
16	89	2288
17	95	2296
18	100	2284
19	106	2295
20	112	2288
21	116	2273
22	122	2267
23	128	2276
24	133	2272
25	139	2274
26	144	2270
27	150	2269
28	155	2259
29	160	2246
30	165	2235
31	170	2231
32	176	2226
33	181	2222
34	187	2220
35	192	2214
36	197	2207
37	203	2204
38	208	2197
39	214	2194
40	219	2185
41	224	2177
42	229	2171
43	234	2164
44	239	2154
45	244	2151
46	249	2141
47	254	2134
48	259	2126
49	265	2123
50	270	2118
51	275	2111
52	280	2104
53	286	2099
54	291	2091
55	296	2084
56	301	2080
57	306	2071
58	311	2066
59	316	2060
60	322	2054
61	328	2052
62	333	2048
63	338	2042
64	344	2041
65	350	2039
66	355	2032
67	361	2029
68	366	2022
69	371	2018
70	378	2017
71	383	2013
72	388	2008
73	394	2006
74	401	2008
75	409	2013
76	416	2015
77	421	2011
78	428	2009
79	436	2016
80	441	2013
81	447	2007
82	453	2005
83	459	2001
84	465	1998
85	471	1994
86	476	1988
87	482	1985
88	488	1979
89	493	1973
90	498	1967
91	503	1959
92	508	1953
93	514	1948
94	519	1942
95	525	1936
96	530	1930
97	535	1923
98	541	1919
99	546	1912
100	551	1906
101	556	1900
102	561	1893
103	567	1886
104	573	1883
105	578	1875
106	583	1871
107	589	1866
108	594	1860
109	600	1855
110	605	1849
111	610	1842
112	616	1838
113	622	1834
114	627	1828
115	632	1822
116	637	1815
117	642	1808
118	647	1802
119	653	1796
120	658	1789
121	663	1783
122	668	1776
123	673	1770
124	678	1764
125	683	1758
126	689	1753
127	694	1746
128	699	1740
129	704	1734
130	709	1728
131	715	1722
132	720	1716
133	725	1709
134	730	1704
135	736	1699
136	741	1693
137	746	1687
138	751	1681
139	756	1675
140	761	1668
141	766	1663
142	772	1658
143	777	1652
144	782	1646
145	788	1641
146	793	1636
147	799	1630
148	804	1624
149	809	1619
150	814	1613
151	820	1607
152	825	1601
153	830	1595
154	835	1590
155	840	1583
156	845	1577
157	850	1572
158	855	1566
159	860	1560
160	865	1553
161	871	1548
162	877	1544
163	883	1540
164	889	1535
165	895	1531
166	900	1525
167	906	1521
168	911	1515
169	916	1510
170	921	1504
171	927	1498
172	932	1492
173	937	1487
174	942	1480
175	947	1475
176	953	1470
177	958	1464
178	963	1458
179	968	1453
180	974	1447
181	979	1442
182	984	1436
183	990	1431
184	995	1425
185	1000	1419
186	1005	1414
187	1011	1409
188	1016	1403
189	1021	1397
190	1026	1391
191	1031	1386
192	1036	1380
193	1042	1375
194	1047	1369
195	1052	1363
196	1057	1358
197	1062	1352
198	1067	1346
199	1072	1340
200	1078	1335
201	1083	1330
202	1088	1324
203	1094	1319
204	1099	1314
205	1104	1308
206	1110	1303
207	1116	1298
208	1122	1294
209	1127	1288
210	1132	1282
211	1137	1276
212	1142	1271
213	1148	1266
214	1153	1260
215	1158	1255
216	1163	1249
217	1168	1243
218	1173	1238
219	1178	1232
220	1183	1226
221	1189	1221
222	1193	1215
223	1199	1210
224	1205	1205
225	1211	1200
226	1216	1195
227	1222	1190
228	1227	1184
229	1233	1179
230	1238	1174
231	1243	1168
232	1249	1163
233	1254	1157
234	1259	1152
235	1264	1146
236	1270	1141
237	1275	1136
238	1281	1131
239	1286	1125
240	1291	1120
241	1296	1114
242	1301	1109
243	1307	1103
244	1313	1098
245	1318	1093
246	1323	1087
247	1328	1082
248	1333	1076
249	1339	1071
250	1344	1066
251	1349	1060
252	1355	1055
253	1360	1050
254	1366	1044
255	1371	1039
256	1377	1034
257	1382	1028
258	1387	1023
259	1393	1018
260	1399	1013
261	1404	1007
262	1409	1002
263	1414	996
264	1419	991
265	1424	985
266	1430	980
267	1435	974
268	1440	969
269	1446	964
270	1451	958
271	1456	953
272	1462	947
273	1467	942
274	1472	936
275	1477	931
276	1482	925
277	1488	920
278	1493	915
279	1498	909
280	1503	904
281	1509	899
282	1514	893
283	1520	888
284	1525	883
285	1530	877
286	1535	872
287	1540	866
288	1545	861
289	1550	855
290	1556	850
291	1561	845
292	1567	839
293	1572	834
294	1577	828
295	1582	823
296	1587	817
297	1592	812
298	1598	807
299	1603	801
300	1608	796
301	1613	790
302	1618	785
303	1623	779
304	1628	774
305	1634	768
306	1639	763
307	1644	758
308	1649	752
309	1654	747
310	1660	742
311	1665	736
312	1670	731
313	1675	725
314	1680	720
315	1685	714
316	1690	709
317	1695	703
318	1701	698
319	1706	693
320	1711	687
321	1717	682
322	1723	677
323	1728	672
324	1733	666
325	1739	661
326	1744	656
327	1751	651
328	1756	645
329	1761	640
330	1766	635
331	1771	629
332	1776	624
333	1781	618
334	1787	613
335	1792	608
336	1798	602
337	1802	597
338	1808	592
339	1813	586
340	1818	581
341	1823	575
342	1828	570
343	1833	565
344	1838	559
345	1843	554
346	1849	548
347	1854	543
348	1859	538
349	1864	532
350	1869	527
351	1875	522
352	1880	516
353	1886	511
354	1891	506
355	1897	500
356	1902	495
357	1907	490
358	1913	484
359	1918	479
360	1924	474
361	1929	469
362	1935	463
363	1940	458
364	1945	453
365	1950	447
366	1955	442
367	1960	436
368	1966	431
369	1971	426
370	1977	420
371	1982	415
372	1987	410
373	1992	404
374	1998	399
375	2003	394
376	2008	388
377	2013	383
378	2018	378
379	2023	372
380	2028	367
381	2034	362
382	2039	356
383	2044	351
384	2049	346
385	2054	340
386	2060	335
387	2065	330
388	2071	324
389	2076	319
390	2081	314
391	2086	308
392	2091	303
393	2096	297
394	2101	292
395	2106	287
396	2111	281
397	2116	276
398	2121	271
399	2126	265
400	2131	260
401	2137	255
402	2142	249
403	2147	244
404	2153	239
405	2158	233
406	2163	228
407	2168	223
408	2173	217
409	2179	212
410	2183	207
411	2188	201
412	2193	196
413	2199	191
414	2204	185
415	2210	180
416	2216	175
417	2221	170
418	2226	164
419	2232	159
420	2237	154
421	2242	148
422	2249	143
423	2254	138
424	2259	132
425	2264	127
426	2269	122
427	2275	116
428	2279	111
429	2285	106
430	2290	100
431	2295	95
432	2300	90
433	2306	85
434	2311	79
435	2317	74
436	2321	69
437	2327	63
438	2332	58
439	2337	53
440	2342	47
441	2347	42
442	2353	37
443	2358	31
444	2364	26
445	2369	21
446	2374	15
447	2379	10
448	2384	5
449	2390	0
