iter	Passed	Remaining
0	5	2456
1	10	2375
2	16	2387
3	21	2426
4	27	2446
5	33	2513
6	39	2529
7	46	2582
8	52	2588
9	59	2601
10	64	2590
11	70	2559
12	75	2525
13	80	2494
14	85	2473
15	90	2451
16	95	2432
17	100	2415
18	105	2397
19	110	2384
20	115	2366
21	120	2347
22	125	2331
23	130	2312
24	135	2304
25	140	2293
26	145	2281
27	150	2269
28	155	2261
29	161	2257
30	167	2258
31	172	2253
32	178	2249
33	183	2244
34	188	2239
35	194	2233
36	199	2228
37	205	2229
38	212	2240
39	219	2245
40	224	2241
41	229	2232
42	234	2219
43	239	2211
44	244	2201
45	249	2193
46	254	2181
47	259	2171
48	264	2161
49	268	2151
50	274	2144
51	278	2133
52	283	2125
53	288	2118
54	293	2111
55	299	2105
56	304	2096
57	308	2088
58	314	2081
59	319	2074
60	325	2075
61	330	2069
62	335	2062
63	341	2061
64	348	2062
65	353	2059
66	359	2053
67	364	2047
68	369	2041
69	374	2034
70	379	2026
71	385	2021
72	390	2018
73	396	2012
74	401	2007
75	406	2002
76	412	1997
77	417	1991
78	423	1986
79	428	1979
80	433	1974
81	438	1967
82	443	1962
83	449	1956
84	454	1950
85	459	1944
86	464	1938
87	469	1932
88	474	1925
89	479	1919
90	485	1914
91	490	1907
92	495	1901
93	500	1894
94	505	1888
95	510	1882
96	515	1876
97	520	1870
98	525	1864
99	530	1858
100	536	1853
101	541	1847
102	546	1841
103	551	1834
104	556	1829
105	561	1823
106	566	1817
107	572	1813
108	577	1807
109	582	1801
110	588	1796
111	592	1789
112	598	1783
113	603	1777
114	608	1772
115	614	1767
116	619	1763
117	624	1757
118	630	1752
119	635	1746
120	640	1741
121	645	1736
122	650	1730
123	656	1724
124	661	1719
125	666	1713
126	671	1707
127	676	1701
128	681	1695
129	687	1692
130	692	1686
131	697	1680
132	702	1674
133	707	1667
134	712	1663
135	717	1657
136	723	1652
137	728	1647
138	733	1641
139	739	1636
140	744	1631
141	749	1625
142	755	1621
143	761	1617
144	767	1613
145	772	1608
146	778	1604
147	783	1597
148	788	1592
149	794	1589
150	800	1586
151	807	1584
152	813	1578
153	818	1573
154	823	1568
155	829	1562
156	834	1557
157	839	1551
158	844	1546
159	850	1541
160	855	1535
161	861	1531
162	866	1525
163	871	1519
164	876	1514
165	882	1509
166	887	1503
167	892	1498
168	897	1492
169	902	1487
170	907	1481
171	913	1475
172	918	1470
173	923	1465
174	928	1459
175	934	1454
176	939	1448
177	944	1443
178	949	1437
179	954	1431
180	959	1426
181	965	1421
182	970	1416
183	975	1410
184	981	1405
185	986	1399
186	992	1395
187	996	1389
188	1001	1383
189	1007	1378
190	1012	1372
191	1017	1367
192	1022	1361
193	1028	1357
194	1033	1351
195	1038	1346
196	1043	1340
197	1049	1335
198	1054	1329
199	1059	1324
200	1064	1318
201	1069	1313
202	1074	1307
203	1079	1302
204	1084	1296
205	1089	1291
206	1095	1285
207	1100	1280
208	1105	1275
209	1110	1269
210	1116	1264
211	1121	1258
212	1126	1253
213	1131	1248
214	1136	1242
215	1141	1237
216	1146	1231
217	1152	1226
218	1157	1220
219	1162	1215
220	1167	1209
221	1172	1204
222	1177	1198
223	1182	1193
224	1188	1188
225	1193	1182
226	1198	1177
227	1204	1172
228	1209	1167
229	1214	1162
230	1220	1157
231	1225	1151
232	1231	1146
233	1236	1141
234	1241	1135
235	1246	1130
236	1251	1124
237	1256	1119
238	1262	1114
239	1267	1109
240	1273	1104
241	1278	1098
242	1283	1092
243	1288	1087
244	1293	1082
245	1298	1076
246	1303	1071
247	1309	1066
248	1315	1061
249	1320	1056
250	1325	1050
251	1331	1045
252	1336	1040
253	1341	1035
254	1347	1030
255	1352	1024
256	1357	1019
257	1363	1014
258	1369	1009
259	1374	1004
260	1379	999
261	1384	993
262	1390	988
263	1395	983
264	1400	977
265	1405	972
266	1410	967
267	1416	961
268	1421	956
269	1426	951
270	1431	945
271	1437	940
272	1442	935
273	1447	929
274	1452	924
275	1457	918
276	1462	913
277	1467	907
278	1472	902
279	1478	897
280	1483	891
281	1488	886
282	1493	881
283	1498	875
284	1503	870
285	1508	865
286	1514	860
287	1519	854
288	1524	849
289	1529	843
290	1534	838
291	1539	832
292	1544	827
293	1549	822
294	1554	816
295	1559	811
296	1564	805
297	1569	800
298	1574	794
299	1579	789
300	1584	784
301	1590	779
302	1595	773
303	1600	768
304	1605	763
305	1610	758
306	1615	752
307	1620	747
308	1625	741
309	1630	736
310	1636	731
311	1641	725
312	1646	720
313	1651	715
314	1656	709
315	1661	704
316	1667	699
317	1672	694
318	1677	688
319	1683	683
320	1688	678
321	1693	673
322	1698	667
323	1703	662
324	1709	657
325	1714	652
326	1720	646
327	1725	641
328	1730	636
329	1735	631
330	1741	626
331	1747	620
332	1752	615
333	1757	610
334	1762	605
335	1767	599
336	1773	594
337	1777	589
338	1783	583
339	1788	578
340	1793	573
341	1798	567
342	1804	562
343	1809	557
344	1814	552
345	1819	546
346	1824	541
347	1830	536
348	1835	531
349	1841	526
350	1846	520
351	1851	515
352	1856	510
353	1861	504
354	1866	499
355	1872	494
356	1877	489
357	1883	483
358	1888	478
359	1893	473
360	1898	468
361	1903	462
362	1909	457
363	1914	452
364	1919	447
365	1924	441
366	1930	436
367	1935	431
368	1940	425
369	1945	420
370	1951	415
371	1956	410
372	1961	404
373	1966	399
374	1972	394
375	1976	389
376	1982	383
377	1987	378
378	1992	373
379	1997	367
380	2002	362
381	2007	357
382	2013	352
383	2018	346
384	2023	341
385	2029	336
386	2034	331
387	2039	325
388	2044	320
389	2049	315
390	2055	310
391	2060	304
392	2065	299
393	2071	294
394	2076	289
395	2081	283
396	2086	278
397	2091	273
398	2097	268
399	2102	262
400	2107	257
401	2112	252
402	2118	247
403	2123	241
404	2128	236
405	2134	231
406	2139	226
407	2145	220
408	2150	215
409	2155	210
410	2160	205
411	2165	199
412	2170	194
413	2176	189
414	2181	183
415	2186	178
416	2191	173
417	2197	168
418	2202	162
419	2207	157
420	2212	152
421	2217	147
422	2222	141
423	2228	136
424	2233	131
425	2238	126
426	2243	120
427	2248	115
428	2253	110
429	2259	105
430	2264	99
431	2270	94
432	2275	89
433	2280	84
434	2285	78
435	2291	73
436	2296	68
437	2301	63
438	2306	57
439	2311	52
440	2316	47
441	2322	42
442	2327	36
443	2332	31
444	2337	26
445	2343	21
446	2348	15
447	2353	10
448	2358	5
449	2363	0
