iter	Passed	Remaining
0	6	2961
1	11	2632
2	16	2527
3	21	2422
4	26	2373
5	31	2322
6	36	2340
7	42	2326
8	47	2304
9	51	2281
10	57	2297
11	63	2312
12	70	2368
13	77	2403
14	83	2415
15	88	2408
16	93	2388
17	99	2382
18	104	2359
19	109	2359
20	116	2369
21	123	2409
22	129	2394
23	134	2382
24	139	2363
25	143	2345
26	148	2330
27	153	2315
28	158	2303
29	163	2289
30	168	2274
31	173	2262
32	178	2250
33	183	2240
34	188	2230
35	192	2217
36	197	2206
37	202	2197
38	207	2190
39	212	2181
40	217	2169
41	222	2164
42	227	2154
43	232	2147
44	237	2139
45	242	2130
46	247	2122
47	252	2115
48	257	2107
49	262	2099
50	267	2095
51	273	2090
52	278	2084
53	283	2076
54	288	2070
55	293	2061
56	298	2056
57	303	2051
58	308	2044
59	313	2037
60	318	2029
61	323	2022
62	328	2019
63	335	2023
64	342	2028
65	348	2026
66	354	2028
67	360	2027
68	366	2021
69	371	2016
70	376	2010
71	381	2002
72	386	1995
73	391	1987
74	395	1979
75	400	1972
76	405	1964
77	410	1956
78	414	1948
79	419	1941
80	424	1933
81	429	1927
82	435	1923
83	439	1915
84	444	1910
85	450	1905
86	454	1898
87	459	1890
88	464	1883
89	469	1876
90	474	1870
91	478	1863
92	483	1856
93	488	1849
94	493	1843
95	498	1837
96	504	1834
97	509	1830
98	516	1829
99	521	1825
100	526	1819
101	531	1813
102	536	1808
103	541	1802
104	547	1800
105	553	1795
106	559	1792
107	564	1788
108	570	1785
109	576	1781
110	580	1774
111	585	1767
112	590	1761
113	595	1755
114	600	1748
115	605	1743
116	610	1737
117	615	1731
118	620	1725
119	625	1718
120	630	1713
121	635	1707
122	639	1700
123	644	1695
124	649	1689
125	654	1683
126	659	1677
127	664	1670
128	669	1665
129	674	1659
130	679	1653
131	684	1648
132	688	1641
133	693	1636
134	698	1630
135	703	1624
136	708	1618
137	713	1612
138	717	1606
139	723	1601
140	729	1597
141	733	1591
142	738	1586
143	743	1580
144	748	1575
145	754	1570
146	759	1564
147	764	1559
148	768	1552
149	774	1548
150	778	1542
151	784	1537
152	789	1532
153	794	1526
154	799	1522
155	804	1516
156	809	1510
157	814	1505
158	819	1500
159	824	1495
160	829	1489
161	835	1484
162	840	1479
163	844	1473
164	850	1468
165	854	1462
166	859	1457
167	865	1452
168	870	1447
169	875	1441
170	880	1436
171	885	1430
172	890	1425
173	894	1419
174	899	1413
175	904	1408
176	909	1403
177	914	1397
178	919	1392
179	924	1387
180	929	1381
181	934	1376
182	940	1371
183	945	1366
184	950	1361
185	955	1356
186	960	1351
187	965	1345
188	970	1340
189	975	1334
