iter	Passed	Remaining
0	6	2853
1	11	2644
2	16	2517
3	22	2475
4	27	2426
5	32	2397
6	38	2416
7	43	2387
8	48	2376
9	53	2362
10	58	2348
11	64	2340
12	69	2325
13	74	2310
14	79	2318
15	84	2305
16	90	2297
17	95	2293
18	100	2284
19	106	2290
20	111	2286
21	117	2286
22	123	2286
23	128	2278
24	133	2271
25	138	2262
26	144	2257
27	149	2249
28	154	2245
29	159	2236
30	164	2225
31	170	2227
32	175	2219
33	180	2211
34	186	2206
35	190	2195
36	196	2189
37	201	2183
38	206	2179
39	212	2176
40	217	2167
41	222	2160
42	228	2158
43	233	2151
44	238	2142
45	243	2136
46	248	2128
47	253	2123
48	258	2119
49	263	2111
50	269	2109
51	275	2106
52	280	2103
53	286	2101
54	291	2095
55	297	2095
56	303	2090
57	308	2087
58	313	2080
59	319	2075
60	324	2068
61	329	2061
62	334	2055
63	339	2047
64	344	2041
65	350	2038
66	355	2030
67	360	2023
68	365	2019
69	370	2012
70	375	2006
71	381	2001
72	386	1998
73	392	1992
74	397	1987
75	402	1980
76	407	1975
77	412	1969
78	418	1964
79	423	1958
80	428	1951
81	433	1946
82	439	1941
83	444	1935
84	449	1930
85	454	1924
86	459	1918
87	465	1914
88	470	1907
89	475	1902
90	480	1896
91	486	1893
92	491	1887
93	496	1881
94	501	1875
95	507	1870
96	511	1862
97	517	1857
98	522	1852
99	527	1845
100	532	1841
101	537	1834
102	543	1831
103	549	1826
104	554	1821
105	559	1815
106	564	1809
107	569	1804
108	575	1799
109	581	1797
110	586	1790
111	591	1784
112	597	1781
113	602	1774
114	607	1770
115	612	1764
116	618	1759
117	623	1754
118	628	1748
119	633	1742
120	638	1737
121	643	1730
122	649	1725
123	654	1720
124	659	1714
125	664	1709
126	669	1703
127	675	1698
128	681	1695
129	686	1689
130	691	1683
131	696	1678
132	701	1672
133	706	1667
134	712	1662
135	717	1655
136	722	1650
137	727	1644
138	732	1639
139	738	1634
140	743	1628
141	748	1623
142	753	1618
143	759	1612
144	764	1607
145	769	1601
146	774	1596
147	779	1590
148	784	1585
149	789	1579
150	795	1575
151	800	1569
152	806	1564
153	811	1559
154	816	1553
155	821	1548
156	826	1542
157	831	1537
158	837	1532
159	842	1526
160	847	1521
161	852	1516
162	858	1511
163	864	1507
164	870	1502
165	875	1497
166	880	1491
167	886	1487
168	892	1483
169	897	1477
170	902	1472
171	907	1466
172	912	1461
173	918	1456
174	923	1450
175	928	1445
176	933	1440
177	938	1434
178	944	1429
179	949	1423
180	954	1418
181	959	1413
182	964	1407
183	970	1403
184	975	1397
185	980	1391
186	985	1386
187	990	1381
188	996	1375
189	1001	1370
190	1006	1364
191	1011	1359
192	1016	1354
193	1021	1348
194	1027	1343
195	1032	1338
196	1038	1333
197	1044	1328
198	1049	1323
199	1054	1317
200	1059	1312
201	1064	1306
202	1069	1301
203	1074	1296
204	1079	1290
205	1085	1285
206	1090	1280
207	1096	1275
208	1101	1270
209	1106	1264
210	1112	1259
211	1117	1254
212	1123	1249
213	1128	1244
214	1133	1238
215	1138	1233
216	1144	1228
217	1149	1223
218	1154	1217
219	1160	1212
220	1165	1207
221	1170	1201
222	1175	1196
223	1180	1190
224	1185	1185
225	1190	1180
226	1195	1174
227	1201	1169
228	1206	1164
229	1211	1158
230	1216	1153
231	1222	1148
232	1227	1143
233	1232	1138
234	1237	1132
235	1243	1127
236	1248	1122
237	1253	1116
238	1259	1112
239	1264	1106
240	1269	1101
241	1275	1095
242	1280	1090
243	1285	1085
244	1291	1080
245	1296	1074
246	1301	1069
247	1306	1064
248	1312	1059
249	1317	1053
250	1322	1048
251	1327	1042
252	1332	1037
253	1337	1032
254	1343	1027
255	1348	1021
256	1353	1016
257	1358	1010
258	1363	1005
259	1368	1000
260	1374	995
261	1379	989
262	1384	984
263	1389	978
264	1394	973
265	1400	968
266	1405	963
267	1410	957
268	1415	952
269	1420	947
270	1425	941
271	1431	936
272	1435	931
273	1441	925
274	1446	920
275	1451	915
276	1456	909
277	1462	904
278	1467	899
279	1473	894
280	1478	889
281	1483	883
282	1489	878
283	1494	873
284	1499	868
285	1505	863
286	1510	857
287	1516	853
288	1521	847
289	1526	842
290	1531	836
291	1537	831
292	1542	826
293	1547	821
294	1553	816
295	1557	810
296	1563	805
297	1568	799
298	1573	794
299	1578	789
300	1583	783
301	1588	778
302	1594	773
303	1599	768
304	1604	762
305	1609	757
306	1615	752
307	1620	747
308	1625	741
309	1630	736
310	1636	731
311	1641	726
312	1646	720
313	1651	715
314	1656	710
315	1662	705
316	1667	699
317	1673	694
318	1679	689
319	1684	684
320	1689	678
321	1694	673
322	1699	668
323	1704	662
324	1710	657
325	1715	652
326	1720	647
327	1726	641
328	1731	636
329	1736	631
330	1741	626
331	1747	621
332	1753	616
333	1759	611
334	1765	605
335	1771	600
336	1776	595
337	1782	590
338	1787	585
339	1792	579
340	1798	574
341	1804	569
342	1811	564
343	1816	559
344	1821	554
345	1826	549
346	1831	543
347	1837	538
348	1842	533
349	1847	527
350	1853	522
351	1859	517
352	1864	512
353	1869	507
354	1874	501
355	1880	496
356	1885	491
357	1891	486
358	1896	480
359	1901	475
360	1906	470
361	1912	464
362	1917	459
363	1923	454
364	1928	449
365	1933	443
366	1938	438
367	1943	433
368	1948	427
369	1953	422
370	1958	417
371	1963	411
372	1968	406
373	1974	401
374	1979	395
375	1984	390
376	1989	385
377	1994	379
378	1999	374
379	2004	369
380	2009	363
381	2015	358
382	2020	353
383	2025	348
384	2031	342
385	2036	337
386	2041	332
387	2047	327
388	2052	321
389	2058	316
390	2062	311
391	2067	305
392	2073	300
393	2079	295
394	2084	290
395	2089	284
396	2095	279
397	2100	274
398	2106	269
399	2111	263
400	2116	258
401	2122	253
402	2128	248
403	2133	242
404	2138	237
405	2143	232
406	2149	227
407	2154	221
408	2160	216
409	2165	211
410	2170	205
411	2175	200
412	2180	195
413	2185	190
414	2190	184
415	2196	179
416	2201	174
417	2206	168
418	2211	163
419	2216	158
420	2222	153
421	2227	147
422	2232	142
