iter	Passed	Remaining
0	7	3425
1	12	2779
2	17	2560
3	21	2434
4	26	2354
5	31	2314
6	35	2269
7	40	2242
8	45	2230
9	50	2214
10	54	2192
11	59	2174
12	64	2158
13	69	2165
14	74	2148
15	78	2139
16	83	2131
17	88	2125
18	93	2121
19	98	2114
20	103	2120
21	108	2110
22	113	2102
23	118	2094
24	122	2084
25	127	2078
26	131	2067
27	136	2058
28	141	2051
29	146	2046
30	151	2043
31	155	2034
32	160	2026
33	164	2017
34	169	2008
35	174	2001
36	178	1997
37	183	1989
38	188	1985
39	193	1980
40	197	1973
41	202	1969
42	207	1963
43	212	1957
44	217	1954
45	222	1949
46	226	1943
47	231	1936
48	235	1930
49	240	1924
50	245	1922
51	250	1916
52	254	1909
53	259	1902
54	264	1899
55	269	1897
56	274	1892
57	279	1886
58	284	1885
59	289	1881
60	294	1876
61	299	1873
62	304	1870
63	309	1868
64	315	1868
65	320	1867
66	326	1864
67	331	1862
68	336	1860
69	342	1859
70	347	1857
71	353	1855
72	358	1852
73	363	1846
74	368	1841
75	372	1834
76	375	1816
77	379	1810
78	384	1804
79	389	1799
80	393	1794
81	399	1791
82	403	1785
83	408	1780
84	413	1775
85	418	1769
86	422	1763
87	427	1760
88	432	1754
89	437	1748
90	441	1743
91	446	1737
92	451	1732
93	456	1727
94	461	1722
95	465	1718
96	470	1712
97	475	1706
98	480	1702
99	484	1696
100	489	1692
101	494	1686
102	498	1680
103	504	1677
104	508	1670
105	512	1664
106	517	1659
107	522	1654
108	526	1648
109	531	1642
110	535	1636
111	540	1630
112	544	1625
113	549	1620
114	554	1614
115	558	1608
116	563	1603
117	568	1598
118	572	1592
119	577	1587
120	581	1581
121	586	1577
122	591	1573
123	596	1567
124	600	1561
125	605	1556
126	610	1552
127	615	1548
128	619	1542
129	624	1537
130	629	1532
131	634	1527
132	638	1522
133	643	1517
134	648	1512
135	652	1507
136	657	1501
137	661	1496
138	666	1491
139	671	1486
140	675	1481
141	680	1475
142	685	1470
143	690	1466
144	694	1461
145	699	1455
146	703	1450
147	709	1447
148	714	1442
149	719	1438
150	724	1435
151	729	1431
152	734	1426
153	739	1422
154	745	1418
155	751	1415
156	757	1414
157	762	1409
158	767	1404
159	772	1399
160	777	1395
161	782	1390
162	787	1386
163	792	1382
164	797	1377
165	803	1374
166	810	1372
167	816	1371
168	823	1368
169	829	1365
170	834	1361
171	840	1358
172	846	1354
173	852	1352
174	857	1347
175	862	1343
176	868	1339
177	874	1336
178	879	1331
179	883	1325
180	889	1321
181	893	1315
182	898	1310
183	903	1305
184	907	1300
185	912	1294
186	917	1289
187	921	1284
188	926	1279
189	931	1274
190	936	1270
191	941	1264
192	945	1259
193	950	1254
194	955	1249
195	960	1244
196	965	1240
197	970	1235
198	975	1230
199	980	1225
200	985	1220
201	990	1215
202	994	1210
203	999	1205
204	1004	1200
205	1009	1195
206	1013	1189
207	1019	1185
208	1023	1180
209	1029	1176
210	1033	1170
211	1038	1165
212	1043	1160
213	1047	1155
214	1052	1150
215	1056	1144
216	1061	1139
217	1065	1134
218	1070	1129
219	1074	1123
220	1079	1118
221	1084	1113
222	1089	1109
223	1094	1104
224	1099	1099
225	1103	1094
226	1108	1089
227	1113	1084
228	1118	1079
229	1122	1074
230	1127	1068
231	1132	1064
232	1137	1059
233	1142	1054
234	1147	1049
235	1151	1044
236	1155	1038
237	1160	1033
238	1165	1028
239	1169	1023
240	1174	1018
241	1178	1013
242	1183	1008
243	1188	1003
244	1192	998
245	1198	993
246	1202	988
247	1207	983
248	1212	978
249	1216	973
250	1222	968
251	1226	963
252	1231	959
253	1236	954
254	1241	949
255	1246	944
256	1251	939
257	1255	934
258	1260	929
259	1266	925
260	1271	920
261	1276	915
262	1282	912
263	1288	908
264	1294	903
265	1299	898
266	1305	894
267	1311	890
268	1316	885
269	1321	880
270	1327	876
271	1332	871
272	1337	866
273	1342	862
274	1347	857
275	1352	852
276	1356	847
277	1361	842
278	1366	837
279	1371	832
280	1376	827
281	1380	822
282	1386	818
283	1391	813
284	1395	808
285	1400	803
286	1405	798
287	1409	793
288	1414	788
289	1419	783
290	1423	778
291	1428	773
292	1433	768
293	1438	763
294	1442	758
295	1447	752
296	1452	748
297	1457	743
298	1461	738
299	1467	733
300	1472	728
301	1476	723
302	1481	718
