iter	Passed	Remaining
0	8	4662
1	15	4293
2	22	4136
3	30	4155
4	38	4189
5	46	4206
6	58	4548
7	70	4743
8	79	4753
9	86	4689
10	94	4641
11	101	4544
12	108	4487
13	115	4423
14	122	4372
15	129	4314
16	136	4277
17	143	4246
18	151	4225
19	158	4210
20	167	4217
21	174	4193
22	237	5453
23	291	6383
24	306	6437
25	315	6364
26	345	6684
27	354	6600
28	360	6485
29	367	6361
30	373	6255
31	380	6157
32	387	6063
33	393	5973
34	400	5887
35	406	5803
36	412	5724
37	418	5644
38	425	5568
39	431	5499
40	437	5430
41	443	5363
42	449	5302
43	456	5245
44	462	5186
45	468	5129
46	474	5077
47	480	5026
48	486	4974
49	492	4924
50	498	4881
51	506	4845
52	512	4802
53	519	4771
54	525	4731
55	532	4693
56	538	4653
57	544	4618
58	550	4581
59	556	4543
60	562	4507
61	568	4473
62	574	4444
63	581	4418
64	588	4390
65	594	4361
66	601	4336
67	607	4307
68	614	4283
69	620	4255
70	627	4234
71	634	4213
72	640	4185
73	647	4162
74	653	4138
75	659	4115
76	666	4091
77	671	4065
78	677	4042
79	685	4025
80	691	4002
81	697	3978
82	703	3957
83	710	3939
84	716	3920
85	722	3897
86	729	3879
87	735	3859
88	740	3837
89	747	3818
90	753	3800
91	759	3780
92	765	3761
93	771	3742
94	777	3725
95	783	3707
96	790	3692
97	796	3675
98	802	3657
99	809	3641
100	815	3624
101	821	3607
102	827	3591
103	833	3573
104	840	3560
105	847	3548
106	853	3532
107	859	3517
108	865	3501
109	871	3484
110	877	3470
111	883	3456
112	890	3442
113	896	3426
114	902	3412
115	908	3398
116	914	3384
117	920	3369
118	927	3357
119	933	3345
120	939	3331
121	946	3318
122	952	3304
123	958	3293
124	964	3280
125	971	3268
126	977	3254
127	983	3243
128	989	3229
129	995	3217
130	1001	3204
131	1007	3190
132	1013	3179
133	1019	3166
134	1025	3153
135	1032	3141
136	1039	3133
137	1046	3122
138	1051	3110
139	1058	3100
140	1064	3089
141	1071	3077
142	1077	3066
143	1083	3055
144	1089	3044
145	1095	3032
146	1101	3020
147	1108	3009
148	1115	3001
149	1121	2991
150	1128	2982
151	1134	2971
152	1141	2963
153	1148	2952
154	1155	2943
155	1161	2933
156	1167	2921
157	1174	2912
158	1181	2905
159	1187	2894
160	1194	2885
161	1200	2874
162	1206	2864
163	1212	2854
164	1218	2844
165	1225	2834
166	1231	2824
167	1237	2814
168	1244	2805
169	1250	2795
170	1257	2786
171	1263	2776
172	1270	2768
173	1276	2758
174	1283	2749
175	1289	2740
176	1297	2734
177	1305	2728
178	1313	2722
179	1321	2715
180	1327	2707
181	1334	2697
182	1340	2688
183	1347	2679
184	1353	2670
185	1359	2659
186	1365	2650
187	1371	2641
188	1378	2633
189	1385	2625
190	1392	2616
191	1399	2610
192	1406	2600
193	1411	2590
194	1418	2582
195	1424	2573
196	1430	2563
197	1437	2555
198	1443	2545
199	1449	2537
200	1455	2527
201	1461	2518
202	1468	2510
203	1475	2501
204	1482	2494
205	1488	2485
206	1495	2477
207	1501	2468
208	1507	2460
209	1513	2451
210	1521	2444
211	1528	2437
212	1535	2428
213	1541	2419
214	1547	2411
215	1554	2403
216	1561	2396
217	1568	2388
218	1574	2379
219	1581	2372
220	1587	2363
221	1593	2354
222	1600	2347
223	1607	2338
224	1614	2331
225	1621	2323
226	1627	2315
227	1632	2306
228	1638	2297
229	1645	2288
230	1651	2280
231	1658	2272
232	1664	2265
233	1671	2257
234	1677	2248
235	1683	2240
236	1689	2231
237	1696	2224
238	1702	2214
239	1709	2208
240	1716	2200
241	1721	2191
242	1728	2183
243	1734	2175
244	1740	2167
245	1746	2158
246	1752	2150
247	1759	2142
248	1765	2134
249	1771	2125
250	1777	2116
251	1782	2108
252	1788	2100
253	1794	2091
254	1800	2083
255	1807	2075
256	1813	2067
257	1820	2060
258	1826	2052
259	1832	2044
260	1838	2036
261	1845	2028
262	1850	2019
263	1856	2011
264	1863	2004
265	1870	1996
266	1876	1988
267	1882	1980
268	1888	1973
269	1895	1965
270	1901	1957
271	1907	1949
272	1914	1942
273	1921	1935
274	1927	1927
275	1933	1919
276	1940	1912
277	1946	1904
