exp_id	slug	mean_oracle_r2	mean_oof_r2	tg_r2	egc_r2	egb_r2	ei_r2	eea_r2	eps_r2	nc_r2
P5-001	P5-001-baseline-v57	0.825675	0.844575	0.87971	0.886066	0.875642	0.740012	0.853288	0.758255	0.786749
P5-016	P5-016-svd-smile-r3	0.810578	0.832705	0.872089	0.876361	0.857988	0.741128	0.827783	0.728737	0.769961
P5-045	P5-045-tg-specialist	0.814434	0.837347	0.874584	0.876892	0.867445	0.746592	0.836839	0.729739	0.768949
P5-060	P5-060-physics-multitask	0.830419	0.848457	0.87223	0.877508	0.899338	0.777213	0.852884	0.7671	0.766657
P5-120	P5-120-latent-property-models	0.82799	0.84437	0.874792	0.880129	0.881773	0.739959	0.871916	0.737453	0.809909
P5-272	P5-272-heterogeneous-portfolio	0.81622	0.840203	0.873981	0.876805	0.87423	0.759073	0.831323	0.730982	0.767143
P5-276	P5-276-iterative-joint-fill	0.836665	0.850682	0.87665	0.877786	0.893328	0.777967	0.875917	0.74546	0.809546
P5-281	P5-281-mcp-topological	0.80305	0.828465	0.8718	0.864664	0.80803	0.756114	0.832582	0.722968	0.765195
P5-282	P5-282-radical-marker-geometry	0.818804	0.841569	0.875016	0.88304	0.86615	0.756568	0.843457	0.73099	0.776408
P5-286	P5-286-gpu-smile-r3-deep-teacher	0.818985	0.837336	0.868883	0.878205	0.869923	0.756841	0.828531	0.748093	0.782417
P5-296	P5-296-physics-vbm-cbm	0.819133	0.870249	0.872656	0.85648	0.85597	0.777377	0.846974	0.745226	0.779248
P5-278	P5-278-partner-dropout	0.809667	0.827894	0.873361	0.870382	0.826714	0.756367	0.84456	0.71981	0.776472
P5-275	P5-275-slsqp-convex-feature-spaces	0.834379	0.84912	0.878095	0.883607	0.891652	0.752299	0.879908	0.741714	0.813381
P5-288	P5-288-residual-pseudolabel	0.82344	0.844332	0.877469	0.871039	0.844313	0.758806	0.867571	0.735024	0.809858
P5-290	P5-290-multimetric-loss-opt	0.764413	0.571655	0.451413	0.87248	0.845045	0.773876	0.869516	0.732168	0.806393
P5-292	P5-292-hierarchical-scaffold-split	0.823902	0.843241	0.877627	0.871144	0.845498	0.757331	0.868143	0.737202	0.81037
P5-294	P5-294-tg-quantile-residual-correction	0.834201	0.848442	0.877596	0.883162	0.891247	0.750948	0.879959	0.741285	0.815207
P5-298	P5-298-iterative-physics-autorefine	0.83399	0.84734	0.877437	0.88436	0.889582	0.753293	0.878305	0.739594	0.815358
P5-291	P5-291-ssl-topological-pretraining	0.828736	0.851419	0.88069	0.881082	0.899254	0.759343	0.867247	0.712434	0.801103
P5-299	P5-299-master-meta-stacking	0.834624	0.847192	0.878308	0.879907	0.894894	0.758804	0.874733	0.749428	0.806296
P5-295	P5-295-gp-residual-calibration	0.832072	0.838459	0.876671	0.881406	0.89493	0.757354	0.874125	0.730554	0.809461
P5-293	P5-293-cross-attention-dynamics	0.833526	0.847589	0.876943	0.883761	0.894151	0.754091	0.877782	0.735557	0.812395
P5-297	P5-297-staged-residual-cascade	0.826463	0.843434	0.875593	0.877842	0.878108	0.73657	0.872043	0.734944	0.810142
P5-289	P5-289-graph-topology-hybrid	0.81721	0.844082	0.87984	0.876897	0.852135	0.742521	0.862884	0.710864	0.795329
P5-300	P5-300-graph-diffusion-dynamics	0.832918	0.84322	0.880735	0.883038	0.903227	0.77965	0.869554	0.707598	0.806623
P5-301	P5-301-direct-r2-gradient	0.829136	0.854283	0.880713	0.875106	0.901042	0.763823	0.868304	0.720733	0.794232
P5-302	P5-302-conformal-interval-shrinkage	0.828325	0.85227	0.878311	0.873065	0.900401	0.763846	0.867628	0.71822	0.796802
P5-303	P5-303-optimal-transport-matching	0.833871	0.852069	0.880491	0.875377	0.905109	0.768372	0.870195	0.731714	0.805837
P5-304	P5-304-hierarchical-graph-distillation	0.829735	0.854212	0.880754	0.875326	0.901048	0.763823	0.868306	0.72044	0.79845
P5-305	P5-305-moss-formula-inversion	0.83189	0.854066	0.881083	0.873827	0.90352	0.771298	0.865514	0.713842	0.814149
P5-306	P5-306-orthogonal-subspace-projection	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799252
P5-307	P5-307-multi-graph-topological-fusion	0.8288	0.854525	0.880595	0.87701	0.902762	0.76358	0.867752	0.717094	0.792805
P5-308	P5-308-graph-masked-autoencoder	0.830489	0.854525	0.880959	0.875919	0.900823	0.768441	0.865623	0.726235	0.795421
P5-309	P5-309-backbone-conjugation-energy	0.831564	0.853893	0.880368	0.876184	0.9026	0.767242	0.864905	0.731397	0.798254
P5-310	P5-310-scaffold-spline-stacking	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799252
P5-311	P5-311-conformal-uncertainty-weights	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-312	P5-312-residual-inversion-filters	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-313	P5-313-bayesian-joint-covariance	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-314	P5-314-cross-attention-meta-layer	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-315	P5-315-latent-graph-diffusion-matrix	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-316	P5-316-orthogonal-spectral-decomposition	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-317	P5-317-graph-moss-physics-stacking	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-318	P5-318-scaffold-quantile-diffusion	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799252
P5-319	P5-319-slsqp-direct-competition-r2	0.829136	0.854283	0.880713	0.875106	0.901042	0.763823	0.868304	0.720733	0.794232
P5-320	P5-320-sparse-target-cross-distillation	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-321	P5-321-self-consistent-graph-field	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799252
P5-322	P5-322-nonlinear-manifold-stacking	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-323	P5-323-multiscale-energy-network	0.829632	0.855239	0.881447	0.874594	0.901434	0.768341	0.863819	0.723938	0.79385
P5-324	P5-324-graph-kernel-meta-ensemble	0.829924	0.854193	0.880754	0.875357	0.901078	0.763823	0.868353	0.720852	0.799253
P5-331	P5-331-smiler3-multiteacher-distill	0.82902	0.850908	0.880971	0.869199	0.892744	0.765257	0.851004	0.728363	0.815598
P5-330	P5-330-large-scale-smiler3-mlm	0.836237	0.85831	0.8826	0.8806	0.9035	0.7479	0.8762	0.7365	0.8263
P5-332	P5-332-contrastive-infonce-smiler3	0.834176	0.857434	0.880469	0.87185	0.89427	0.768024	0.876917	0.725914	0.821789
P5-333	P5-333-500k-smiler3-multitask-ssl	0.830659	0.855639	0.878531	0.869830	0.894040	0.767365	0.859076	0.726646	0.819128
