target,ad_bin,n,mae,r2
tg,ge_0.9,1317,14.774618765076456,0.9624600325306851
tg,0.7-0.9,1596,19.50205028706389,0.9315038438800707
tg,0.5-0.7,920,29.500775779143332,0.8306594967920724
tg,lt_0.5,310,43.561926958568115,0.6349392860487442
egc,ge_0.9,475,0.1675509922204955,0.9716177132664285
egc,0.7-0.9,409,0.2693827427104663,0.9297105924530601
egc,0.5-0.7,719,0.35512668135402325,0.8822366185417595
egc,lt_0.5,425,0.5321387851376689,0.7939543372793222
egb,ge_0.9,6,0.3064022471169919,0.628972235572372
egb,0.7-0.9,34,0.4066569180649952,0.9428078891725733
egb,0.5-0.7,170,0.39193277423404843,0.8896783041311962
egb,lt_0.5,127,0.6496488253166856,0.8086818689656717
ei,ge_0.9,0,,
ei,0.7-0.9,15,0.28377141532559347,0.40579354378017063
ei,0.5-0.7,140,0.30025040774446926,0.8057002529601042
ei,lt_0.5,67,0.4726085082153866,0.7509649209555977
eea,ge_0.9,6,0.19619491294196237,0.88335783626045
eea,0.7-0.9,16,0.27743766914306944,0.8173767250030376
eea,0.5-0.7,141,0.31048311154941394,0.8479194546969092
eea,lt_0.5,58,0.36029306024431973,0.8562806287006836
nc,ge_0.9,4,,
nc,0.7-0.9,22,0.09514182606262747,0.7497317892087998
nc,0.5-0.7,134,0.07011945522276893,0.7613142251348386
nc,lt_0.5,69,0.05925798030242883,0.7418581218459015
eps,ge_0.9,2,,
eps,0.7-0.9,15,0.37007572069096634,0.5342348547749785
eps,0.5-0.7,150,0.4019829429993267,0.7298620781928056
eps,lt_0.5,62,0.31629479629379975,0.7287912018114474
