target,nominal_coverage,empirical_coverage,interval_halfwidth,n_calibration,n_validation
tg,0.8,0.8106151990349819,33.13128866847929,3314,829
tg,0.9,0.9191797346200241,50.645711000324084,3314,829
tg,0.95,0.9589867310012062,70.33565194544578,3314,829
egc,0.8,0.8177339901477833,0.518712988024728,1622,406
egc,0.9,0.9187192118226601,0.7574500725144188,1622,406
egc,0.95,0.9532019704433498,1.0154907262197717,1622,406
egb,0.8,0.8529411764705882,0.7842195859151037,269,68
egb,0.9,0.8823529411764706,1.0020015313217352,269,68
egb,0.95,0.9411764705882353,1.3332011577312486,269,68
ei,0.8,0.8,0.5512341889153662,177,45
ei,0.9,0.9333333333333333,0.8736116896270519,177,45
ei,0.95,0.9555555555555556,1.0030846913572573,177,45
eea,0.8,0.8888888888888888,0.5058298947326204,176,45
eea,0.9,0.9555555555555556,0.679145197198286,176,45
eea,0.95,0.9777777777777777,0.9133692704101093,176,45
nc,0.8,0.8478260869565217,0.10529335169729184,183,46
nc,0.9,0.9782608695652174,0.19994026019719097,183,46
nc,0.95,1.0,0.2725265525755388,183,46
eps,0.8,0.782608695652174,0.5613504964866931,183,46
eps,0.9,0.9347826086956522,0.876193332929892,183,46
eps,0.95,0.9782608695652174,1.1965655742338044,183,46
