polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*CCOC(=S)NC(=S)c1ccc(N*)cc1,30,5.283142531209899,5.310191986847156,0.08822539338872992,8.580618731806452e-16,0.23913062845029742,0.0,0.0,0.0
1,*CO*,6,3.6533394713068836,3.6813261753836906,0.023607764850546897,4.440892098500626e-16,0.07016112126721641,0.0,0.0,0.0
2,*CC(=O)c1ccc(C(*)=S)s1,30,5.540815180973658,5.384657418589394,0.08006731660743445,1.7763568394002505e-15,0.30245652167111636,0.0,0.0,0.0
3,*C(=O)Oc1ccc(C(*)=S)cc1,30,4.854621769804535,4.760204535306885,0.08145536064676716,8.881784197001252e-16,0.2661374795151765,0.0,0.0,0.0
4,*CC(=O)Oc1ccc(*)s1,30,4.051233872097969,4.149011945920697,0.03072675362937288,0.0,0.1520049588734267,0.0,0.0,0.0
5,*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,30,5.87384504831045,5.787961392853472,0.05615953611381853,1.7313784796629085e-15,0.2532987965516531,0.0,0.0,0.0
6,*Oc1ccc(C(F)(F)C(*)(F)F)s1,30,3.643961029042724,3.799593916844283,0.06502658142233599,4.440892098500626e-16,0.257712812211635,0.0,0.0,0.0
7,*Cc1ccc(Cc2ccc(*)s2)cc1,30,3.443567780101911,3.5828653871664176,0.07863835131361481,4.440892098500626e-16,0.32656891754331063,0.0,0.0,0.0
8,*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Cc3ccc(*)cc3)cc2)cc1,30,4.624229144708114,4.721391475033782,0.10466713644720041,0.0,0.3911245360621436,0.0,0.0,0.0
9,*CCCO*,10,3.0379187146752082,3.264054919888978,0.0839103830921807,0.0,0.29813070125829233,0.0,0.0,0.0
10,*CONC(*)=O,24,4.1389231712567955,4.1289047768451725,0.054553748600167255,0.0,0.183334667499496,0.0,0.0,0.0
11,*CNC(=S)c1ccc(*)s1,30,4.6656089884378025,4.862234571551471,0.09715704508993565,2.145154682951613e-15,0.4416912686972916,0.0,0.0,0.0
12,*CCC(=O)N*,24,3.48867706699845,3.6529271373347982,0.08011891646397236,0.0,0.4068852023067242,0.0,0.0,0.0
13,*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,30,5.132604525997446,5.032032726280327,0.061729347930174185,9.729507111180987e-16,0.19884849938977034,0.0,0.0,0.0
14,*NC(=O)C(=S)c1ccc(*)s1,30,8.193854995792996,7.504122552361243,0.13648760668442425,1.9459014222361975e-15,0.8658853808449098,0.8,0.0,0.0
15,*Nc1ccc(OC(*)=S)s1,30,5.05905015212025,4.913380437660993,0.0709201205042324,0.0,0.2947161687430526,0.0,0.0,0.0
16,*OC(F)(F)CC(*)(F)F,30,3.49828673290037,3.5788472731030847,0.033278268571522156,4.440892098500626e-16,0.14655462298196653,0.0,0.0,0.0
17,*CC(=O)c1ccc(C(*)=O)cc1,30,4.208773866777907,4.2220521579177,0.036187935352160396,9.729507111180987e-16,0.08256949040156503,0.0,0.0,0.0
18,*Cc1ccc(OC(*)=S)cc1,30,4.0494833304408795,4.206080039020471,0.08075458639379778,0.0,0.42154540833591714,0.0,0.0,0.0
19,*c1ccc(C(F)(F)NC(*)(F)F)s1,30,4.459562831741431,4.205835057240629,0.07208247028964145,8.881784197001252e-16,0.3529873633042069,0.0,0.0,0.0
20,*Cc1ccc(C(=S)c2ccc(*)s2)cc1,30,4.638200912550191,4.902650040472783,0.14809795930621927,0.0,0.5208007971572499,0.0,0.0,0.0
21,*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,30,4.151720068367812,4.054048663355846,0.06304477767285718,8.881784197001252e-16,0.250604342550961,0.0,0.0,0.0
22,*CC(=O)C(=S)O*,30,4.786160551484708,4.5906550762055955,0.057359330871789085,8.881784197001252e-16,0.2823865542880677,0.0,0.0,0.0
23,*Nc1ccc(C(=O)c2ccc(*)s2)s1,30,7.59539705427871,7.197367958895187,0.09458692634510794,1.7763568394002505e-15,0.49291176958755933,0.0,0.0,0.0
24,*OC(=O)C(F)(F)C(*)(F)F,30,3.5694445212819916,3.6676483266636803,0.03753610752351147,8.881784197001252e-16,0.14628801317227058,0.0,0.0,0.0
25,*C(=O)NC(F)(F)C(*)(F)F,30,3.574547591146401,3.6883460701802857,0.08574057673012213,8.881784197001252e-16,0.3386994683999349,0.0,0.0,0.0
26,*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,30,3.9793037319388374,4.030001128697689,0.045493760656562125,4.440892098500626e-16,0.13308599934625676,0.0,0.0,0.0
27,*NOc1ccc(O*)cc1,30,4.107218026446551,4.120430019425439,0.03553874356462208,8.881784197001252e-16,0.09391980131254307,0.0,0.0,0.0
28,*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,30,3.487574178108952,3.625457139099345,0.03628952290339412,8.580618731806452e-16,0.20495251115903823,0.0,0.0,0.0
29,*Nc1ccc(Nc2ccc(*)s2)cc1,30,5.007737959388399,4.64712653645647,0.08726818541352528,8.881784197001252e-16,0.43105166342433776,0.0,0.0,0.0
30,*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,30,3.637508857986073,3.8592803933407707,0.07201609500510055,9.244454088746557e-16,0.32827293058868445,0.0,0.0,0.0
31,*CCOCCOC(=O)O*,30,3.342984537634713,3.4730369465306348,0.0407157770037804,1.3322676295501878e-15,0.19464472420273538,0.0,0.0,0.0
32,*Nc1ccc(C(=O)C(*)=S)cc1,30,5.5134267894459175,5.202494792718712,0.1370270166495376,2.6645352591003757e-15,0.49239294340221385,0.0,0.0,0.0
33,*C(=S)C(F)(F)NC(*)(F)F,30,4.4468198688340825,4.209307468586479,0.11142888006673886,8.881784197001252e-16,0.3874419158200535,0.0,0.0,0.0
34,*CNc1ccc(C(*)=O)cc1,30,4.3119730619398275,4.281191576811967,0.03484596767392891,8.881784197001252e-16,0.09835200079386475,0.0,0.0,0.0
35,*CCC(=S)O*,24,3.9632170975780148,3.988928819905702,0.05110325186251434,0.0,0.13692384362498045,0.0,0.0,0.0
36,*NC(=S)c1ccc(O*)cc1,30,4.8232072251376845,4.663629421639181,0.07105001673251317,1.7763568394002505e-15,0.2971246810750259,0.0,0.0,0.0
37,*Nc1ccc(-c2ccc(O*)cc2)cc1,30,4.38372176589756,4.249808959416902,0.05243863058731761,2.293266818639604e-16,0.24706033785582537,0.0,0.0,0.0
38,*NC(=O)C(=S)O*,30,6.283465448297899,5.443968575377648,0.22830950166348002,8.881784197001252e-16,1.0399440657892347,0.9,0.0,0.0
39,*CC(=S)CO*,24,4.1979848427227795,4.1763859365707106,0.034876929819710155,0.0,0.08625208601285905,0.0,0.0,0.0
40,*OCCCCONC(*)=O,30,3.972538596293316,3.9271284109091806,0.053610263146347294,8.881784197001252e-16,0.14417459206190752,0.0,0.0,0.0
41,*CCCCCCC(=O)N*,30,3.326870757293918,3.4552908608829163,0.06896423608672497,0.0,0.36798620254870595,0.0,0.0,0.0
42,*CNC(=O)C(*)=S,30,5.1568136956530175,5.1246524798249835,0.08397695604866165,1.7763568394002505e-15,0.1674638084412825,0.0,0.0,0.0
43,*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,30,6.554584222161692,5.854802465897415,0.13609831737947675,2.584380453971751e-15,0.8489385565492471,0.9333333333333333,0.0,0.0
44,*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,30,3.847652387954282,3.851750658754726,0.04817649161477144,4.864753555590494e-16,0.1073547234670702,0.0,0.0,0.0
45,*Cc1ccc(C(=O)O*)s1,30,4.323781830255921,4.3597745282349,0.05009787044748925,8.881784197001252e-16,0.11044230929294407,0.0,0.0,0.0
46,*NC(=O)Oc1ccc(*)s1,30,4.659098481767096,4.473913591827283,0.09147943272311337,1.7763568394002505e-15,0.27290602746160975,0.0,0.0,0.0
47,*CC(=O)CC(*)=S,30,4.385488933611155,4.472212293412011,0.058698974322614145,8.881784197001252e-16,0.3064221890484147,0.0,0.0,0.0
48,*CC(=S)c1ccc(O*)s1,30,5.468643916924163,5.226132279197771,0.0785989801117459,2.6645352591003757e-15,0.39535241258070997,0.0,0.0,0.0
49,*CNOc1ccc(*)cc1,30,3.840610298200763,3.9273586743885427,0.0336043188781942,4.440892098500626e-16,0.1436014426574732,0.0,0.0,0.0
50,*CNCCNC(=O)OC*,30,3.620892257790682,3.729436655103815,0.03908386739026492,8.881784197001252e-16,0.19205057105202172,0.0,0.0,0.0
51,*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,30,7.605886044584354,6.895955366350659,0.10279213415292443,1.8488908177493114e-15,0.940221621277348,0.9666666666666667,0.0,0.0
52,*Cc1ccc(CO*)s1,30,3.994761902133615,3.9917263248526162,0.06723521975499218,8.881784197001252e-16,0.13045023903170838,0.0,0.0,0.0
53,*NOC(F)(F)C(*)(F)F,30,3.7503089424475453,3.7474954858029554,0.03454458998728707,0.0,0.0881815822718357,0.0,0.0,0.0
54,*CNCNC(=O)NC(=O)N*,30,3.952712376350503,4.101627012495168,0.06480870006391323,0.0,0.38585924169145036,0.0,0.0,0.0
55,*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,30,5.571276143250973,5.633209449379176,0.09732535811181468,8.881784197001252e-16,0.2411236029644659,0.0,0.0,0.0
56,*CC(=S)C(=O)O*,30,4.5913982518426915,4.5599401733228735,0.05444630567746573,0.0,0.16789034111790624,0.0,0.0,0.0
57,*NC(=S)OC(*)=S,30,6.0435975524042345,5.67622856710365,0.12104123635137702,8.881784197001252e-16,0.4768374727408089,0.0,0.0,0.0
58,*Cc1ccc(C(=O)O*)cc1,30,4.0089959734092115,4.08875791866723,0.06947480269318225,0.0,0.1963764883946224,0.0,0.0,0.0
59,*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,30,4.413620074127602,4.437490865499871,0.0416636135845782,8.881784197001252e-16,0.09609783740499189,0.0,0.0,0.0
60,*CCOC(=O)c1ccc(C(=O)O*)cc1,30,3.834043178042336,3.8540328598981857,0.036384612738594585,0.0,0.08847129536445797,0.0,0.0,0.0
61,*CCC(F)(F)C(*)(F)F,30,3.0768392860896947,3.2804167294454385,0.05046114610035461,0.0,0.2538614460525386,0.0,0.0,0.0
62,*c1ccc(C(F)(F)CC(*)(F)F)cc1,30,3.492109867555309,3.576269144854041,0.034178150970059676,8.881784197001252e-16,0.14247424846731116,0.0,0.0,0.0
63,*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,30,7.072859956964711,6.597035433268328,0.19576689901724859,1.7763568394002505e-15,0.6830660816573797,0.3333333333333333,0.0,0.0
64,*CNOC(*)=S,24,3.9349696862649397,4.161116500670218,0.08329767264903208,4.440892098500626e-16,0.38517226952799444,0.0,0.0,0.0
65,*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,30,6.449365946256606,6.3501931845331585,0.07040758955807695,2.6645352591003757e-15,0.24364102421417044,0.0,0.0,0.0
66,*NC(=O)c1ccc(O*)cc1,30,4.392740547143108,4.248997560364989,0.031232697840779186,0.0,0.22057334978613774,0.0,0.0,0.0
67,*CNc1ccc(-c2ccc(*)s2)cc1,30,4.391523703199222,4.33003787700561,0.03900268040337228,0.00228553005787111,0.12752500149224577,0.0,0.0,0.0
68,*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,30,5.285132197250542,5.366664861711287,0.13835753741452558,8.881784197001252e-16,0.36222935797166667,0.0,0.0,0.0
69,*CNc1ccc(N*)cc1,30,3.9635848565203284,4.005807215646684,0.04053047038404898,0.0,0.19041895328548097,0.0,0.0,0.0
70,*CNc1ccc(N*)s1,30,4.202177157535184,4.3110850415620705,0.13794587172735304,8.881784197001252e-16,0.4808703663247078,0.0,0.0,0.0
71,*CC(=O)O*,20,3.8519532114269346,3.9349490783221897,0.03841648495402956,8.881784197001252e-16,0.12867722434084605,0.0,0.0,0.0
72,*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,30,5.296236327542566,4.927972613240385,0.11073465749064329,1.7763568394002505e-15,0.5210070432857039,0.0,0.0,0.0
73,*Oc1ccc(Oc2ccc(*)s2)s1,30,3.8946447055189375,4.073570707158782,0.04683754770727603,8.881784197001252e-16,0.25364999189989623,0.0,0.0,0.0
74,*CCCCOC(=O)c1ccc(C(=O)O*)cc1,30,3.611058865265678,3.65310997318265,0.04686179058977934,8.656892398314543e-16,0.1250315724959159,0.0,0.0,0.0
75,*CC(=O)c1ccc(C(*)=O)s1,30,4.568612066144604,4.584666077154242,0.049847162504434606,8.881784197001252e-16,0.09641102303150006,0.0,0.0,0.0
76,*Oc1ccc(OC(*)=O)cc1,30,3.944374472059723,4.0616903602567485,0.046476084584821414,8.881784197001252e-16,0.19024018335020854,0.0,0.0,0.0
77,*Oc1ccc(C(=S)c2ccc(*)cc2)s1,30,4.6895490031415,4.835764420593094,0.09211662652699903,8.881784197001252e-16,0.39469667976947687,0.0,0.0,0.0
78,*NC(=S)C(=O)O*,30,5.978441707909148,5.39981784575503,0.19279577805808668,1.7763568394002505e-15,0.7139780154465267,0.8333333333333334,0.0,0.0
79,*NCC(F)(F)C(*)(F)F,30,3.6685356273832648,3.6727547333472,0.02735531700217462,0.0,0.07448579985252834,0.0,0.0,0.0
80,*CC(=S)c1ccc(O*)cc1,30,4.4808130031484055,4.376327684310405,0.06459299819870858,1.7763568394002505e-15,0.229738163582887,0.0,0.0,0.0
81,*Oc1ccc(-c2ccc(C(*)=O)s2)s1,30,5.2225898119761895,5.187129279160476,0.051023983528544786,1.7763568394002505e-15,0.11273979326066286,0.0,0.0,0.0
