polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*NC(=O)c1ccc(NC(=S)c2ccc(Nc3ccc(*)cc3)cc2)s1,30,2.2216509584901636,2.1625520817108046,0.02376512579622375,4.290309365903226e-16,0.09897592702976299,0.0,0.0,0.0
1,*CC(*)C,16,1.614752845805448,1.6570913426145468,0.013265760500446718,0.0,0.05403500248485571,0.0,0.0,0.0
2,*Nc1ccc(C(=O)c2ccc(*)s2)s1,30,2.456660539876941,2.3253284658805553,0.024297376488504635,4.440892098500626e-16,0.1649364079559703,0.7,0.0,0.0
3,*CC(=S)C(=O)O*,30,1.9226448504589246,1.9061563184499668,0.014827211067718055,4.440892098500626e-16,0.03917829269097228,0.0,0.0,0.0
4,*C(F)C(*)(F)F,30,1.6601809265323821,1.6728240986102005,0.008255879767416869,4.440892098500626e-16,0.03040882975092485,0.0,0.0,0.0
5,*CCC(=O)c1ccc(*)s1,30,1.8566432910631794,1.8359713388908696,0.014928472169407844,0.0,0.04232126841428441,0.0,0.0,0.0
6,*Oc1ccc(-c2ccc(C(*)=O)s2)s1,30,2.0750489716394602,2.0895828633230433,0.01804307133324249,0.0,0.04694977436737302,0.0,0.0,0.0
7,*CCCC(*)=O,24,1.6577766641754832,1.694064160893524,0.014573886056525117,0.0,0.06381537246195079,0.0,0.0,0.0
8,*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,30,2.0321300572793777,2.0099398653889646,0.012498719515099963,8.881784197001252e-16,0.04688875567772799,0.0,0.0,0.0
9,*NOC(=S)O*,24,1.940680786923696,1.9084568251379785,0.017279532236326132,2.220446049250313e-16,0.07855196135963505,0.0,0.0,0.0
10,*C(=O)NC(=O)c1ccc(*)cc1,30,1.9011938942562985,1.8737331899011511,0.017653626316128424,6.661338147750939e-16,0.05369532292684376,0.0,0.0,0.0
11,*CC(=O)Cc1ccc(*)s1,30,1.8004242729528412,1.8084973901668178,0.017584655088510676,4.440892098500626e-16,0.057587014704981954,0.0,0.0,0.0
12,*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,30,1.9794459935619086,1.9687795418675909,0.0237500988860393,4.440892098500626e-16,0.05421059967307884,0.0,0.0,0.0
13,*OC(F)(F)C(=S)C(*)(F)F,30,1.6839781989971025,1.7431496955402046,0.011326557360558804,2.220446049250313e-16,0.07505044970622232,0.0,0.0,0.0
14,*CC(=S)NO*,23,1.892511015894746,1.8907751421545915,0.00887540483154106,2.220446049250313e-16,0.020155811296547643,0.0,0.0,0.0
15,*c1ccc(*)cc1,12,2.0659831571009217,2.0185252633319446,0.017968925934389555,4.440892098500626e-16,0.06629868493385604,0.0,0.0,0.0
16,*c1ccc(CC(F)(F)C(*)(F)F)s1,30,1.769674219338174,1.7496689242358359,0.02209852476765775,6.661338147750939e-16,0.05144725854652199,0.0,0.0,0.0
17,*CCOC(=O)NCCOCCOCCNC(=O)O*,30,1.674400633173481,1.683938926602967,0.01153647335158378,4.440892098500626e-16,0.038094745683246334,0.0,0.0,0.0
18,*C(=O)c1ccc(C(=O)C(*)=S)cc1,30,2.110437164628017,2.053490924733818,0.02176982419966289,0.0,0.09080139870831161,0.0,0.0,0.0
19,*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,30,2.177797585734939,2.1401293656561373,0.024368045017428987,8.881784197001252e-16,0.08391646233192818,0.0,0.0,0.0
20,*CCC(O*)(C(F)(F)F)C(F)(F)F,30,1.5765621114652966,1.6019581200599038,0.008128673895956687,6.661338147750939e-16,0.04230418503641031,0.0,0.0,0.0
21,*NC(=S)c1ccc(O*)cc1,30,1.9863339718174036,1.954294693631097,0.013666007265790507,4.440892098500626e-16,0.055090736451432365,0.0,0.0,0.0
22,*CCC(=O)c1ccc(*)cc1,30,1.8252324967571112,1.8097708183748786,0.014357369575923437,4.3284461991572713e-16,0.036024936121249684,0.0,0.0,0.0
23,*C(=S)OC(=S)c1ccc(*)s1,30,2.292460070546293,2.2535425795701935,0.014668852740712779,0.0,0.06931222257548031,0.0,0.0,0.0
24,*CC(=S)CC(*)=S,30,1.9614991592639786,1.9628705565366427,0.0159184019860401,2.220446049250313e-16,0.0555292921180206,0.0,0.0,0.0
25,*Cc1ccc(-c2ccc(O*)s2)s1,30,1.948934426708389,1.8901251533276964,0.016682155784720713,4.440892098500626e-16,0.08905573518437726,0.0,0.0,0.0
26,*C(=S)C(F)(F)NC(*)(F)F,30,1.7848652300231032,1.8087247461634581,0.022643826901599995,2.220446049250313e-16,0.06582424472122339,0.0,0.0,0.0
27,*C(=O)C(=S)OC(*)=S,30,2.28720299224209,2.22646911367717,0.022742216524451492,8.881784197001252e-16,0.11661538698641838,0.0,0.0,0.0
28,*CNOc1ccc(*)s1,30,1.8546858269585016,1.852364645397088,0.011241298516384463,0.0,0.027653042262368643,0.0,0.0,0.0
29,*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,30,1.9358198588250821,1.926685249776777,0.020203032367878952,2.220446049250313e-16,0.047599367236150325,0.0,0.0,0.0
30,*NC(=S)NC(*)=S,30,2.2436120246865547,2.192196926352469,0.018898846959856802,0.0,0.0756545112683229,0.0,0.0,0.0
31,*CC(=O)CO*,24,1.688225041982518,1.700545816702471,0.006306177436096147,0.0,0.022631861729759617,0.0,0.0,0.0
32,*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,30,2.0050178253336104,1.9543200548302704,0.022816135888115475,0.0,0.09679150192570285,0.0,0.0,0.0
33,*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,30,2.004798043492343,2.0162315793528647,0.021175779362889148,0.0,0.05230309076236184,0.0,0.0,0.0
