polymer,smiles,n_variants,pred_canonical,mean_pred,std_pred,std_pred_graph_only,max_dev,viol_rate_0_5sigma,viol_rate_1sigma,viol_rate_2sigma
0,*Nc1ccc(cc1)C(c1ccc(cc1)NC(=O)c1cc(cc(c1)NC(=O)CCCN1C(=O)c2c(C1=O)cccc2)C(=O)*)(C(F)(F)F)C(F)(F)F,30,240.02048209258032,253.02859466726653,12.14983549555752,0.1300794086395142,36.07951066775723,0.0,0.0,0.0
1,*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)*)cc1,30,208.98129836677043,233.486412111495,12.239384400904212,1.6447102286714124,48.4750766742801,0.0,0.0,0.0
2,*NC(=O)CCP(=O)(CCC(=O)NCCCCCCCCCC*)C,30,46.04590529785004,27.99392848628576,8.006005895534972,1.556721137788958e-14,34.075429522349054,0.0,0.0,0.0
3,*N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2cc(c(cc2)Oc2c(cccc2)Oc2c(cc(cc2)*)C(F)(F)F)C(F)(F)F)cc1,30,203.28740133409138,232.41385556570884,17.252859780838318,1.3646522929644325,59.60849813857902,0.06666666666666667,0.0,0.0
4,*C(C*)C(=O)OCCCCSC,30,-63.72494348935852,-56.24041034147618,11.78961698471436,1.4210854715202004e-14,44.237121932128055,0.0,0.0,0.0
5,*c1cc2c(C(=O)N(C2=O)c2c(ccc(c2)C(=O)Oc2ccc(cc2)C(c2ccc(cc2)OC(=O)c2cc(c(cc2)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C)cc1,30,281.31296108357583,289.7594282962619,17.68408908796813,0.10670758371444233,43.4801811190639,0.0,0.0,0.0
6,*OC(=O)CCCCCCCCC(=O)OCC*,30,-41.02069504821932,-41.63264863727895,8.367087397845252,0.0,17.725237040836532,0.0,0.0,0.0
7,*C(CCCCC*)C,30,-59.058616305161294,-60.021270438112246,15.091198835517613,1.1007680729470101e-14,47.78814279793967,0.0,0.0,0.0
8,*Oc1ccc(cc1)C(=O)OCCOCCOCCOCCOC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,30,34.834221368226196,71.23000198610565,10.993252779354563,1.0153039438177467,56.17385349323442,0.1,0.0,0.0
9,*C(C*)(C(=O)OCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCC)C,30,106.81677403366226,63.69372521485719,14.016431864794843,0.816068053366284,72.45305450296324,0.2,0.0,0.0
10,*N=Nc1ccc(cc1)NC(=O)CCC(=O)Nc1ccc(cc1)*,30,221.15348269350807,208.16371112949503,8.381075374373712,8.367124703386107e-14,33.0173220078689,0.0,0.0,0.0
11,*C(C*)(C(=O)OCC(Oc1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C#N)C)C,30,133.61056044906334,130.1809328155978,15.67533328658308,0.5592308446882364,41.92177612756572,0.0,0.0,0.0
12,*c1nc2c(cc1)cc(cc2)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)*,30,234.50667566638936,246.5942507925479,13.104381323012985,5.684341886080802e-14,39.342614577188954,0.0,0.0,0.0
13,*N=P(*)(OCCCCC)OCCC,30,-96.32365323242041,-65.04676107785491,7.128841823802408,0.0,41.20113681090028,0.0,0.0,0.0
14,*Oc1ccc(cc1)OCC(CN(S(=O)(=O)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)N(CC(C*)O)C)C)O,30,85.10121016276655,93.01568132004972,11.715688847159567,1.556721137788958e-14,34.17703972334816,0.0,0.0,0.0
15,*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)C(CC)C)(C)C)C(CC)C,30,94.84447178916932,154.51873161161367,12.795999227431897,0.0,85.13475022932923,0.6333333333333333,0.0,0.0
16,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)Cc1ccc(cc1)C(=O)*)(C)C,30,181.91924281611654,187.32882010275853,11.077750807675786,2.842170943040401e-14,30.17685217034193,0.0,0.0,0.0
17,*c1oc(nn1)c1ccc(cc1)C(=O)OCCCCCCOc1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)OCCCCCCOC(=O)c2ccc(cc2)*)CCC1,30,80.64158526974526,104.6671474017001,15.75813908049504,0.7297254487576902,49.116834956169924,0.0,0.0,0.0
