target,bucket,n,r2,mae
tg,bottom_10,416,-0.8316766279975478,24.461571935258505
tg,middle_80,3312,0.8502465988970255,20.682394506868317
tg,top_10,415,-0.40974590631529684,30.2463896720777
egc,bottom_10,203,-1.4959157693738394,0.6179941539031262
egc,middle_80,1622,0.8641632770899788,0.2970788574405096
egc,top_10,203,0.24826640668381106,0.31499808196811263
egb,bottom_10,34,-13.210234625453342,0.8377900363366064
egb,middle_80,269,0.8449086605469109,0.4257683581285798
egb,top_10,34,0.08882658609112604,0.6406521047025442
ei,bottom_10,23,-5.903831591028119,0.5841419406705208
ei,middle_80,176,0.6485260717126595,0.2955803018088608
ei,top_10,23,-0.35992210014032344,0.5434348091634356
eea,bottom_10,23,-19.6152947954318,0.4133892049826271
eea,middle_80,175,0.7721823174186644,0.29079328701385126
eea,top_10,23,-1.1142590425908083,0.4301961506327996
nc,bottom_10,23,-8.329434255268586,0.054613123649465335
nc,middle_80,183,0.6514758350585896,0.05910350691115995
nc,top_10,23,-0.8264752545975593,0.16607117055242432
eps,bottom_10,23,-0.39642394009170934,0.1603577846688721
eps,middle_80,183,0.640106032965662,0.32240160112441546
eps,top_10,23,-1.5801867518148942,0.9947272389299604
