Dataset,MolWt,LogP,NumRings,TPSA
Train,306.40200000000004,4.394100000000004,1,63.599999999999994
Train,204.19099999999995,2.844700000000002,1,20.23
Train,199.33799999999997,3.3926000000000007,0,43.09
Train,251.35400000000004,4.664300000000002,3,26.02
Train,121.18599999999998,0.2038000000000001,0,35.25
Train,1105.3,16.92609999999997,15,120.47000000000003
Train,226.31999999999996,1.1944,1,72.19
Train,620.7050000000002,9.765239999999999,6,96.88999999999999
Train,176.28099999999998,2.0827999999999998,0,26.3
Train,322.317,2.0069,1,121.8
Train,264.349,4.894600000000002,3,17.07
Train,672.7480000000002,10.259219999999994,6,148.67999999999998
Train,294.25600000000003,1.7843,0,117.59000000000002
Train,214.30499999999995,3.1709000000000023,0,54.37
Train,398.5020000000002,5.889200000000006,5,46.53
Train,448.4270000000002,3.8262000000000027,3,116.20000000000002
Train,184.14699999999996,0.6094,1,65.74000000000001
Train,566.5690000000004,6.546200000000005,7,102.01000000000002
Train,200.23700000000002,3.1552000000000016,2,26.3
Train,286.338,3.929400000000002,4,46.5
Train,323.39200000000005,4.154020000000004,2,70.32
Train,171.23999999999995,2.0189,1,29.54
Train,132.056,1.2267,0,20.23
Train,178.19099999999997,0.7146200000000001,1,72.19
Train,644.6390000000004,8.414700000000002,8,111.24000000000002
Train,90.553,2.1489000000000003,0,0.0
Train,442.6090000000001,7.536620000000006,5,35.010000000000005
Train,194.127,2.749100000000001,1,20.23
Train,143.16699999999997,1.2056000000000002,1,52.32000000000001
Train,456.7120000000004,5.269400000000005,0,87.66000000000001
Train,170.302,3.0730200000000014,1,0.0
Train,334.456,5.462500000000005,1,63.60000000000001
Train,605.5120000000004,8.7966,5,78.63000000000001
Train,524.6630000000002,8.7636,5,52.6
Train,590.6970000000001,8.597480000000004,6,78.9
Train,444.4860000000001,6.799700000000007,5,63.6
Train,452.5060000000002,6.542100000000005,4,72.83000000000001
Train,720.7100000000004,9.3364,6,74.76
Train,134.13500000000002,-1.1607000000000003,0,70.59
Train,260.485,1.9379,2,20.23
Train,516.6290000000002,3.784200000000004,6,83.55000000000001
Train,443.4960000000001,5.804100000000006,2,108.13000000000002
Train,470.52400000000017,7.313500000000007,5,63.6
Train,1426.768000000001,14.064499999999985,3,147.58999999999997
Train,161.117,-1.5051999999999996,0,110.51999999999998
Train,60.099999999999994,-0.8780000000000001,0,38.05
Train,254.37399999999997,1.974599999999999,1,72.19
Train,172.224,2.5073000000000008,1,46.53
Train,74.12299999999999,0.7771999999999999,0,20.23
Train,822.7700000000002,7.540100000000007,9,159.26
Train,338.60100000000006,7.916620000000007,1,9.23
Train,154.21199999999996,2.9384000000000015,3,0.0
Train,752.9110000000002,12.133199999999984,7,96.89000000000001
Train,207.27299999999997,1.5936,2,37.38
Train,296.37,2.640760000000001,2,72.19
Train,154.18999999999997,1.7632,1,34.14
Train,230.30399999999992,2.263,1,44.760000000000005
Train,466.75300000000055,11.121299999999987,4,0.0
Train,400.47400000000016,5.4112000000000045,4,63.6
Train,548.6780000000002,4.831000000000003,7,77.84
Train,120.19499999999995,2.639100000000001,1,0.0
Train,158.197,1.6105,0,54.37
Train,779.7339999999995,8.682860000000003,5,132.88
Train,93.10699999999999,-0.28040000000000004,0,55.480000000000004
Train,472.4160000000003,2.995260000000002,5,148.2
Train,712.8010000000003,9.47312,6,116.20000000000002
Train,518.3690000000001,5.496000000000002,5,74.76
Train,566.5260000000003,2.5735,4,179.99999999999997
Train,282.387,3.805500000000003,2,32.34
Train,426.4790000000001,6.699300000000005,6,60.790000000000006
Train,190.267,3.423700000000002,2,9.23
Train,100.161,1.3114,1,20.23
Train,1071.127,17.336199999999987,9,106.12000000000002
Train,420.6820000000004,6.059000000000006,2,72.19
Train,204.22599999999997,-1.3621999999999974,0,90.64999999999999
Train,674.6750000000004,8.595780000000005,7,92.78
Train,104.10499999999999,-0.4598000000000002,0,46.53
Train,214.39299999999994,4.943800000000005,0,9.23
Train,121.18299999999998,1.88564,1,26.02
Train,980.5590000000011,9.884999999999994,6,132.96
Train,291.284,1.5025,2,92.69999999999999
Train,490.5160000000004,2.9301000000000013,4,124.16999999999999
Train,72.151,2.1965000000000003,0,0.0
Train,143.167,1.0285000000000002,1,63.32000000000001
Train,104.13399999999999,-0.3880999999999999,0,55.120000000000005
Train,340.4630000000001,5.500100000000005,2,46.53
Train,298.4669999999999,5.511500000000006,0,54.37
Train,207.361,4.697900000000004,1,15.79
Train,715.6930000000004,12.733899999999984,8,31.35
Train,93.12899999999999,1.39002,1,12.89
Train,503.49200000000013,2.0158,5,138.0
Train,143.16699999999997,0.5526,1,63.32000000000001
Train,91.13499999999999,0.3125,0,32.26
Train,298.47400000000005,4.595900000000004,2,18.02
Train,413.4740000000001,6.148600000000006,2,103.39
Train,944.9850000000001,10.238999999999994,12,177.52999999999997
Train,60.099999999999994,-0.8780000000000001,0,38.05
Train,648.6240000000004,4.324700000000004,6,154.60999999999999
Train,151.165,1.2583,1,39.19
Train,131.131,-0.6226000000000003,0,80.39
Train,586.5280000000002,8.268900000000006,4,63.6
Train,690.7560000000001,11.386099999999985,6,131.5
Train,369.4390000000002,3.492770000000003,0,79.23000000000002
