iter	Passed	Remaining
0	3	1361
1	5	1183
2	8	1128
3	11	1118
4	14	1112
5	17	1125
6	19	1116
7	22	1115
8	26	1164
9	29	1155
10	32	1138
11	34	1125
12	37	1128
13	40	1124
14	43	1124
15	46	1119
16	49	1111
17	52	1104
18	54	1095
19	57	1097
20	60	1087
21	63	1082
22	65	1076
23	68	1069
24	71	1070
25	73	1058
26	77	1066
27	79	1062
28	82	1060
29	85	1054
30	88	1049
31	91	1052
32	94	1047
33	97	1050
34	100	1050
35	103	1045
36	106	1043
37	109	1047
38	112	1044
39	115	1038
40	118	1039
41	121	1033
42	124	1031
43	127	1028
44	129	1023
45	132	1020
46	135	1017
47	138	1013
48	140	1008
49	143	1007
50	146	1001
51	149	999
52	152	995
53	154	991
54	157	985
55	159	981
56	163	982
57	165	978
58	168	974
59	171	969
60	173	965
61	176	963
62	179	958
63	181	955
64	184	952
65	187	947
66	190	945
67	193	942
68	195	940
69	199	939
70	201	935
71	204	931
72	207	927
73	210	927
74	213	924
75	215	919
76	218	916
77	220	911
78	223	908
79	226	905
80	228	901
81	231	897
82	234	894
83	236	890
84	239	886
85	241	883
86	244	880
87	247	876
88	250	874
89	253	873
90	256	869
91	258	865
92	262	866
93	265	863
94	267	859
95	270	856
96	273	854
97	277	853
98	279	851
99	283	849
100	286	847
101	289	844
102	292	843
103	296	844
104	299	841
105	302	838
106	305	836
107	308	835
108	312	832
109	314	830
110	317	827
111	320	824
112	323	821
113	326	818
114	328	814
115	332	813
116	334	810
117	337	806
118	340	803
119	342	800
120	346	797
121	348	794
122	352	792
123	354	789
124	357	786
125	360	783
126	362	779
127	365	777
128	368	773
129	371	770
130	374	768
131	376	765
132	379	762
133	382	759
134	385	756
135	387	752
136	390	750
137	395	750
138	398	747
139	400	744
140	403	741
141	405	737
142	410	737
143	414	736
144	418	735
145	421	733
146	426	733
147	430	732
148	434	731
149	438	730
150	442	729
151	445	726
152	449	724
153	452	722
154	455	719
155	458	716
156	460	712
157	463	709
158	465	705
159	468	702
160	470	698
161	474	696
162	476	693
163	479	689
164	481	686
165	484	682
166	486	679
167	489	675
168	492	673
169	494	669
170	497	666
171	500	662
172	502	659
173	505	656
174	507	653
175	510	649
176	513	646
177	516	644
178	519	641
179	522	638
180	525	635
181	528	632
182	530	629
183	533	626
184	536	623
185	539	620
186	541	617
187	545	615
188	547	611
189	550	608
190	553	605
191	555	601
192	558	598
193	560	595
194	563	592
195	565	589
196	568	586
197	572	584
198	575	581
199	577	577
200	580	574
201	583	571
202	586	569
203	590	566
204	592	563
205	595	560
206	598	557
207	600	554
208	605	553
209	607	549
210	610	546
211	612	543
212	615	540
213	617	536
214	620	533
215	622	530
216	625	527
217	628	524
218	630	521
219	633	517
220	636	515
221	639	512
222	641	509
223	644	506
224	647	503
225	649	500
226	652	497
227	654	494
228	657	490
229	660	487
230	662	484
231	665	481
232	667	478
233	670	475
234	673	473
235	676	469
236	678	466
237	681	463
238	684	460
239	687	458
240	689	455
241	692	452
242	695	449
243	697	446
244	700	443
245	703	440
246	706	437
247	708	434
248	711	431
249	713	428
250	716	425
251	718	422
252	722	419
253	725	416
254	728	413
255	730	410
256	733	407
257	735	404
258	739	402
259	741	399
260	744	396
261	746	393
262	749	390
263	753	387
264	756	385
265	758	382
266	761	379
267	764	376
268	766	373
269	769	370
270	772	367
271	775	364
272	778	361
273	780	358
274	783	356
275	786	353
276	789	350
277	791	347
278	794	344
279	796	341
280	799	338
281	801	335
282	804	332
283	807	329
284	810	326
285	812	323
286	815	320
287	817	318
288	820	315
289	823	312
290	826	309
291	829	306
292	832	303
293	834	300
294	837	298
295	840	295
296	842	292
297	845	289
298	848	286
299	851	283
300	854	280
301	856	278
302	859	275
303	861	272
304	864	269
305	867	266
306	871	263
307	873	261
308	876	258
309	879	255
310	882	252
311	886	249
312	888	247
313	891	244
314	895	241
315	897	238
316	900	235
317	903	232
318	906	230
319	908	227
320	911	224
321	914	221
322	917	218
323	919	215
324	922	212
325	925	210
326	928	207
327	931	204
328	933	201
329	936	198
330	939	195
331	941	192
332	944	190
333	947	187
334	950	184
335	953	181
336	956	178
337	959	175
338	962	173
339	965	170
340	968	167
341	971	164
342	973	161
343	976	158
344	978	156
345	981	153
346	984	150
347	986	147
348	989	144
349	992	141
350	995	138
351	997	136
352	1000	133
353	1003	130
354	1005	127
355	1008	124
356	1010	121
357	1013	118
358	1017	116
359	1020	113
360	1023	110
361	1026	107
362	1030	105
363	1033	102
364	1036	99
365	1038	96
366	1041	93
367	1043	90
368	1046	87
369	1049	85
370	1052	82
371	1055	79
372	1057	76
373	1060	73
374	1064	70
375	1067	68
376	1069	65
377	1072	62
378	1074	59
379	1077	56
380	1080	53
381	1083	51
382	1086	48
383	1089	45
384	1091	42
385	1094	39
386	1097	36
387	1100	34
388	1103	31
389	1105	28
390	1108	25
391	1110	22
392	1113	19
393	1116	17
394	1118	14
395	1121	11
396	1124	8
397	1126	5
398	1129	2
399	1133	0
