iter	Passed	Remaining
0	5	2200
1	9	1912
2	13	1806
3	18	1785
4	22	1774
5	26	1755
6	30	1714
7	34	1684
8	37	1649
9	42	1644
10	46	1640
11	50	1621
12	53	1601
13	57	1593
14	61	1577
15	64	1559
16	68	1548
17	73	1551
18	77	1553
19	81	1544
20	85	1537
21	89	1534
22	93	1524
23	96	1513
24	100	1504
25	104	1500
26	108	1496
27	112	1495
28	117	1497
29	120	1489
30	124	1481
31	127	1470
32	131	1460
33	135	1457
34	139	1453
35	144	1456
36	148	1456
37	152	1450
38	155	1443
39	159	1437
40	163	1434
41	167	1428
42	171	1421
43	175	1423
44	179	1418
45	183	1415
46	187	1409
47	191	1403
48	195	1399
49	199	1393
50	202	1386
51	207	1386
52	211	1385
53	216	1385
54	219	1378
55	223	1374
56	227	1368
57	231	1365
58	235	1361
59	240	1363
60	244	1356
61	247	1350
62	251	1345
63	256	1346
64	260	1340
65	264	1336
66	267	1329
67	271	1326
68	275	1323
69	280	1320
70	284	1316
71	287	1310
72	291	1306
73	295	1300
74	298	1294
75	302	1288
76	306	1285
77	311	1286
78	315	1283
79	319	1277
80	323	1272
81	326	1266
82	330	1262
83	334	1257
84	339	1256
85	344	1257
86	350	1260
87	355	1259
88	358	1254
89	363	1252
90	367	1246
91	371	1242
92	375	1240
93	379	1235
94	383	1230
95	387	1225
96	390	1220
97	394	1214
98	398	1210
99	401	1205
100	405	1201
101	409	1196
102	413	1192
103	417	1188
104	421	1184
105	426	1181
106	429	1176
107	433	1171
108	437	1168
109	442	1166
110	445	1160
111	449	1156
112	453	1152
113	457	1147
114	460	1141
115	465	1138
116	468	1133
117	472	1129
118	477	1127
119	481	1123
120	485	1118
121	488	1114
122	492	1109
123	496	1105
124	500	1100
125	504	1096
126	508	1092
127	512	1089
128	516	1084
129	520	1080
130	523	1075
131	527	1070
132	530	1065
133	535	1063
134	540	1061
135	545	1058
136	549	1054
137	553	1050
138	556	1045
139	560	1040
140	564	1036
141	568	1033
142	572	1029
143	577	1026
144	581	1021
145	584	1017
146	588	1012
147	591	1007
148	595	1002
149	600	1000
150	604	996
151	607	991
152	611	986
153	615	982
154	619	978
155	622	974
156	626	969
157	630	964
158	633	960
159	638	957
160	641	952
161	645	948
162	649	943
163	652	939
164	656	934
165	660	930
166	663	925
167	667	921
168	671	918
169	675	914
170	679	910
171	683	906
172	686	901
173	690	896
174	694	892
175	698	888
176	701	884
177	706	880
178	710	877
179	714	873
180	718	868
181	721	864
182	725	860
183	729	856
184	734	853
185	738	849
186	741	844
187	745	840
188	749	836
189	752	831
190	756	827
191	760	823
192	764	819
193	767	815
194	772	812
195	776	808
196	780	803
197	783	799
198	787	795
199	791	791
200	795	787
201	799	784
202	803	779
203	807	775
204	811	771
205	815	767
206	818	763
207	822	759
208	825	754
209	829	750
210	834	747
211	838	743
212	842	739
213	846	735
214	849	730
215	853	726
216	857	723
217	861	719
218	865	715
219	869	711
220	873	707
221	877	703
222	881	699
223	884	695
224	888	691
225	892	687
226	896	683
227	900	679
228	904	675
229	908	671
230	912	667
231	915	663
232	919	659
233	923	654
234	926	650
235	931	647
236	935	643
237	939	639
238	944	635
239	947	631
240	951	627
241	955	623
242	959	620
243	963	616
244	967	611
245	971	607
246	974	603
247	978	599
248	981	595
249	985	591
250	989	587
251	993	583
252	997	579
253	1001	575
254	1005	571
255	1009	567
256	1012	563
257	1016	559
258	1020	555
259	1025	552
260	1029	548
261	1033	544
262	1037	540
263	1041	536
264	1044	532
265	1049	528
266	1053	524
267	1056	520
268	1060	516
269	1064	512
270	1069	508
271	1072	504
272	1076	500
273	1080	496
274	1084	492
275	1087	488
276	1092	485
277	1096	481
278	1099	477
279	1103	472
280	1107	469
281	1111	464
282	1114	460
283	1118	456
284	1122	452
285	1126	448
286	1130	445
287	1134	441
288	1138	437
289	1142	433
290	1145	429
291	1149	425
292	1153	421
293	1157	417
294	1160	413
295	1165	409
296	1169	405
297	1172	401
298	1176	397
299	1180	393
300	1183	389
301	1187	385
302	1192	381
303	1196	377
304	1200	373
305	1204	369
306	1207	365
307	1211	361
308	1215	357
309	1218	353
310	1222	349
311	1226	345
312	1231	342
313	1235	338
314	1239	334
315	1243	330
316	1247	326
317	1251	322
318	1256	318
319	1259	314
320	1264	311
321	1268	307
322	1273	303
323	1277	299
324	1281	295
325	1285	291
326	1290	287
327	1293	284
328	1298	280
329	1301	276
330	1305	272
331	1309	268
332	1313	264
333	1317	260
334	1321	256
335	1325	252
336	1329	248
337	1333	244
338	1337	240
339	1341	236
340	1346	232
341	1350	229
342	1355	225
343	1359	221
344	1362	217
345	1366	213
346	1370	209
347	1374	205
348	1379	201
349	1383	197
350	1387	193
351	1391	189
352	1395	185
353	1399	181
354	1404	177
355	1407	174
356	1411	170
357	1417	166
358	1422	162
359	1426	158
360	1431	154
361	1437	150
362	1441	146
363	1447	143
364	1452	139
365	1456	135
366	1461	131
367	1464	127
368	1469	123
369	1472	119
370	1477	115
371	1482	111
372	1486	107
373	1489	103
374	1493	99
375	1497	95
376	1500	91
377	1504	87
378	1508	83
379	1512	79
380	1517	75
381	1521	71
382	1525	67
383	1529	63
384	1533	59
385	1536	55
386	1540	51
387	1544	47
388	1549	43
389	1553	39
390	1557	35
391	1561	31
392	1565	27
393	1569	23
394	1573	19
395	1576	15
396	1581	11
397	1585	7
398	1589	3
399	1593	0
