iter	RMSE
0	1.92676282
1	1.890315175
2	1.853981973
3	1.81300501
4	1.771682765
5	1.732775802
6	1.691657828
7	1.654892994
8	1.61741205
9	1.587793846
10	1.557145633
11	1.523790283
12	1.493676215
13	1.464284958
14	1.436726302
15	1.407325066
16	1.37537032
17	1.344921064
18	1.316302553
19	1.290690517
20	1.265428251
21	1.243466194
22	1.217548808
23	1.194767632
24	1.17312344
25	1.152735909
26	1.13242322
27	1.115180878
28	1.093968772
29	1.072753433
30	1.056518289
31	1.037778385
32	1.020228837
33	1.002291703
34	0.9835453498
35	0.9691529112
36	0.9524371181
37	0.9381116777
38	0.9229307596
39	0.9080006386
40	0.8915440528
41	0.8784089978
42	0.8647724278
43	0.8529415695
44	0.844432245
45	0.8334288141
46	0.8232885114
47	0.8134966616
48	0.8028095096
49	0.7919921777
50	0.7822801692
51	0.7729178078
52	0.7613338724
53	0.7496518023
54	0.7404884757
55	0.73227817
56	0.7245927971
57	0.7174960654
58	0.708208818
59	0.6992706076
60	0.6922730334
61	0.6846672394
62	0.6774427236
63	0.6692314567
64	0.6632026903
65	0.6545546599
66	0.6485016476
67	0.6414971174
68	0.6351941667
69	0.628733664
70	0.6227537304
71	0.6167902121
72	0.612135679
73	0.6052532119
74	0.5998206596
75	0.5934342606
76	0.5886349111
77	0.5834774082
78	0.5779684006
79	0.5733375734
80	0.5688747316
81	0.5627887732
82	0.5584363597
83	0.5534307988
84	0.5472299659
85	0.5422917632
86	0.5381922829
87	0.5335989039
88	0.5296025424
89	0.5242532605
90	0.52177127
91	0.5173703901
92	0.51385019
93	0.5098298413
94	0.5051752755
95	0.5016169125
96	0.4974298865
97	0.4937246514
98	0.4899018199
99	0.4892672414
100	0.4860239679
101	0.4820459244
102	0.4783756767
103	0.4751161788
104	0.4709375835
105	0.4684961817
106	0.4657849179
107	0.461933953
108	0.4582156264
109	0.4558573444
110	0.4523925501
111	0.4493041754
112	0.4473755444
113	0.4434042311
114	0.4400088541
115	0.4378700516
116	0.4349923779
117	0.4312802796
118	0.4289788202
119	0.4252209715
120	0.4229520294
121	0.4203511416
122	0.4178894391
123	0.4165775842
124	0.4144937496
125	0.412194386
126	0.4100894483
127	0.4081057307
128	0.4075663994
129	0.40576769
130	0.404220944
131	0.403258823
132	0.4000448295
133	0.3994890082
134	0.3973446131
135	0.3951433698
136	0.393847353
137	0.3901280821
138	0.3895317869
139	0.3886351045
140	0.386803666
141	0.3832479177
142	0.3809530711
143	0.3784912756
144	0.3753780612
145	0.3746045735
146	0.3720997949
147	0.3697620397
148	0.3675411856
149	0.3666699347
150	0.3642498304
151	0.3633336374
152	0.3608743781
153	0.3597894323
154	0.3593220533
155	0.356730147
156	0.3553035121
157	0.354521192
158	0.3515543369
159	0.3489884911
160	0.348379672
161	0.3461086448
162	0.3452165614
163	0.3446069617
164	0.3420389643
165	0.3412036449
166	0.3403815447
167	0.339305366
168	0.338479435
169	0.3362573833
170	0.3339591146
171	0.3311570258
172	0.3300110433
173	0.3275198454
174	0.3263069532
175	0.3238299782
176	0.3219311174
177	0.3200591149
178	0.3175659407
179	0.3154304319
180	0.3130605425
181	0.3107466162
182	0.3101466969
183	0.3093008499
184	0.3073203827
185	0.3055108076
186	0.3029958359
187	0.3022614001
188	0.2998595984
189	0.2978379107
190	0.295071453
191	0.294553497
192	0.2926832395
193	0.2916746277
194	0.2911357903
195	0.2896668266
196	0.2870537593
197	0.2850765507
198	0.2831513032
199	0.2810787477
200	0.2805500276
201	0.2788871834
202	0.2766725989
203	0.2762651253
204	0.2743881146
205	0.2725345592
206	0.2701779416
207	0.2696164064
208	0.2682282152
209	0.2669021906
210	0.2650330698
211	0.2637409739
212	0.261902331
213	0.2601157543
214	0.2583578595
215	0.2565191156
216	0.2560848126
217	0.2541987463
218	0.2523800045
219	0.251939178
220	0.2515039545
221	0.250574751
222	0.2501343976
223	0.2491061134
224	0.2477172765
225	0.2462731552
226	0.2448737629
227	0.2423260551
228	0.242010897
229	0.2404267644
230	0.2390420199
231	0.2371429683
232	0.2355503151
233	0.2339835105
234	0.2326586039
235	0.2312617976
236	0.2300362655
237	0.2277086276
238	0.2268657132
239	0.2249939962
240	0.2246440954
241	0.2232543933
242	0.2224435485
243	0.2211799235
244	0.2200567488
245	0.2183246934
246	0.2180742553
247	0.2174218575
248	0.2168393301
249	0.2165828303
250	0.2156274753
251	0.2145452904
252	0.2136644557
253	0.2126427872
254	0.2117968506
255	0.2101898286
256	0.2089415832
257	0.2087063942
258	0.2073389396
259	0.2062239316
260	0.2053235673
261	0.2049041108
262	0.2037352368
263	0.202315514
264	0.2020704519
265	0.2011864928
266	0.2009525676
267	0.2000446003
268	0.1992108052
269	0.1983900418
270	0.1968847807
271	0.195645336
272	0.194771378
273	0.1941301945
274	0.1936331191
275	0.1926586259
276	0.1916012576
277	0.1905049057
278	0.1899992564
279	0.189514886
280	0.1887714944
281	0.1870872134
282	0.1866410216
283	0.1853689805
284	0.1851087125
285	0.1847426885
286	0.1845346567
287	0.1840362847
288	0.183199961
289	0.1824751142
290	0.1817887407
291	0.181594764
292	0.1812176635
293	0.1806993892
294	0.1793017083
295	0.1781052647
296	0.1770921803
297	0.1768988557
298	0.1764833375
299	0.1752322901
300	0.174914828
301	0.1737788128
302	0.1733124297
303	0.1731240722
304	0.1726189729
305	0.1717335204
306	0.1708653133
307	0.1705869834
308	0.1704372809
309	0.1696025475
310	0.1683784433
311	0.167581389
312	0.1668400801
313	0.1660428523
314	0.1654550628
315	0.1648829617
316	0.1642873525
317	0.163524736
318	0.162892348
319	0.1625658469
320	0.1623884234
321	0.1619911978
322	0.1606477869
323	0.1603454236
324	0.160059423
325	0.1588676222
326	0.1579495376
327	0.157331662
328	0.1569820175
329	0.1556702843
330	0.1550205388
331	0.1539320946
332	0.1528148696
333	0.1525807862
334	0.1523821273
335	0.151540798
336	0.1512939034
337	0.1507644166
338	0.1502057569
339	0.1498142886
340	0.1489160964
341	0.1482213026
342	0.1480255383
343	0.1471755147
344	0.146025969
345	0.1450014995
346	0.14391055
347	0.1430109353
348	0.1428716058
349	0.1422084774
