iter	Passed	Remaining
0	4	1721
1	10	1742
2	15	1761
3	19	1721
4	24	1705
5	29	1699
6	35	1722
7	42	1796
8	48	1846
9	54	1852
10	60	1857
11	66	1861
12	71	1848
13	76	1834
14	82	1833
15	86	1812
16	92	1806
17	97	1796
18	102	1787
19	107	1774
20	113	1774
21	119	1777
22	123	1762
23	129	1756
24	134	1748
25	139	1734
26	144	1731
27	150	1725
28	154	1712
29	159	1704
30	164	1692
31	169	1684
32	175	1687
33	181	1689
34	186	1676
35	191	1666
36	196	1662
37	201	1651
38	205	1640
39	210	1632
40	215	1623
41	219	1612
42	224	1603
43	229	1593
44	233	1584
45	238	1574
46	243	1567
47	248	1564
48	253	1555
49	258	1549
50	263	1545
51	268	1536
52	272	1529
53	278	1524
54	294	1581
55	329	1730
56	338	1739
57	353	1781
58	359	1774
59	365	1764
60	369	1751
61	375	1745
62	381	1737
63	387	1729
64	393	1723
65	399	1719
66	404	1710
67	411	1704
68	416	1696
69	421	1685
70	426	1674
71	430	1664
72	435	1653
73	440	1642
74	445	1634
75	450	1625
76	455	1615
77	460	1605
78	464	1594
79	469	1584
80	474	1576
81	479	1567
82	484	1558
83	489	1549
84	493	1539
85	498	1530
86	503	1520
87	508	1512
88	513	1506
89	518	1497
90	523	1488
91	527	1479
92	532	1470
93	536	1461
94	541	1454
95	547	1447
96	551	1438
97	556	1431
98	561	1422
99	565	1414
100	570	1406
101	575	1399
102	580	1391
103	584	1383
104	590	1376
105	594	1368
106	599	1361
107	604	1354
108	609	1347
109	613	1339
110	618	1332
111	623	1325
112	628	1317
113	632	1309
114	637	1302
115	642	1296
116	648	1290
117	653	1284
118	658	1277
119	663	1271
120	668	1264
121	673	1257
122	677	1251
123	682	1244
124	687	1237
125	692	1231
126	698	1226
127	704	1222
128	710	1216
129	715	1210
130	721	1205
131	725	1198
132	731	1192
133	736	1186
134	742	1182
135	748	1177
136	753	1171
137	758	1164
138	762	1157
139	767	1151
140	772	1144
141	777	1138
142	782	1132
143	787	1127
144	792	1120
145	796	1113
146	801	1107
147	807	1101
148	811	1094
149	816	1088
150	821	1082
151	826	1076
152	830	1069
153	835	1063
154	840	1057
155	845	1050
156	849	1044
157	855	1038
158	859	1032
159	864	1026
160	869	1020
161	874	1014
162	878	1007
163	883	1001
164	887	995
165	892	989
166	896	982
167	901	976
168	906	970
169	911	964
170	915	958
171	920	952
172	925	946
173	930	941
174	935	935
175	940	929
176	944	923
177	949	917
178	954	911
179	958	905
180	963	899
181	968	893
182	973	888
183	978	882
184	982	876
185	987	870
186	992	865
187	997	859
188	1002	853
189	1007	848
190	1011	842
191	1016	836
192	1021	831
193	1026	825
194	1030	819
195	1035	813
196	1040	808
197	1044	802
198	1049	796
199	1054	790
200	1059	785
201	1063	779
202	1068	773
203	1074	768
204	1078	763
205	1083	757
206	1088	752
207	1093	746
208	1097	740
209	1102	735
210	1107	729
211	1112	723
212	1116	718
213	1121	712
214	1125	706
215	1130	701
216	1135	695
217	1140	690
218	1144	684
219	1149	679
220	1154	673
221	1158	668
222	1163	662
223	1168	657
224	1173	651
225	1178	646
226	1183	641
227	1188	636
228	1193	630
229	1198	625
230	1204	620
231	1209	614
232	1214	609
233	1218	604
234	1223	598
235	1229	593
236	1233	588
237	1239	583
238	1244	577
239	1249	572
240	1253	566
241	1258	561
242	1263	556
243	1268	551
244	1273	545
245	1278	540
246	1284	535
247	1288	530
248	1293	524
249	1298	519
250	1303	514
251	1308	508
252	1313	503
253	1318	498
254	1323	492
255	1328	487
256	1333	482
257	1338	477
258	1343	471
259	1348	466
260	1353	461
261	1358	456
262	1363	450
263	1368	445
264	1373	440
265	1378	435
266	1383	430
267	1388	424
268	1393	419
269	1398	414
270	1403	409
271	1407	403
272	1412	398
273	1417	393
274	1422	387
275	1427	382
276	1432	377
277	1437	372
278	1442	367
279	1447	361
280	1452	356
281	1456	351
282	1461	346
283	1467	340
284	1471	335
285	1476	330
286	1481	325
287	1486	319
288	1490	314
289	1495	309
290	1500	304
291	1505	298
292	1509	293
293	1514	288
294	1519	283
295	1524	278
296	1529	272
297	1533	267
298	1538	262
299	1543	257
300	1548	252
301	1552	246
302	1557	241
303	1561	236
304	1567	231
305	1571	225
306	1576	220
307	1581	215
308	1585	210
309	1590	205
310	1594	200
311	1599	194
312	1604	189
313	1608	184
314	1613	179
315	1618	174
316	1623	168
317	1628	163
318	1633	158
319	1637	153
320	1642	148
321	1646	143
322	1651	138
323	1655	132
324	1660	127
325	1665	122
326	1670	117
327	1674	112
328	1679	107
329	1683	102
330	1688	96
331	1693	91
332	1698	86
333	1703	81
334	1708	76
335	1713	71
336	1717	66
337	1722	61
338	1726	56
339	1732	50
340	1736	45
341	1741	40
342	1746	35
343	1750	30
344	1755	25
345	1760	20
346	1765	15
347	1770	10
348	1775	5
349	1780	0
