iter	Passed	Remaining
0	5	2495
1	9	2092
2	13	2075
3	18	2103
4	22	2013
5	26	1948
6	30	1911
7	34	1916
8	38	1902
9	42	1880
10	46	1859
11	50	1845
12	54	1830
13	58	1811
14	62	1801
15	66	1799
16	70	1799
17	74	1786
18	78	1774
19	82	1774
20	86	1776
21	90	1765
22	94	1756
23	98	1755
24	103	1759
25	107	1748
26	111	1741
27	115	1738
28	119	1734
29	123	1725
30	127	1716
31	131	1717
32	136	1728
33	141	1726
34	145	1721
35	150	1736
36	163	1826
37	177	1921
38	187	1978
39	195	2000
40	201	2005
41	206	2009
42	211	1997
43	217	2004
44	222	2006
45	226	1992
46	231	1983
47	235	1969
48	239	1962
49	243	1948
50	247	1937
51	251	1923
52	256	1918
53	260	1908
54	263	1893
55	267	1882
56	271	1873
57	275	1862
58	279	1852
59	283	1841
60	287	1835
61	292	1827
62	296	1819
63	299	1808
64	304	1801
65	307	1791
66	312	1784
67	316	1775
68	320	1771
69	324	1763
70	329	1757
71	333	1749
72	337	1740
73	341	1733
74	345	1726
75	349	1721
76	353	1714
77	357	1707
78	361	1699
79	365	1691
80	369	1685
81	373	1677
82	378	1671
83	381	1664
84	385	1657
85	390	1651
86	394	1644
87	397	1636
88	401	1629
89	405	1622
90	409	1615
91	413	1608
92	417	1601
93	420	1594
94	425	1591
95	429	1584
96	433	1576
97	437	1569
98	440	1563
99	445	1557
100	449	1552
101	454	1549
102	458	1543
103	462	1537
104	466	1531
105	470	1525
106	474	1519
107	478	1514
108	483	1511
109	486	1504
110	491	1500
111	495	1494
112	498	1488
113	503	1483
114	507	1477
115	511	1471
116	515	1467
117	519	1462
118	523	1456
119	527	1451
120	531	1445
121	535	1439
122	539	1433
123	543	1428
124	547	1423
125	551	1417
126	555	1413
127	559	1408
128	563	1403
129	567	1397
130	572	1393
131	576	1388
132	580	1384
133	584	1379
134	589	1376
135	594	1372
136	598	1366
137	602	1362
138	607	1358
139	611	1353
140	615	1349
141	619	1344
142	624	1341
143	628	1336
144	632	1330
145	637	1326
146	641	1322
147	645	1317
148	650	1313
149	654	1309
150	658	1303
151	662	1299
152	666	1294
153	670	1289
154	674	1284
155	678	1278
156	682	1274
157	686	1269
158	691	1264
159	694	1259
160	698	1253
161	702	1249
162	706	1244
163	710	1239
164	714	1234
165	718	1229
166	722	1224
167	726	1220
168	730	1215
169	735	1210
170	739	1205
171	743	1201
172	746	1196
173	751	1191
174	755	1186
175	759	1181
176	763	1177
177	767	1172
178	771	1167
179	775	1163
180	779	1158
181	783	1153
182	787	1149
183	791	1144
184	795	1139
185	799	1134
186	803	1129
187	807	1124
188	811	1119
189	815	1115
190	819	1110
191	823	1106
192	827	1102
193	831	1097
194	836	1093
195	840	1089
196	844	1084
197	848	1079
198	852	1075
199	857	1071
200	860	1066
201	865	1062
202	869	1057
203	873	1053
204	877	1048
205	881	1044
206	885	1039
207	889	1035
208	894	1031
209	898	1026
210	903	1022
211	907	1018
212	911	1014
213	915	1009
214	919	1005
215	923	1000
216	927	995
217	931	991
218	935	986
219	939	982
220	943	977
221	948	973
222	952	969
223	956	965
224	960	960
225	965	956
226	969	952
227	973	947
228	978	943
229	982	939
230	986	935
231	990	930
232	995	926
233	998	921
234	1003	917
235	1007	913
236	1011	909
237	1016	905
238	1020	900
239	1024	896
240	1029	892
241	1033	888
242	1037	883
243	1041	879
244	1046	875
245	1049	870
246	1053	866
247	1057	861
248	1061	857
249	1066	853
250	1071	849
251	1074	844
252	1079	840
253	1083	836
254	1087	831
255	1091	827
256	1096	823
257	1100	818
258	1104	814
259	1108	810
260	1113	806
261	1116	801
262	1120	796
263	1125	792
264	1129	788
265	1133	783
266	1136	779
267	1141	774
268	1145	770
269	1150	766
270	1155	763
271	1160	759
272	1165	755
273	1169	751
274	1174	747
275	1178	742
276	1182	738
277	1187	734
278	1192	730
279	1196	726
280	1200	722
281	1204	717
282	1209	714
283	1213	709
284	1217	705
285	1222	701
286	1226	696
287	1230	692
288	1234	687
289	1238	683
290	1242	678
291	1246	674
292	1250	669
293	1254	665
294	1257	660
295	1262	656
296	1266	652
297	1271	648
298	1275	644
299	1279	639
300	1283	635
301	1287	631
302	1292	626
303	1296	622
304	1300	618
305	1304	613
306	1308	609
307	1313	605
308	1317	601
309	1321	596
310	1325	592
311	1329	587
312	1333	583
313	1337	579
314	1341	574
315	1344	570
316	1349	566
317	1353	561
318	1357	557
319	1361	553
320	1365	548
321	1369	544
322	1373	540
323	1377	535
324	1381	531
325	1385	527
326	1389	522
327	1393	518
328	1396	513
329	1400	509
330	1405	505
331	1409	501
332	1414	497
333	1418	492
334	1422	488
335	1426	484
336	1431	479
337	1435	475
338	1439	471
339	1443	466
340	1447	462
341	1451	458
342	1455	453
343	1459	449
344	1463	445
345	1466	440
346	1470	436
347	1474	432
348	1478	427
349	1482	423
350	1486	419
351	1490	414
352	1493	410
353	1497	406
354	1501	401
355	1505	397
356	1509	393
357	1513	388
358	1517	384
359	1521	380
360	1525	376
361	1529	371
362	1533	367
363	1537	363
364	1541	359
365	1545	354
366	1549	350
367	1552	345
368	1556	341
369	1560	337
370	1564	333
371	1568	328
372	1572	324
373	1575	320
374	1579	315
375	1583	311
376	1587	307
377	1590	302
378	1594	298
379	1598	294
380	1601	290
381	1605	285
382	1609	281
383	1613	277
384	1617	273
385	1621	268
386	1624	264
387	1628	260
388	1632	255
389	1635	251
390	1640	247
391	1644	243
392	1647	238
393	1651	234
394	1655	230
395	1658	226
396	1662	221
397	1666	217
398	1670	213
399	1674	209
400	1677	205
401	1681	200
402	1685	196
403	1689	192
404	1693	188
405	1697	183
406	1701	179
407	1705	175
408	1708	171
409	1712	167
410	1715	162
411	1719	158
412	1723	154
413	1727	150
414	1730	145
415	1734	141
416	1738	137
417	1741	133
418	1745	129
419	1749	124
420	1753	120
421	1757	116
422	1761	112
423	1764	108
424	1768	104
425	1772	99
426	1776	95
427	1779	91
428	1783	87
429	1787	83
430	1791	78
431	1795	74
432	1799	70
433	1803	66
434	1807	62
435	1811	58
436	1814	53
437	1818	49
438	1822	45
439	1826	41
440	1829	37
441	1834	33
442	1838	29
443	1842	24
444	1845	20
445	1849	16
446	1854	12
447	1858	8
448	1861	4
449	1865	0
