iter	Passed	Remaining
0	7	3549
1	12	3090
2	17	2900
3	21	2699
4	26	2641
5	31	2577
6	36	2583
7	42	2608
8	47	2565
9	51	2528
10	56	2491
11	60	2466
12	65	2462
13	70	2449
14	76	2467
15	81	2468
16	86	2463
17	90	2430
18	95	2420
19	101	2444
20	108	2485
21	113	2474
22	118	2460
23	123	2445
24	129	2453
25	134	2445
26	139	2442
27	145	2447
28	150	2447
29	155	2429
30	160	2429
31	165	2420
32	171	2421
33	177	2426
34	182	2422
35	186	2406
36	190	2389
37	196	2384
38	201	2384
39	206	2376
40	211	2368
41	216	2365
42	221	2356
43	226	2346
44	232	2346
45	237	2343
46	242	2336
47	247	2334
48	252	2327
49	257	2314
50	262	2312
51	267	2305
52	272	2297
53	277	2289
54	282	2288
55	287	2279
56	293	2277
57	298	2272
58	303	2269
59	308	2261
60	313	2253
61	317	2242
62	321	2231
63	327	2229
64	331	2220
65	337	2217
66	341	2208
67	346	2202
68	351	2193
69	355	2183
70	360	2178
71	365	2172
72	370	2168
73	375	2161
74	379	2153
75	384	2143
76	389	2138
77	394	2136
78	399	2129
79	405	2129
80	410	2122
81	415	2118
82	419	2109
83	425	2108
84	430	2102
85	436	2101
86	441	2096
87	446	2088
88	450	2081
89	455	2074
90	460	2069
91	467	2071
92	471	2063
93	475	2055
94	480	2048
95	485	2041
96	489	2035
97	495	2032
98	501	2033
99	507	2029
100	511	2022
101	516	2015
102	520	2006
103	525	2001
104	530	1997
105	535	1990
106	539	1982
107	544	1976
108	549	1971
109	554	1964
110	559	1959
111	564	1956
112	569	1950
113	573	1943
114	578	1936
115	582	1928
116	587	1922
117	593	1920
118	599	1918
119	604	1914
120	608	1907
121	613	1901
122	618	1896
123	623	1891
124	629	1888
125	635	1886
126	640	1881
127	645	1875
128	650	1869
129	656	1867
130	661	1863
131	666	1859
132	672	1855
133	676	1848
134	681	1842
135	685	1835
136	690	1829
137	695	1825
138	700	1820
139	705	1813
140	709	1806
141	713	1799
142	718	1794
143	723	1788
144	729	1786
145	733	1779
146	738	1772
147	742	1766
148	746	1759
149	750	1752
150	756	1747
151	761	1744
152	766	1738
153	771	1732
154	775	1726
155	780	1720
156	784	1714
157	789	1708
158	794	1704
159	800	1700
160	804	1693
161	809	1688
162	814	1683
163	819	1678
164	824	1674
165	830	1671
166	836	1667
167	840	1660
168	844	1654
169	849	1649
170	854	1643
171	860	1640
172	864	1634
173	869	1628
174	873	1622
175	877	1616
176	881	1609
177	886	1604
178	891	1599
179	897	1595
180	901	1588
181	905	1582
182	909	1576
183	914	1569
184	918	1564
185	924	1561
186	929	1556
187	934	1550
188	938	1544
189	943	1538
190	947	1533
191	952	1527
192	957	1523
193	962	1518
194	967	1513
195	971	1507
196	975	1500
197	979	1494
198	984	1489
199	989	1484
200	994	1479
201	999	1474
202	1003	1468
203	1008	1462
204	1013	1457
205	1017	1452
206	1022	1448
207	1028	1444
208	1032	1438
209	1037	1432
210	1041	1427
211	1046	1421
212	1051	1416
213	1056	1411
214	1061	1406
215	1065	1400
216	1070	1395
217	1074	1389
218	1078	1383
219	1083	1379
220	1088	1374
221	1094	1370
222	1098	1364
223	1102	1359
224	1107	1353
225	1111	1347
226	1116	1342
227	1121	1337
228	1126	1332
229	1130	1327
230	1136	1322
231	1140	1317
232	1144	1311
233	1148	1305
234	1154	1302
235	1159	1297
236	1164	1292
237	1168	1286
238	1172	1280
239	1177	1275
240	1181	1270
241	1186	1264
242	1192	1260
243	1196	1255
244	1200	1249
245	1205	1244
246	1209	1239
247	1213	1233
248	1218	1228
249	1224	1224
250	1229	1219
251	1233	1214
252	1237	1208
253	1241	1202
254	1245	1197
255	1251	1193
256	1257	1188
257	1261	1182
258	1265	1177
259	1270	1172
260	1274	1167
261	1279	1161
262	1284	1157
263	1290	1153
264	1294	1148
265	1298	1142
266	1303	1137
267	1307	1132
268	1313	1127
269	1318	1123
270	1322	1117
271	1327	1112
272	1331	1107
273	1337	1102
274	1341	1097
275	1346	1092
276	1351	1088
277	1356	1083
278	1360	1077
279	1365	1072
280	1370	1068
281	1374	1062
282	1379	1058
283	1384	1053
284	1390	1048
285	1394	1043
286	1398	1038
287	1403	1033
288	1408	1028
289	1413	1023
290	1418	1018
291	1424	1014
292	1428	1009
293	1432	1003
294	1437	998
295	1442	994
296	1447	989
297	1453	985
298	1457	980
299	1462	974
300	1467	969
301	1471	964
302	1476	959
303	1481	955
304	1486	950
305	1491	945
306	1497	941
307	1501	935
308	1506	930
309	1511	926
310	1516	921
311	1521	916
312	1525	911
313	1530	906
314	1534	901
315	1539	896
316	1543	891
317	1549	886
318	1553	881
319	1558	876
320	1562	871
321	1566	866
322	1571	861
323	1576	856
324	1581	851
325	1586	847
326	1591	841
327	1595	836
328	1600	831
329	1605	826
330	1610	822
331	1615	817
332	1620	812
333	1625	807
334	1629	802
335	1633	797
336	1639	792
337	1643	787
338	1648	783
339	1654	778
340	1658	773
341	1663	768
342	1668	763
343	1673	759
344	1678	753
345	1684	749
346	1689	745
347	1694	739
348	1698	734
349	1703	730
350	1708	725
351	1714	720
352	1719	715
353	1723	710
354	1728	705
355	1732	700
356	1736	695
357	1741	690
358	1747	686
359	1752	681
360	1756	676
361	1761	671
362	1765	666
363	1770	661
364	1775	656
365	1780	651
366	1785	647
367	1789	641
368	1794	636
369	1799	632
370	1804	627
371	1809	622
372	1814	617
373	1819	612
374	1823	607
375	1827	602
376	1832	597
377	1837	592
378	1843	588
379	1847	583
380	1852	578
381	1856	573
382	1862	568
383	1866	563
384	1871	558
385	1875	553
386	1880	549
387	1884	544
388	1889	539
389	1893	534
390	1898	529
391	1903	524
392	1908	519
393	1913	514
394	1918	509
395	1923	505
396	1927	500
397	1932	495
398	1937	490
399	1942	485
400	1946	480
401	1951	475
402	1955	470
403	1959	465
404	1963	460
405	1968	455
406	1973	450
407	1978	446
408	1982	441
409	1986	436
410	1990	431
411	1995	426
412	2000	421
413	2004	416
414	2009	411
415	2014	406
416	2018	401
417	2023	396
418	2027	391
419	2031	386
420	2036	382
421	2041	377
422	2046	372
423	2050	367
424	2054	362
425	2059	357
426	2063	352
427	2068	347
428	2072	343
429	2078	338
430	2083	333
431	2087	328
432	2091	323
433	2095	318
434	2100	313
435	2105	309
436	2111	304
437	2116	299
438	2121	294
439	2127	290
440	2131	285
441	2136	280
442	2141	275
443	2146	270
444	2151	265
445	2155	260
446	2159	256
447	2164	251
448	2168	246
449	2173	241
450	2179	236
451	2183	231
452	2188	227
453	2192	222
454	2197	217
455	2202	212
456	2207	207
457	2211	202
458	2216	197
459	2220	193
460	2225	188
461	2229	183
462	2234	178
463	2240	173
464	2245	168
465	2249	164
466	2254	159
467	2258	154
468	2262	149
469	2267	144
470	2272	139
471	2277	135
472	2282	130
473	2287	125
474	2291	120
475	2296	115
476	2301	110
477	2306	106
478	2311	101
479	2316	96
480	2321	91
481	2325	86
482	2330	82
483	2335	77
484	2340	72
485	2344	67
486	2349	62
487	2354	57
488	2358	53
489	2363	48
490	2368	43
491	2373	38
492	2378	33
493	2383	28
494	2387	24
495	2391	19
496	2396	14
497	2401	9
498	2406	4
499	2410	0
