iter	Passed	Remaining
0	5	2523
1	9	2176
2	13	2025
3	17	1942
4	21	1921
5	25	1867
6	28	1824
7	32	1801
8	36	1787
9	40	1802
10	45	1812
11	49	1797
12	53	1785
13	56	1768
14	60	1753
15	64	1744
16	68	1733
17	72	1735
18	75	1720
19	80	1723
20	84	1719
21	88	1715
22	91	1705
23	95	1699
24	99	1690
25	103	1687
26	107	1687
27	112	1689
28	116	1685
29	120	1686
30	124	1679
31	128	1675
32	132	1672
33	136	1671
34	140	1665
35	144	1660
36	148	1656
37	152	1653
38	156	1648
39	160	1640
40	164	1643
41	168	1638
42	172	1633
43	176	1626
44	180	1623
45	184	1619
46	188	1612
47	191	1606
48	195	1601
49	199	1595
50	204	1598
51	208	1592
52	212	1590
53	216	1588
54	220	1583
55	224	1576
56	228	1573
57	232	1573
58	236	1568
59	239	1554
60	243	1551
61	246	1545
62	250	1540
63	254	1534
64	258	1529
65	262	1524
66	265	1519
67	269	1516
68	273	1512
69	278	1510
70	282	1506
71	285	1500
72	289	1495
73	293	1491
74	297	1486
75	301	1483
76	305	1478
77	308	1473
78	312	1468
79	316	1464
80	320	1458
81	323	1453
82	327	1448
83	331	1443
84	335	1439
85	338	1434
86	342	1429
87	346	1426
88	351	1425
89	355	1420
90	359	1416
91	362	1411
92	367	1409
93	371	1406
94	375	1401
95	378	1397
96	382	1393
97	386	1388
98	390	1383
99	394	1379
100	397	1374
101	402	1372
102	406	1369
103	410	1365
104	414	1362
105	419	1360
106	422	1355
107	427	1352
108	430	1347
109	434	1344
110	438	1339
111	442	1335
112	446	1331
113	450	1327
114	454	1322
115	457	1318
116	461	1313
117	465	1309
118	469	1305
119	473	1301
120	477	1296
121	480	1293
122	484	1288
123	488	1284
124	492	1280
125	496	1276
126	500	1272
127	503	1267
128	508	1264
129	512	1261
130	516	1257
131	519	1252
132	523	1248
133	527	1243
134	531	1239
135	534	1235
136	538	1230
137	542	1226
138	546	1222
139	550	1219
140	554	1214
141	558	1210
142	561	1206
143	566	1203
144	569	1198
145	573	1195
146	578	1191
147	581	1187
148	585	1183
149	589	1178
150	593	1174
151	597	1171
152	601	1166
153	604	1162
154	608	1158
155	612	1154
156	616	1150
157	620	1146
158	624	1142
159	628	1138
160	632	1134
161	635	1129
162	639	1125
163	643	1121
164	647	1117
165	650	1113
166	654	1109
167	658	1105
168	663	1103
169	667	1099
170	671	1095
171	675	1092
172	680	1089
173	684	1085
174	688	1081
175	691	1077
176	696	1073
177	699	1069
178	704	1066
179	708	1062
180	712	1058
181	716	1054
182	720	1050
183	724	1046
184	728	1042
185	731	1038
186	735	1034
187	739	1030
188	743	1026
189	746	1022
190	750	1017
191	754	1013
192	758	1009
193	762	1005
194	765	1001
195	769	997
196	773	993
197	777	989
