iter	Passed	Remaining
0	4	2089
1	8	1837
2	11	1763
3	15	1760
4	19	1774
5	23	1744
6	27	1720
7	30	1706
8	34	1678
9	37	1655
10	41	1643
11	44	1637
12	48	1643
13	52	1647
14	56	1643
15	60	1641
16	64	1640
17	68	1636
18	71	1625
19	75	1616
20	78	1605
21	82	1605
22	86	1614
23	91	1615
24	94	1613
25	98	1608
26	102	1599
27	106	1602
28	110	1598
29	113	1594
30	117	1593
31	121	1586
32	124	1579
33	128	1573
34	132	1569
35	136	1564
36	140	1568
37	144	1571
38	149	1571
39	154	1583
40	158	1583
41	163	1591
42	169	1601
43	172	1595
44	176	1589
45	180	1587
46	185	1588
47	189	1584
48	192	1578
49	196	1570
50	200	1565
51	203	1557
52	207	1551
53	210	1544
54	214	1542
55	218	1538
56	222	1532
57	226	1527
58	229	1521
59	233	1515
60	236	1509
61	240	1503
62	243	1497
63	247	1493
64	251	1488
65	255	1485
66	258	1480
67	262	1474
68	266	1469
69	270	1467
70	275	1470
71	280	1470
72	284	1470
73	288	1464
74	291	1457
75	295	1452
76	299	1451
77	302	1444
78	306	1439
79	310	1434
80	314	1430
81	318	1428
82	322	1426
83	326	1423
84	330	1419
85	334	1416
86	338	1411
87	341	1406
88	346	1403
89	350	1400
90	353	1395
91	357	1391
92	361	1388
93	365	1383
94	369	1381
95	373	1376
96	376	1371
97	380	1366
98	384	1361
99	388	1361
100	392	1357
101	396	1352
102	399	1347
103	403	1342
104	407	1337
105	411	1334
106	415	1332
107	419	1328
108	423	1323
109	426	1319
110	430	1314
111	434	1309
112	437	1306
113	441	1301
114	445	1298
115	449	1294
116	453	1290
117	457	1286
118	460	1281
119	464	1276
120	468	1272
121	471	1267
122	475	1263
123	479	1260
124	483	1255
125	487	1253
126	491	1249
127	494	1244
128	498	1240
129	502	1237
130	505	1232
131	509	1228
132	513	1224
133	518	1222
134	522	1219
135	526	1215
136	530	1212
137	534	1208
138	538	1204
139	542	1201
140	546	1197
141	550	1193
142	554	1189
143	558	1185
144	561	1181
145	565	1176
146	568	1171
147	572	1167
148	575	1163
149	579	1159
150	584	1156
151	587	1152
152	592	1149
153	595	1144
154	598	1139
155	602	1135
156	606	1131
157	610	1128
158	614	1124
159	618	1120
160	621	1116
161	625	1112
162	628	1107
163	632	1102
164	635	1098
165	639	1094
166	643	1090
167	647	1086
168	651	1083
169	655	1079
170	659	1075
171	662	1071
172	666	1066
173	669	1062
174	673	1059
175	677	1054
176	681	1050
177	684	1046
178	688	1042
179	692	1038
180	695	1033
181	699	1029
182	702	1025
183	706	1022
184	710	1018
185	714	1013
186	717	1009
187	721	1005
188	724	1001
189	728	997
190	732	993
191	736	989
192	740	985
193	744	982
194	749	979
195	753	976
196	757	972
197	760	968
198	764	964
199	768	961
200	773	957
201	776	953
202	780	949
203	784	945
204	788	941
205	791	937
206	795	934
207	799	929
208	802	925
209	807	922
210	810	918
211	814	914
212	818	910
213	821	906
214	825	902
215	828	898
216	832	893
217	836	890
218	840	886
219	844	882
220	847	878
221	851	874
222	855	871
223	859	867
224	862	862
225	866	859
226	870	855
227	874	851
228	878	847
229	882	843
230	886	840
231	890	836
232	894	833
233	898	829
234	902	825
235	906	821
236	909	817
237	913	813
238	917	809
239	921	805
240	924	801
241	928	797
242	931	793
243	935	789
244	940	786
245	943	782
246	947	778
247	950	774
248	954	770
249	957	765
250	961	762
251	964	757
252	968	754
253	972	750
254	975	746
255	979	742
256	982	738
257	986	734
258	990	730
259	993	726
260	997	722
261	1000	717
262	1004	714
263	1008	710
264	1013	707
265	1017	703
266	1021	699
267	1024	695
268	1028	691
269	1031	687
270	1035	684
271	1040	681
272	1044	677
273	1047	673
274	1051	669
275	1055	665
276	1058	661
277	1062	657
278	1066	653
279	1070	649
280	1073	645
281	1077	641
282	1081	638
283	1085	634
284	1088	630
285	1092	626
286	1095	622
287	1099	618
288	1103	614
289	1107	610
290	1111	607
291	1115	603
292	1118	599
293	1122	595
294	1125	591
295	1130	588
296	1137	586
297	1144	583
298	1150	581
299	1156	578
300	1161	575
301	1168	572
302	1174	569
303	1180	566
304	1184	563
305	1190	560
306	1195	556
307	1199	553
308	1204	549
309	1207	545
310	1211	541
311	1214	537
312	1218	533
313	1221	529
314	1225	525
315	1229	521
316	1234	517
317	1238	513
318	1241	509
319	1245	505
320	1248	501
321	1252	497
322	1256	493
323	1259	489
324	1264	486
325	1268	482
326	1272	478
327	1276	474
328	1281	471
329	1284	467
330	1287	462
331	1290	458
332	1294	454
333	1299	451
334	1302	447
335	1306	443
336	1309	439
337	1313	435
338	1316	431
339	1321	427
340	1324	423
341	1328	419
342	1332	415
343	1336	411
344	1339	407
345	1344	404
346	1347	400
347	1351	396
348	1355	392
349	1359	388
350	1362	384
351	1367	380
352	1371	376
353	1375	373
354	1380	369
355	1383	365
356	1387	361
357	1391	357
358	1395	353
359	1399	349
360	1402	345
361	1406	341
362	1409	337
363	1413	333
364	1417	329
365	1420	326
366	1423	322
367	1427	318
368	1431	314
369	1435	310
370	1440	306
371	1444	302
372	1447	298
373	1451	295
374	1455	291
375	1458	287
376	1462	283
377	1466	279
378	1470	275
379	1474	271
380	1478	267
381	1481	263
382	1485	259
383	1489	255
384	1493	252
385	1497	248
386	1501	244
387	1505	240
388	1510	236
389	1514	232
390	1518	229
391	1522	225
392	1527	221
393	1533	218
394	1538	214
395	1542	210
396	1547	206
397	1551	202
398	1555	198
399	1559	194
400	1564	191
401	1567	187
402	1572	183
403	1575	179
404	1579	175
405	1583	171
406	1587	167
407	1590	163
408	1595	159
409	1599	156
410	1602	152
411	1606	148
412	1610	144
413	1613	140
414	1617	136
415	1621	132
416	1625	128
417	1630	124
418	1633	120
419	1637	116
420	1641	113
421	1644	109
422	1648	105
423	1651	101
424	1655	97
425	1659	93
426	1663	89
427	1667	85
428	1671	81
429	1674	77
430	1678	74
431	1683	70
432	1687	66
433	1690	62
434	1695	58
435	1699	54
436	1702	50
437	1706	46
438	1710	42
439	1713	38
440	1717	35
441	1720	31
442	1725	27
443	1729	23
444	1732	19
445	1737	15
446	1740	11
447	1744	7
448	1748	3
449	1752	0
