iter	Passed	Remaining
0	7	3423
1	11	2538
2	15	2243
3	19	2142
4	23	2070
5	27	2028
6	31	1993
7	35	1970
8	39	1947
9	43	1931
10	48	1924
11	52	1899
12	56	1889
13	60	1877
14	64	1870
15	68	1861
16	72	1853
17	76	1841
18	80	1836
19	85	1839
20	89	1828
21	94	1837
22	98	1831
23	102	1823
24	107	1820
25	110	1809
26	115	1812
27	119	1805
28	123	1799
29	128	1796
30	132	1788
31	136	1782
32	140	1773
33	144	1766
34	148	1761
35	152	1754
36	156	1748
37	160	1742
38	164	1735
39	168	1731
40	172	1725
41	177	1719
42	181	1714
43	185	1710
44	189	1706
45	193	1697
46	197	1693
47	201	1689
48	205	1685
49	209	1679
50	213	1672
51	217	1666
52	222	1663
53	226	1658
54	230	1653
55	234	1648
56	238	1642
57	242	1636
58	245	1629
59	249	1624
60	254	1620
61	258	1617
62	262	1615
63	266	1609
64	270	1604
65	274	1598
66	278	1594
67	282	1589
68	287	1585
69	291	1580
70	295	1576
71	299	1571
72	303	1565
73	307	1560
74	311	1558
75	315	1552
76	319	1548
77	323	1544
78	327	1540
79	331	1535
80	335	1529
81	339	1525
82	344	1521
83	348	1519
84	353	1516
85	357	1511
86	361	1509
87	365	1505
88	370	1501
89	377	1508
90	381	1506
91	386	1502
92	389	1496
93	394	1492
94	398	1488
95	402	1483
96	407	1481
97	411	1477
98	416	1475
99	420	1470
100	424	1465
101	428	1460
102	432	1455
103	436	1451
104	440	1445
105	444	1442
106	448	1438
107	453	1434
108	457	1430
109	461	1425
110	466	1423
111	470	1418
112	474	1415
113	479	1412
114	483	1409
115	488	1407
116	493	1403
117	497	1399
118	503	1399
119	507	1394
120	511	1389
121	515	1385
122	519	1380
123	523	1376
124	527	1371
125	531	1367
126	535	1362
127	540	1358
128	544	1354
129	548	1349
130	553	1347
131	557	1342
132	561	1338
133	565	1333
134	569	1329
135	573	1325
136	577	1319
137	581	1315
138	585	1310
139	589	1306
140	593	1301
141	598	1297
142	601	1292
143	606	1289
144	610	1285
145	612	1276
146	617	1272
147	621	1267
148	625	1263
149	630	1260
150	634	1256
151	638	1251
152	642	1247
153	646	1242
154	650	1238
155	654	1234
156	658	1229
157	662	1225
158	667	1221
159	672	1219
160	679	1219
161	683	1215
162	687	1210
163	692	1208
164	698	1205
165	703	1203
166	708	1200
167	713	1196
168	717	1192
169	721	1188
170	725	1184
171	730	1180
172	736	1179
173	741	1176
174	746	1173
175	750	1169
176	756	1166
177	760	1162
178	765	1158
179	769	1154
180	774	1150
181	778	1146
182	782	1142
183	787	1138
184	792	1135
185	796	1130
186	800	1126
187	805	1121
188	809	1117
