iter	Passed	Remaining
0	6	3103
1	12	2771
2	17	2579
3	22	2499
4	27	2444
5	32	2405
6	37	2395
7	42	2375
8	48	2354
9	53	2338
10	57	2314
11	63	2317
12	68	2313
13	74	2322
14	79	2317
15	85	2310
16	90	2297
17	95	2289
18	100	2278
19	105	2267
20	111	2268
21	115	2255
22	120	2245
23	125	2236
24	130	2224
25	135	2217
26	140	2205
27	145	2197
28	150	2191
29	155	2182
30	161	2183
31	166	2177
32	171	2168
33	176	2161
34	181	2152
35	186	2146
36	192	2150
37	197	2140
38	202	2133
39	207	2125
40	212	2118
41	218	2118
42	223	2112
43	228	2105
44	233	2098
45	238	2090
46	243	2089
47	249	2092
48	254	2084
49	259	2078
50	265	2074
51	271	2075
52	276	2069
53	281	2060
54	286	2056
55	291	2049
56	296	2042
57	301	2037
58	306	2030
59	311	2024
60	316	2018
61	321	2012
62	326	2006
63	332	2004
64	337	1998
65	342	1994
66	348	1991
67	353	1983
68	358	1977
69	363	1971
70	368	1965
71	373	1962
72	378	1955
73	383	1948
74	388	1942
75	393	1936
76	398	1931
77	403	1925
78	408	1919
79	413	1914
80	418	1908
81	424	1903
82	429	1897
83	434	1892
84	439	1887
85	444	1880
86	449	1875
87	454	1869
88	459	1863
89	464	1857
90	469	1850
91	474	1844
92	478	1838
93	483	1832
94	488	1827
95	494	1824
96	500	1819
97	505	1814
98	510	1809
99	515	1804
100	520	1798
101	525	1791
102	530	1786
103	535	1781
104	540	1775
105	545	1769
106	550	1763
107	555	1758
108	559	1751
109	564	1746
110	569	1740
111	575	1735
112	580	1731
113	585	1726
114	590	1721
115	596	1716
116	600	1710
117	606	1705
118	611	1699
119	615	1693
120	620	1688
121	625	1682
122	630	1676
123	635	1671
124	640	1666
125	645	1660
126	651	1656
127	656	1651
128	661	1646
129	666	1640
130	671	1635
131	676	1629
132	681	1625
133	687	1620
134	691	1614
135	696	1609
136	702	1604
137	707	1599
138	713	1595
139	718	1591
140	723	1586
141	729	1581
142	734	1577
143	739	1572
144	745	1568
145	751	1564
146	756	1559
147	762	1555
148	767	1550
149	772	1545
150	778	1541
151	783	1536
152	789	1532
153	794	1527
154	800	1523
155	805	1518
156	811	1513
157	816	1509
158	821	1504
159	826	1498
160	831	1493
161	836	1487
162	841	1482
163	846	1476
164	851	1470
165	856	1465
166	861	1460
167	866	1454
168	871	1449
169	876	1443
170	881	1438
171	886	1432
172	891	1427
173	896	1422
174	901	1417
175	906	1411
176	911	1406
177	916	1401
178	921	1395
179	927	1391
180	932	1385
181	937	1380
182	942	1375
183	948	1370
184	952	1365
185	958	1359
186	962	1354
187	968	1349
188	973	1343
189	978	1338
190	983	1333
191	987	1327
192	992	1322
193	997	1316
194	1002	1311
195	1008	1306
196	1012	1300
197	1018	1296
198	1023	1290
199	1028	1285
200	1033	1280
201	1038	1274
202	1043	1269
203	1048	1264
204	1053	1258
205	1058	1253
206	1063	1247
207	1067	1242
208	1073	1238
209	1078	1232
210	1083	1227
211	1088	1222
212	1093	1216
213	1098	1211
214	1103	1206
215	1108	1200
216	1113	1195
217	1118	1190
218	1124	1186
219	1129	1180
220	1134	1175
221	1139	1170
222	1144	1165
223	1149	1159
224	1154	1154
225	1159	1149
226	1165	1144
227	1169	1139
228	1174	1133
229	1180	1128
230	1184	1123
231	1189	1117
232	1194	1112
233	1199	1107
234	1204	1102
235	1209	1096
236	1214	1091
237	1219	1086
238	1224	1081
239	1229	1075
240	1234	1070
241	1239	1065
242	1244	1060
243	1249	1055
244	1255	1050
245	1260	1045
246	1265	1039
247	1270	1034
248	1275	1029
249	1280	1024
250	1285	1018
251	1289	1013
252	1294	1008
253	1299	1002
254	1304	997
255	1310	993
256	1315	988
257	1320	982
258	1325	977
259	1331	972
260	1336	967
261	1341	962
262	1346	957
263	1351	952
264	1356	947
265	1361	941
266	1366	936
267	1371	931
268	1376	926
269	1381	920
270	1386	915
271	1391	910
272	1396	905
273	1401	900
274	1406	895
275	1411	890
276	1416	884
277	1421	879
278	1426	874
279	1431	869
280	1436	864
281	1441	858
282	1446	853
283	1451	848
284	1456	843
285	1461	838
286	1467	833
287	1472	828
288	1477	823
289	1482	817
290	1487	812
291	1493	807
292	1498	802
293	1503	797
294	1508	792
295	1513	787
296	1518	782
297	1523	777
298	1528	772
299	1533	766
300	1538	761
301	1543	756
302	1548	751
303	1553	745
304	1558	740
305	1563	735
306	1568	730
307	1573	725
308	1578	720
309	1583	715
310	1588	710
311	1593	704
312	1598	699
313	1604	694
314	1609	689
315	1614	684
316	1619	679
317	1624	674
318	1629	669
319	1634	664
320	1639	658
321	1644	653
322	1649	648
323	1654	643
324	1659	638
325	1665	633
326	1670	628
327	1675	623
328	1680	617
329	1685	612
330	1690	607
331	1695	602
332	1700	597
333	1705	592
334	1710	587
335	1716	582
336	1721	577
337	1725	571
338	1730	566
339	1735	561
340	1740	556
341	1745	551
342	1751	546
343	1756	541
344	1760	535
345	1765	530
346	1770	525
347	1776	520
348	1780	515
349	1785	510
350	1790	505
351	1796	500
352	1801	494
353	1806	489
354	1811	484
355	1815	479
356	1820	474
357	1826	469
358	1831	464
359	1836	459
360	1842	454
361	1847	449
362	1852	443
363	1857	438
364	1862	433
365	1868	428
366	1874	423
367	1879	418
368	1884	413
369	1890	408
370	1895	403
371	1900	398
372	1905	393
373	1910	388
374	1915	383
375	1920	378
376	1926	372
377	1931	367
378	1936	362
379	1941	357
380	1946	352
381	1951	347
382	1956	342
383	1961	337
384	1966	332
385	1971	326
386	1976	321
387	1981	316
388	1986	311
389	1991	306
390	1996	301
391	2002	296
392	2006	291
393	2011	285
394	2016	280
395	2022	275
396	2027	270
397	2032	265
398	2037	260
399	2042	255
400	2047	250
401	2052	245
402	2057	239
403	2062	234
404	2067	229
405	2073	224
406	2078	219
407	2083	214
408	2088	209
409	2093	204
410	2098	199
411	2103	194
412	2108	188
413	2113	183
414	2118	178
415	2123	173
416	2128	168
417	2133	163
418	2138	158
419	2143	153
420	2148	147
421	2154	142
422	2159	137
423	2164	132
424	2169	127
425	2174	122
426	2179	117
427	2184	112
428	2189	107
429	2194	102
430	2199	96
431	2204	91
432	2209	86
433	2214	81
434	2219	76
435	2224	71
436	2230	66
437	2235	61
438	2240	56
439	2245	51
440	2250	45
441	2254	40
442	2259	35
443	2264	30
444	2269	25
445	2275	20
446	2279	15
447	2284	10
448	2289	5
449	2294	0
