iter	Passed	Remaining
0	5	2594
1	10	2429
2	15	2373
3	20	2331
4	26	2362
5	32	2417
6	38	2438
7	44	2474
8	50	2478
9	55	2463
10	61	2444
11	66	2414
12	70	2384
13	76	2372
14	80	2344
15	86	2343
16	91	2338
17	96	2324
18	101	2307
19	106	2289
20	111	2280
21	116	2273
22	121	2261
23	126	2251
24	131	2240
25	136	2228
26	141	2219
27	146	2202
28	151	2199
29	156	2188
30	162	2189
31	167	2192
32	173	2190
33	178	2188
34	184	2185
35	189	2181
36	197	2200
37	202	2195
38	207	2187
39	212	2175
40	217	2168
41	222	2157
42	227	2149
43	231	2139
44	236	2130
45	241	2122
46	246	2113
47	251	2108
48	256	2101
49	262	2096
50	266	2088
51	272	2081
52	276	2073
53	281	2065
54	286	2058
55	291	2050
56	297	2051
57	302	2043
58	307	2036
59	312	2028
60	317	2022
61	322	2017
62	327	2009
63	332	2002
64	337	1997
65	342	1994
66	347	1988
67	353	1983
68	358	1980
69	364	1979
70	369	1970
71	374	1964
72	379	1957
73	383	1950
74	388	1944
75	394	1939
76	398	1932
77	403	1926
78	408	1919
79	414	1916
80	419	1910
81	424	1904
82	429	1899
83	434	1892
84	439	1886
85	445	1884
86	449	1877
87	455	1871
88	459	1864
89	464	1858
90	470	1855
91	474	1848
92	480	1842
93	484	1836
94	489	1830
95	494	1824
96	499	1818
97	504	1812
98	509	1805
99	514	1799
100	518	1793
101	523	1787
102	529	1782
103	533	1776
104	538	1770
105	543	1764
106	548	1759
107	553	1753
108	558	1746
109	563	1741
110	568	1734
111	572	1728
112	578	1724
113	582	1718
114	587	1712
115	592	1707
116	597	1701
117	602	1694
118	608	1691
119	613	1685
120	617	1679
121	622	1674
122	627	1669
123	632	1663
124	638	1659
125	644	1656
126	649	1652
127	655	1648
128	660	1643
129	665	1637
130	670	1632
131	675	1627
132	680	1621
133	685	1616
134	690	1611
135	696	1607
136	700	1601
137	705	1595
138	710	1589
139	715	1584
140	720	1579
141	725	1574
142	730	1568
143	735	1563
144	740	1557
145	746	1553
146	751	1548
147	756	1542
148	760	1537
149	766	1532
150	771	1527
151	776	1521
152	781	1516
153	785	1510
154	790	1504
155	795	1499
156	801	1495
157	806	1489
158	811	1484
159	816	1479
160	821	1474
161	826	1469
162	831	1463
163	835	1457
164	841	1452
165	845	1446
166	850	1441
167	855	1436
168	860	1430
169	866	1426
170	871	1421
171	876	1416
172	881	1411
173	886	1405
174	891	1400
175	895	1394
176	900	1389
177	905	1383
178	910	1378
179	914	1372
180	920	1368
181	925	1362
182	930	1357
183	935	1352
184	940	1347
185	945	1341
186	950	1336
187	955	1330
188	960	1326
189	965	1321
190	970	1315
191	975	1310
192	980	1305
193	984	1299
194	989	1294
195	994	1288
196	999	1283
197	1004	1278
198	1009	1273
199	1014	1267
200	1018	1262
201	1024	1257
202	1028	1251
203	1033	1246
204	1038	1241
205	1043	1236
206	1048	1231
207	1053	1226
208	1058	1221
209	1063	1215
210	1068	1210
211	1074	1206
212	1080	1202
213	1086	1198
214	1091	1193
215	1097	1188
216	1101	1183
217	1107	1178
218	1113	1174
219	1119	1170
220	1124	1165
221	1129	1160
222	1134	1154
223	1139	1149
224	1143	1143
225	1148	1138
226	1153	1133
227	1158	1128
228	1163	1122
229	1168	1117
230	1173	1112
231	1178	1107
232	1183	1101
233	1188	1096
234	1193	1091
235	1198	1086
236	1203	1081
237	1208	1076
238	1213	1070
239	1217	1065
240	1222	1060
241	1227	1055
242	1233	1050
243	1238	1045
244	1243	1040
245	1248	1035
246	1253	1030
247	1257	1024
248	1262	1019
249	1267	1014
250	1272	1008
251	1277	1003
252	1282	998
253	1287	993
254	1292	988
255	1297	983
256	1302	978
257	1307	973
258	1312	967
259	1317	962
260	1322	957
261	1327	952
262	1331	947
263	1336	941
264	1341	936
265	1346	931
266	1351	926
267	1356	920
268	1361	916
269	1366	910
270	1371	906
271	1376	900
272	1381	895
273	1386	890
274	1391	885
275	1396	880
276	1400	874
277	1405	869
278	1410	864
279	1415	859
280	1420	854
281	1425	849
282	1430	844
283	1435	839
284	1440	833
285	1445	829
286	1451	824
287	1456	819
288	1462	814
289	1467	809
290	1471	804
291	1477	799
292	1482	794
293	1488	790
294	1494	785
295	1500	780
296	1507	776
297	1511	771
298	1516	765
299	1522	761
300	1527	755
301	1532	750
302	1537	745
303	1542	740
304	1547	735
305	1551	730
306	1556	725
307	1562	720
308	1568	715
309	1572	710
310	1577	705
311	1582	700
312	1587	694
313	1592	689
314	1597	684
315	1602	679
316	1607	674
317	1612	669
318	1617	664
319	1622	659
320	1627	653
321	1632	649
322	1637	643
323	1643	639
324	1648	634
325	1653	628
326	1658	623
327	1662	618
328	1667	613
329	1672	608
330	1677	603
331	1682	597
332	1687	592
333	1692	587
334	1698	583
335	1703	577
336	1708	572
337	1712	567
338	1717	562
339	1722	557
340	1727	552
341	1733	547
342	1738	542
343	1743	537
344	1748	532
345	1753	527
346	1758	521
347	1763	516
348	1768	511
349	1773	506
350	1778	501
351	1783	496
352	1788	491
353	1793	486
354	1798	481
355	1803	476
356	1808	471
357	1813	465
358	1818	460
359	1823	455
360	1827	450
361	1833	445
362	1837	440
363	1842	435
364	1847	430
365	1853	425
366	1858	420
367	1863	415
368	1868	410
369	1873	405
370	1878	400
371	1883	394
372	1888	389
373	1893	384
374	1898	379
375	1902	374
376	1907	369
377	1912	364
378	1917	359
379	1921	354
380	1926	348
381	1931	343
382	1936	338
383	1940	333
384	1945	328
385	1950	323
386	1955	318
387	1960	313
388	1964	308
389	1969	303
390	1974	297
391	1980	292
392	1985	287
393	1989	282
394	1994	277
395	1999	272
396	2004	267
397	2009	262
398	2014	257
399	2019	252
400	2024	247
401	2029	242
402	2034	237
403	2038	232
404	2043	227
405	2048	222
406	2053	216
407	2058	211
408	2063	206
409	2069	201
410	2075	196
411	2080	191
412	2085	186
413	2090	181
414	2095	176
415	2100	171
416	2105	166
417	2110	161
418	2115	156
419	2120	151
420	2124	146
421	2129	141
422	2134	136
423	2139	131
424	2145	126
425	2149	121
426	2154	116
427	2159	111
428	2164	105
429	2169	100
430	2174	95
431	2179	90
432	2185	85
433	2190	80
434	2195	75
435	2199	70
436	2204	65
437	2209	60
438	2214	55
439	2219	50
440	2224	45
441	2229	40
442	2234	35
443	2239	30
444	2245	25
445	2249	20
446	2254	15
447	2259	10
448	2264	5
449	2269	0
