iter	Passed	Remaining
0	5	2339
1	9	2107
2	13	2081
3	18	2016
4	23	2078
5	31	2329
6	37	2359
7	43	2414
8	48	2399
9	53	2356
10	57	2303
11	61	2254
12	66	2246
13	71	2225
14	75	2176
15	79	2155
16	83	2126
17	87	2090
18	90	2057
19	94	2024
20	97	1998
21	101	1973
22	104	1947
23	108	1924
24	112	1906
25	115	1889
26	120	1883
27	124	1869
28	128	1865
29	132	1853
30	136	1851
31	140	1833
32	143	1816
33	148	1812
34	151	1797
35	155	1783
36	158	1772
37	162	1762
38	165	1748
39	170	1742
40	173	1730
41	177	1723
42	180	1712
43	184	1705
44	189	1701
45	192	1692
46	196	1683
47	199	1673
48	203	1666
49	207	1658
50	211	1656
51	215	1650
52	219	1643
53	222	1634
54	226	1627
55	230	1618
56	233	1613
57	237	1605
58	240	1596
59	244	1588
60	247	1580
61	251	1576
62	255	1570
63	259	1565
64	263	1558
65	267	1554
66	270	1547
67	274	1539
68	278	1535
69	281	1528
70	284	1520
71	288	1515
72	292	1510
73	296	1505
74	299	1498
75	303	1492
76	307	1487
77	311	1483
78	315	1481
79	319	1475
80	323	1472
81	326	1465
82	329	1458
83	333	1452
84	336	1446
85	340	1440
86	343	1434
87	347	1429
88	351	1423
89	354	1418
90	358	1412
91	361	1406
92	364	1400
93	368	1394
94	371	1388
95	374	1382
96	378	1377
97	381	1371
98	385	1366
99	389	1361
100	392	1356
101	396	1352
102	399	1346
103	403	1342
104	406	1337
105	410	1332
106	414	1328
107	417	1323
108	421	1318
109	425	1313
110	428	1308
111	432	1304
112	436	1300
113	439	1296
114	444	1293
115	447	1289
116	451	1283
117	454	1279
118	458	1274
119	461	1269
120	465	1265
121	469	1261
122	472	1257
123	476	1252
124	480	1248
125	483	1243
126	487	1239
127	490	1235
128	494	1230
129	498	1226
130	501	1221
131	505	1217
132	508	1212
133	512	1207
134	515	1203
135	519	1199
136	523	1195
137	526	1191
138	530	1186
139	534	1182
140	537	1178
141	541	1174
142	544	1169
143	548	1165
144	552	1161
145	555	1157
146	559	1152
147	562	1148
148	566	1143
149	570	1140
150	573	1136
151	577	1132
152	581	1128
153	586	1126
154	589	1122
155	593	1117
156	596	1113
157	600	1109
158	604	1105
159	607	1101
160	611	1097
161	615	1093
162	618	1089
163	622	1085
164	625	1080
165	629	1076
166	633	1073
167	636	1069
168	640	1065
169	644	1061
170	648	1057
171	652	1054
172	656	1050
173	659	1046
174	663	1041
175	666	1037
176	670	1033
177	674	1030
178	677	1026
179	681	1022
180	685	1018
181	688	1014
182	692	1010
183	696	1006
184	700	1003
185	704	999
186	707	995
187	711	991
188	715	987
189	718	983
190	722	979
191	725	975
192	729	971
193	732	967
194	736	963
195	740	959
196	744	955
197	747	951
198	751	947
199	755	944
200	759	940
201	762	936
202	766	932
203	769	928
204	773	924
205	777	920
206	780	916
207	784	912
208	789	909
209	792	905
210	796	901
211	799	898
212	803	893
213	806	889
214	810	886
215	814	882
216	817	878
217	822	874
218	825	870
219	829	867
220	833	864
221	837	859
222	840	855
223	844	851
224	848	848
225	852	844
226	856	840
227	859	836
228	863	833
229	867	829
230	870	825
231	874	821
232	878	818
233	882	814
234	885	810
235	889	806
236	892	802
237	896	798
238	900	794
239	904	791
240	907	787
241	911	783
242	915	779
243	919	775
244	923	772
245	926	768
246	930	764
247	933	760
248	937	756
249	940	752
250	944	748
251	947	744
252	951	740
253	955	736
254	958	733
255	962	729
256	965	725
257	970	721
258	973	718
259	977	714
260	981	710
261	984	706
262	988	703
263	992	699
264	995	695
265	999	691
266	1003	687
267	1006	683
268	1010	679
269	1013	675
270	1017	672
271	1021	668
272	1025	664
273	1028	660
274	1032	656
275	1036	653
276	1039	649
277	1043	645
278	1047	642
279	1051	638
280	1055	634
281	1058	630
282	1062	626
283	1065	623
284	1069	619
285	1073	615
286	1077	611
287	1080	607
288	1083	603
289	1087	600
290	1091	596
291	1095	592
292	1098	588
293	1102	585
294	1105	581
295	1109	577
296	1113	573
297	1117	570
298	1121	566
299	1125	562
300	1129	559
301	1133	555
302	1137	552
303	1142	548
304	1146	545
305	1150	541
306	1153	537
307	1157	533
308	1160	529
309	1165	526
310	1171	523
311	1176	520
312	1180	516
313	1184	513
314	1188	509
315	1191	505
316	1195	501
317	1199	497
318	1203	494
319	1206	490
320	1211	486
321	1214	482
322	1218	479
323	1222	475
324	1226	471
325	1230	467
326	1233	464
327	1237	460
328	1241	456
329	1245	452
330	1249	449
331	1253	445
332	1257	441
333	1261	438
334	1265	434
335	1269	430
336	1273	426
337	1276	423
338	1280	419
339	1284	415
340	1288	411
341	1292	408
342	1296	404
343	1300	400
344	1305	397
345	1309	393
346	1314	390
347	1318	386
348	1323	382
349	1326	379
350	1330	375
351	1334	371
352	1338	367
353	1342	364
354	1346	360
355	1350	356
356	1354	352
357	1357	348
358	1361	345
359	1364	341
360	1368	337
361	1371	333
362	1375	329
363	1378	325
364	1382	321
365	1386	318
366	1390	314
367	1393	310
368	1397	306
369	1401	303
370	1405	299
371	1409	295
372	1413	291
373	1416	287
374	1420	284
375	1423	280
376	1427	276
377	1431	272
378	1434	268
379	1438	264
380	1441	261
381	1445	257
382	1449	253
383	1453	249
384	1457	246
385	1461	242
386	1464	238
387	1468	234
388	1472	230
389	1475	226
390	1479	223
391	1483	219
392	1486	215
393	1490	211
394	1494	208
395	1497	204
396	1500	200
397	1504	196
398	1508	192
399	1512	189
400	1516	185
401	1519	181
402	1523	177
403	1526	173
404	1530	170
405	1533	166
406	1538	162
407	1541	158
408	1545	154
409	1548	151
410	1553	147
411	1557	143
412	1561	139
413	1564	136
414	1568	132
415	1572	128
416	1576	124
417	1580	120
418	1583	117
419	1587	113
420	1591	109
421	1594	105
422	1598	102
423	1602	98
424	1605	94
425	1609	90
426	1613	86
427	1618	83
428	1622	79
429	1625	75
430	1629	71
431	1633	68
432	1637	64
433	1640	60
434	1644	56
435	1648	52
436	1652	49
437	1655	45
438	1659	41
439	1663	37
440	1667	34
441	1670	30
442	1675	26
443	1678	22
444	1683	18
445	1686	15
446	1690	11
447	1693	7
448	1697	3
449	1700	0
