iter	Passed	Remaining
0	5	2421
1	9	2137
2	13	2082
3	18	2095
4	23	2055
5	27	2021
6	31	1992
7	35	1968
8	39	1954
9	43	1927
10	48	1920
11	52	1899
12	56	1896
13	60	1883
14	64	1878
15	69	1885
16	73	1880
17	77	1865
18	82	1862
19	86	1849
20	90	1843
21	94	1833
22	98	1833
23	103	1837
24	107	1834
25	113	1844
26	117	1844
27	121	1837
28	126	1830
29	130	1823
30	134	1816
31	138	1812
32	142	1804
33	147	1800
34	151	1800
35	156	1797
36	160	1788
37	164	1784
38	168	1776
39	172	1772
40	176	1763
41	181	1759
42	185	1751
43	189	1747
44	193	1742
45	197	1736
46	202	1732
47	206	1727
48	210	1721
49	214	1716
50	218	1709
51	222	1705
52	226	1700
53	231	1696
54	235	1690
55	240	1691
56	244	1687
57	248	1681
58	253	1679
59	258	1677
60	262	1672
61	266	1666
62	270	1661
63	275	1659
64	279	1656
65	283	1652
66	288	1649
67	292	1644
68	297	1640
69	301	1637
70	306	1633
71	310	1629
72	314	1623
73	318	1620
74	323	1615
75	327	1609
76	331	1606
77	335	1601
78	340	1597
79	344	1593
80	348	1588
81	352	1584
82	357	1580
83	361	1575
84	365	1570
85	370	1567
86	374	1562
87	379	1559
88	383	1555
89	387	1550
90	391	1545
91	396	1541
92	400	1538
93	404	1532
94	408	1528
95	413	1524
96	417	1519
97	421	1515
98	425	1510
99	430	1506
100	433	1498
101	438	1495
102	442	1490
103	447	1487
104	451	1483
105	455	1479
106	460	1475
107	466	1477
108	470	1472
109	475	1468
110	479	1464
111	483	1460
112	488	1455
113	492	1450
114	496	1447
115	502	1446
116	506	1441
117	510	1436
118	514	1432
119	519	1427
120	523	1422
121	527	1418
122	530	1409
123	534	1405
124	538	1400
125	543	1397
126	547	1392
127	551	1388
128	555	1383
129	560	1379
130	565	1376
131	569	1372
132	573	1367
133	578	1363
134	583	1361
135	587	1356
136	592	1354
137	596	1349
138	601	1345
139	605	1339
140	609	1335
141	614	1333
142	619	1328
143	623	1324
144	627	1320
145	632	1316
146	636	1312
147	641	1308
148	645	1303
149	650	1300
150	654	1295
151	658	1291
152	663	1287
153	667	1282
154	671	1277
155	675	1273
156	681	1271
157	686	1267
158	690	1263
159	694	1259
160	699	1254
161	703	1250
162	707	1245
163	711	1241
164	716	1237
165	721	1233
166	726	1230
167	729	1225
168	734	1220
169	738	1215
170	743	1212
171	747	1208
172	751	1204
173	756	1199
174	760	1195
175	765	1191
176	770	1187
177	774	1184
178	780	1181
179	784	1176
180	788	1171
181	792	1167
182	796	1162
183	801	1158
184	805	1153
185	809	1148
186	814	1145
187	818	1140
188	822	1136
189	827	1131
190	831	1127
191	835	1122
192	839	1117
193	843	1113
194	848	1109
195	852	1104
196	856	1099
197	860	1095
198	864	1090
199	868	1085
200	873	1081
201	877	1076
202	881	1072
203	885	1067
204	890	1063
205	894	1059
206	898	1054
207	903	1051
208	907	1046
209	912	1042
210	916	1038
211	920	1033
212	925	1029
213	929	1024
214	935	1022
215	940	1019
216	945	1015
217	949	1010
218	954	1006
219	959	1002
220	963	998
221	967	993
222	971	989
223	976	985
224	980	980
225	984	976
226	989	972
227	993	967
228	998	963
229	1002	958
230	1007	954
231	1011	950
232	1015	945
233	1019	941
234	1049	959
235	1070	970
236	1080	970
237	1084	966
238	1094	965
239	1104	966
240	1108	961
241	1113	956
242	1118	952
243	1122	947
244	1126	942
245	1131	938
246	1136	933
247	1139	928
248	1144	923
249	1149	919
250	1154	915
251	1159	910
252	1163	906
253	1167	901
254	1172	896
255	1176	891
256	1180	886
257	1184	881
258	1189	876
259	1193	872
260	1197	867
261	1201	862
262	1206	857
263	1210	853
264	1215	848
265	1220	844
266	1224	839
267	1229	834
268	1233	830
269	1238	825
270	1242	820
271	1246	815
272	1250	811
273	1255	806
274	1260	802
275	1265	797
276	1270	793
277	1275	788
278	1279	784
279	1284	780
280	1289	775
281	1294	771
282	1298	766
283	1303	762
284	1308	757
285	1313	753
286	1318	748
287	1323	744
288	1328	740
289	1336	737
290	1341	732
291	1347	728
292	1353	725
293	1358	720
294	1363	716
295	1369	712
296	1374	708
297	1379	703
298	1385	699
299	1390	695
300	1395	690
301	1400	686
302	1404	681
303	1408	676
304	1413	671
305	1417	667
306	1421	662
307	1426	657
308	1430	652
309	1435	648
310	1441	644
311	1445	639
312	1449	634
313	1453	629
314	1458	624
315	1463	620
316	1468	616
317	1474	611
318	1479	607
319	1484	602
320	1488	598
321	1492	593
322	1497	588
323	1502	584
324	1507	579
325	1513	575
326	1518	571
327	1522	566
328	1526	561
329	1531	556
330	1535	551
331	1540	547
332	1543	542
333	1548	537
334	1553	533
335	1557	528
336	1562	523
337	1566	519
338	1570	514
339	1576	509
340	1580	505
341	1584	500
342	1589	495
343	1593	491
344	1598	486
345	1602	481
346	1607	477
347	1611	472
348	1616	467
349	1620	462
350	1624	458
351	1628	453
352	1633	448
353	1638	444
354	1643	439
355	1648	435
356	1652	430
357	1657	425
358	1661	421
359	1665	416
360	1669	411
361	1673	406
362	1678	402
363	1682	397
364	1687	393
365	1692	388
366	1696	383
367	1701	379
368	1706	374
369	1710	369
370	1714	365
371	1718	360
372	1723	355
373	1727	350
374	1731	346
375	1735	341
376	1739	336
377	1743	332
378	1748	327
379	1752	322
380	1757	318
381	1762	313
382	1767	309
383	1771	304
384	1775	299
385	1780	295
386	1785	290
387	1789	285
388	1794	281
389	1798	276
390	1803	272
391	1807	267
392	1811	262
393	1815	258
394	1820	253
395	1824	248
396	1828	244
397	1833	239
398	1838	234
399	1842	230
400	1846	225
401	1850	220
402	1855	216
403	1860	211
404	1864	207
405	1870	202
406	1874	198
407	1878	193
408	1883	188
409	1887	184
410	1891	179
411	1896	174
412	1900	170
413	1904	165
414	1908	160
415	1913	156
416	1918	151
417	1924	147
418	1928	142
419	1932	138
420	1937	133
421	1942	128
422	1946	124
423	1950	119
424	1954	114
425	1959	110
426	1964	105
427	1969	101
428	1973	96
429	1977	91
430	1982	87
431	1987	82
432	1991	78
433	1995	73
434	1999	68
435	2003	64
436	2007	59
437	2012	55
438	2017	50
439	2022	45
440	2026	41
441	2030	36
442	2034	32
443	2039	27
444	2043	22
445	2047	18
446	2052	13
447	2056	9
448	2061	4
449	2065	0
