iter	Passed	Remaining
0	4	1966
1	8	1834
2	12	1811
3	15	1761
4	19	1740
5	23	1715
6	26	1695
7	30	1685
8	34	1685
9	38	1683
10	42	1676
11	45	1673
12	49	1666
13	53	1661
14	57	1655
15	60	1649
16	64	1639
17	68	1635
18	72	1646
19	76	1653
20	81	1662
21	85	1667
22	89	1663
23	94	1669
24	99	1688
25	103	1688
26	107	1685
27	111	1681
28	115	1680
29	120	1685
30	124	1678
31	127	1670
32	132	1671
33	136	1665
34	139	1659
35	143	1654
36	147	1647
37	152	1648
38	155	1643
39	160	1644
40	164	1640
41	168	1633
42	172	1629
43	176	1632
44	181	1633
45	185	1629
46	189	1621
47	192	1615
48	197	1616
49	201	1615
50	205	1610
51	209	1605
52	213	1597
53	216	1591
54	220	1585
55	224	1580
56	228	1575
57	232	1570
58	236	1564
59	239	1559
60	243	1555
61	247	1549
62	251	1543
63	255	1538
64	258	1533
65	262	1528
66	266	1521
67	270	1517
68	273	1511
69	277	1507
70	281	1503
71	285	1501
72	289	1496
73	293	1492
74	297	1486
75	301	1482
76	304	1476
77	308	1471
78	313	1470
79	317	1468
80	321	1464
81	325	1459
82	329	1458
83	333	1453
84	337	1447
85	340	1442
86	344	1438
87	348	1432
88	352	1429
89	356	1424
90	360	1423
91	364	1418
92	368	1412
93	372	1411
94	376	1408
95	380	1403
96	384	1399
97	388	1395
98	392	1389
99	395	1385
100	399	1380
101	404	1379
102	408	1374
103	411	1370
104	415	1365
105	419	1360
106	423	1356
107	426	1351
108	431	1349
109	435	1345
110	439	1341
111	442	1336
112	446	1331
113	450	1327
114	454	1324
115	458	1319
116	462	1315
117	466	1311
118	469	1307
119	473	1303
120	477	1298
121	481	1294
122	485	1290
123	489	1286
124	493	1283
125	497	1278
126	500	1273
127	504	1269
128	508	1265
129	512	1260
130	516	1256
131	519	1252
132	523	1248
133	527	1244
134	531	1239
135	534	1235
136	538	1230
137	542	1226
138	546	1222
139	550	1218
140	554	1214
141	557	1209
142	561	1205
143	565	1200
144	568	1196
145	572	1192
146	576	1187
147	579	1183
148	583	1179
149	587	1175
150	591	1171
151	595	1167
152	599	1162
153	602	1158
154	606	1154
155	610	1150
156	614	1146
157	617	1141
158	621	1137
159	625	1133
160	629	1129
161	632	1125
162	636	1120
163	640	1116
164	644	1112
165	648	1109
166	652	1105
167	656	1101
168	659	1097
169	663	1093
170	668	1090
171	672	1086
172	676	1083
173	680	1078
174	683	1074
175	687	1070
176	691	1066
177	695	1063
178	699	1059
179	703	1055
180	707	1051
181	711	1047
182	714	1043
183	719	1039
184	722	1035
185	726	1031
186	730	1027
187	734	1023
188	737	1018
189	741	1015
190	745	1010
191	749	1006
192	753	1002
193	756	998
194	760	994
195	764	990
196	767	986
197	771	981
198	775	977
199	778	973
200	782	969
201	786	965
202	789	961
203	793	956
204	797	952
205	801	948
206	804	944
207	808	940
208	812	936
209	816	932
210	819	928
211	824	925
212	827	920
213	831	916
214	835	913
215	839	909
216	842	905
217	846	901
218	850	897
219	854	893
220	858	889
221	861	885
222	865	881
223	869	876
224	873	873
225	876	868
226	880	864
227	883	860
228	887	856
229	891	852
230	895	848
231	899	844
232	902	840
233	906	836
234	910	832
235	913	828
236	917	824
237	921	820
238	924	816
239	928	812
240	933	809
241	936	805
242	940	801
243	944	797
244	948	793
245	951	789
246	955	785
247	959	781
248	963	778
249	967	774
250	971	770
251	975	766
252	979	762
253	983	758
254	987	754
255	990	750
256	994	746
257	998	743
258	1002	739
259	1005	735
260	1009	731
261	1013	727
262	1017	723
263	1021	719
264	1024	715
265	1028	711
266	1032	707
267	1036	704
268	1040	700
269	1044	696
270	1048	692
271	1051	688
272	1055	684
273	1059	680
274	1063	676
275	1067	672
276	1071	669
277	1076	665
278	1081	662
279	1086	659
280	1091	656
281	1095	652
282	1099	648
283	1103	644
284	1107	640
285	1110	636
286	1114	632
287	1118	629
288	1122	625
289	1127	621
290	1131	617
291	1134	613
292	1138	610
293	1142	606
294	1147	602
295	1151	598
296	1155	595
297	1160	591
298	1165	588
299	1169	584
300	1173	581
301	1177	577
302	1181	573
303	1184	569
304	1188	565
305	1192	561
306	1196	557
307	1200	553
308	1205	549
309	1209	546
310	1213	542
311	1218	538
312	1222	535
313	1226	531
314	1230	527
315	1234	523
316	1238	519
317	1243	516
318	1247	512
319	1250	508
320	1254	504
321	1257	500
322	1261	496
323	1265	492
324	1269	488
325	1273	484
326	1276	480
327	1280	476
328	1283	472
329	1288	468
330	1291	464
331	1295	460
332	1299	456
333	1303	452
334	1307	448
335	1311	444
336	1314	440
337	1318	436
338	1323	433
339	1327	429
340	1330	425
341	1334	421
342	1338	417
343	1342	413
344	1346	409
345	1350	405
346	1354	401
347	1358	398
348	1361	394
349	1365	390
350	1369	386
351	1373	382
352	1378	378
353	1382	374
354	1386	370
355	1390	367
356	1394	363
357	1398	359
358	1402	355
359	1406	351
360	1410	347
361	1414	343
362	1418	339
363	1422	335
364	1425	332
365	1429	328
366	1433	324
367	1437	320
368	1441	316
369	1445	312
370	1448	308
371	1453	304
372	1458	300
373	1461	297
374	1465	293
375	1469	289
376	1473	285
377	1478	281
378	1482	277
379	1485	273
380	1489	269
381	1493	265
382	1497	261
383	1501	257
384	1504	254
385	1508	250
386	1511	246
387	1515	242
388	1519	238
389	1523	234
390	1526	230
391	1530	226
392	1534	222
393	1538	218
394	1541	214
395	1545	210
396	1549	206
397	1553	202
398	1556	198
399	1560	195
400	1564	191
401	1568	187
402	1571	183
403	1575	179
404	1579	175
405	1583	171
406	1587	167
407	1590	163
408	1594	159
409	1598	155
410	1602	152
411	1606	148
412	1611	144
413	1614	140
414	1618	136
415	1622	132
416	1626	128
417	1630	124
418	1633	120
419	1637	116
420	1641	113
421	1645	109
422	1649	105
423	1653	101
424	1657	97
425	1661	93
426	1666	89
427	1670	85
428	1673	81
429	1677	78
430	1681	74
431	1686	70
432	1690	66
433	1694	62
434	1697	58
435	1701	54
436	1705	50
437	1709	46
438	1712	42
439	1717	39
440	1720	35
441	1724	31
442	1729	27
443	1733	23
444	1736	19
445	1740	15
446	1744	11
447	1747	7
448	1751	3
449	1755	0
