iter	Passed	Remaining
0	6	2994
1	11	2625
2	16	2505
3	22	2508
4	27	2443
5	32	2406
6	37	2361
7	42	2357
8	47	2346
9	52	2317
10	57	2314
11	63	2302
12	67	2283
13	73	2278
14	77	2260
15	83	2255
16	88	2249
17	93	2241
18	98	2237
19	103	2223
20	108	2214
21	113	2213
22	118	2209
23	124	2209
24	129	2202
25	134	2191
26	139	2185
27	144	2181
28	149	2171
29	154	2160
30	159	2150
31	164	2142
32	168	2132
33	173	2127
34	178	2118
35	183	2110
36	189	2109
37	193	2102
38	199	2098
39	204	2091
40	208	2083
41	213	2077
42	218	2069
43	223	2064
44	228	2058
45	233	2050
46	238	2046
47	243	2043
48	248	2035
49	253	2030
50	258	2024
51	263	2018
52	268	2010
53	273	2005
54	278	1999
55	283	1993
56	288	1987
57	292	1979
58	297	1974
59	302	1969
60	307	1962
61	313	1958
62	318	1954
63	323	1949
64	328	1947
65	333	1942
66	338	1935
67	343	1928
68	348	1923
69	354	1922
70	359	1917
71	364	1911
72	369	1906
73	374	1900
74	379	1895
75	383	1888
76	388	1882
77	393	1877
78	398	1871
79	403	1866
80	408	1859
81	414	1858
82	419	1855
83	424	1849
84	429	1844
85	435	1843
86	440	1836
87	445	1831
88	450	1825
89	454	1819
90	460	1815
91	465	1809
92	470	1804
93	475	1798
94	480	1793
95	485	1788
96	489	1783
97	495	1778
98	500	1773
99	505	1767
100	510	1762
101	515	1757
102	520	1751
103	525	1746
104	530	1741
105	535	1738
106	540	1733
107	545	1728
108	551	1725
109	556	1720
110	561	1715
111	566	1711
112	571	1705
113	576	1699
114	581	1694
115	586	1688
116	591	1684
117	596	1679
118	601	1674
119	606	1668
120	611	1663
121	616	1658
122	622	1653
123	627	1648
124	632	1644
125	637	1640
126	643	1635
127	648	1630
128	653	1625
129	658	1619
130	663	1615
131	668	1611
132	674	1607
133	679	1602
134	684	1597
135	689	1591
136	694	1587
137	699	1581
138	704	1576
139	709	1571
140	714	1565
141	719	1559
142	724	1554
143	728	1549
144	734	1544
145	739	1539
146	744	1533
147	749	1528
148	753	1522
149	759	1519
150	765	1515
151	770	1510
152	775	1505
153	780	1499
154	785	1494
155	790	1489
156	795	1483
157	800	1480
158	805	1474
159	811	1470
160	816	1465
161	821	1461
162	826	1455
163	831	1450
164	836	1444
165	841	1439
166	846	1434
167	851	1429
168	856	1424
169	861	1419
170	867	1414
171	872	1410
172	877	1404
173	882	1400
174	888	1395
175	893	1390
176	898	1385
177	903	1380
178	908	1375
