iter	Passed	Remaining
0	5	2602
1	12	2694
2	17	2537
3	21	2440
4	27	2410
5	32	2387
6	37	2370
7	42	2345
8	47	2321
9	52	2302
10	57	2286
11	62	2278
12	67	2266
13	73	2275
14	78	2277
15	83	2268
16	88	2259
17	94	2259
18	99	2247
19	103	2231
20	108	2224
21	114	2218
22	118	2208
23	124	2203
24	129	2194
25	134	2188
26	139	2182
27	144	2178
28	149	2170
29	154	2161
30	159	2159
31	164	2153
32	169	2144
33	174	2140
34	179	2131
35	184	2123
36	189	2117
37	194	2113
38	200	2109
39	205	2103
40	210	2097
41	215	2097
42	220	2089
43	226	2088
44	231	2082
45	236	2076
46	241	2071
47	246	2064
48	251	2057
49	257	2056
50	261	2048
51	266	2042
52	271	2037
53	276	2029
54	281	2023
55	286	2016
56	291	2010
57	296	2004
58	301	1996
59	306	1992
60	311	1985
61	316	1979
62	321	1975
63	326	1968
64	331	1964
65	336	1956
66	341	1954
67	347	1951
68	352	1945
69	357	1941
70	362	1936
71	367	1929
72	372	1924
73	377	1918
74	382	1913
75	387	1908
76	392	1901
77	397	1897
78	402	1891
79	407	1885
80	413	1881
81	417	1875
82	422	1869
83	427	1864
84	432	1858
85	438	1854
86	442	1848
87	447	1841
88	452	1837
89	457	1831
90	462	1825
91	467	1820
92	473	1816
93	478	1811
94	483	1805
95	488	1802
96	493	1796
97	498	1790
98	503	1785
99	508	1780
100	514	1777
101	519	1772
102	524	1766
103	529	1761
104	534	1756
105	540	1753
106	545	1748
107	550	1742
108	556	1739
109	561	1735
110	566	1729
111	571	1725
112	577	1721
113	582	1715
114	587	1710
115	592	1704
116	597	1700
117	602	1695
118	608	1691
119	613	1686
120	618	1681
121	623	1674
122	628	1670
123	634	1667
124	639	1661
125	644	1656
126	648	1650
127	654	1647
128	659	1642
129	664	1635
130	669	1630
131	674	1625
132	679	1619
133	684	1614
134	689	1608
135	694	1603
136	699	1597
137	703	1591
138	709	1586
139	714	1581
140	719	1576
141	724	1571
142	729	1566
143	735	1561
144	740	1558
145	745	1553
146	751	1548
147	755	1542
148	761	1537
149	765	1531
150	770	1526
151	776	1521
152	780	1515
153	786	1512
154	792	1507
155	796	1501
156	802	1496
157	806	1491
158	812	1486
159	817	1482
160	825	1481
161	831	1477
162	838	1476
163	844	1473
164	852	1472
165	859	1469
166	864	1465
167	871	1463
168	876	1457
169	882	1452
170	886	1446
171	892	1442
172	897	1436
173	902	1431
174	907	1426
175	912	1420
176	917	1415
177	922	1410
178	927	1404
179	932	1399
180	937	1393
181	942	1387
182	947	1382
183	952	1377
184	957	1371
185	962	1366
186	967	1361
187	972	1355
188	977	1349
189	982	1344
190	987	1338
191	992	1333
192	997	1328
193	1002	1322
194	1007	1317
195	1013	1312
196	1018	1307
197	1023	1302
198	1027	1296
199	1033	1291
200	1038	1286
201	1043	1280
202	1048	1276
203	1054	1271
204	1059	1266
205	1064	1261
206	1069	1255
207	1074	1250
208	1080	1245
209	1085	1240
210	1090	1234
211	1095	1229
212	1099	1223
213	1104	1218
214	1109	1212
215	1114	1207
216	1119	1202
217	1124	1196
218	1129	1191
219	1134	1185
220	1139	1180
221	1144	1175
222	1149	1170
223	1154	1164
224	1159	1159
225	1164	1154
226	1169	1149
227	1174	1143
228	1180	1138
229	1184	1133
230	1189	1127
231	1194	1122
232	1200	1117
233	1205	1112
234	1210	1107
235	1215	1102
236	1220	1096
237	1225	1091
238	1230	1086
239	1235	1080
240	1240	1075
241	1245	1070
242	1250	1065
