iter	Passed	Remaining
0	6	2963
1	11	2669
2	17	2551
3	22	2497
4	27	2444
5	32	2387
6	37	2369
7	42	2343
8	47	2321
9	52	2311
10	57	2287
11	62	2279
12	67	2265
13	72	2255
14	77	2255
15	82	2242
16	87	2235
17	92	2230
18	97	2219
19	100	2150
20	104	2143
21	110	2146
22	115	2137
23	120	2131
24	125	2129
25	130	2131
26	135	2130
27	140	2123
28	145	2116
29	150	2112
30	155	2108
31	160	2102
32	165	2097
33	171	2100
34	176	2095
35	181	2089
36	187	2096
37	192	2090
38	197	2083
39	202	2077
40	207	2072
41	213	2073
42	219	2074
43	224	2070
44	230	2071
45	235	2065
46	240	2060
47	246	2061
48	251	2055
49	255	2047
50	261	2042
51	266	2037
52	271	2031
53	276	2025
54	281	2021
55	286	2014
56	291	2009
57	296	2001
58	301	1995
59	306	1989
60	310	1983
61	316	1981
62	321	1974
63	327	1972
64	332	1969
65	337	1962
66	342	1956
67	347	1953
68	352	1948
69	358	1947
70	364	1947
71	369	1940
72	374	1934
73	379	1928
74	385	1926
75	390	1922
76	396	1918
77	401	1912
78	405	1906
79	410	1899
80	415	1894
81	420	1888
82	425	1882
83	430	1877
84	436	1873
85	441	1867
86	446	1861
87	451	1858
88	457	1853
89	462	1850
90	468	1847
91	473	1842
92	479	1838
93	483	1832
94	489	1829
95	494	1823
96	499	1817
97	504	1812
98	509	1805
99	514	1800
100	519	1793
101	524	1788
102	529	1782
103	534	1777
104	539	1772
105	544	1765
106	549	1760
107	554	1754
108	559	1748
109	564	1743
110	568	1737
111	574	1732
112	579	1726
113	583	1720
114	588	1715
115	593	1709
116	599	1705
117	604	1700
118	609	1694
119	614	1689
120	619	1683
121	624	1678
122	630	1675
123	635	1671
124	640	1666
125	646	1661
126	651	1656
127	656	1650
128	661	1645
129	666	1639
130	671	1634
131	676	1629
132	681	1623
133	686	1618
134	691	1612
135	696	1607
136	701	1602
137	706	1596
138	711	1592
139	716	1586
140	721	1581
141	726	1575
142	731	1570
143	736	1565
144	741	1560
145	746	1554
146	751	1549
147	756	1544
148	762	1540
149	767	1534
150	772	1529
151	777	1524
152	782	1518
153	787	1513
154	792	1508
155	797	1502
156	802	1497
157	806	1491
158	812	1486
159	817	1481
160	822	1475
161	827	1470
162	832	1465
163	837	1460
164	842	1455
165	847	1450
166	853	1445
167	858	1440
168	863	1435
169	868	1430
170	873	1425
171	878	1420
172	883	1415
173	889	1410
174	894	1405
175	899	1399
176	904	1394
177	909	1389
178	913	1383
179	919	1379
180	925	1375
181	930	1369
182	935	1364
183	940	1359
184	945	1354
185	950	1349
186	955	1344
187	960	1339
188	966	1334
189	970	1328
190	976	1323
191	981	1318
192	985	1312
193	990	1307
194	995	1302
195	1000	1297
196	1005	1291
197	1010	1286
198	1015	1281
199	1020	1275
200	1025	1270
201	1030	1265
202	1035	1260
203	1040	1255
204	1046	1250
205	1051	1245
206	1056	1239
207	1061	1234
208	1066	1229
209	1071	1224
210	1076	1219
211	1081	1214
212	1086	1209
