iter	Passed	Remaining
0	6	2942
1	11	2665
2	17	2534
3	22	2534
4	27	2477
5	32	2429
6	38	2404
7	42	2371
8	47	2349
9	53	2333
10	58	2321
11	63	2305
12	68	2297
13	73	2281
14	78	2271
15	83	2260
16	88	2261
17	94	2256
18	98	2245
19	104	2237
20	108	2225
21	113	2216
22	119	2214
23	124	2203
24	129	2202
25	134	2194
26	139	2186
27	145	2194
28	150	2186
29	155	2176
30	160	2166
31	165	2155
32	170	2153
33	175	2149
34	180	2141
35	185	2134
36	190	2126
37	196	2127
38	201	2124
39	206	2116
40	211	2107
41	216	2102
42	221	2097
43	226	2092
44	231	2085
45	236	2078
46	241	2071
47	246	2063
48	251	2060
49	257	2058
50	262	2051
51	267	2043
52	272	2037
53	277	2031
54	281	2024
55	286	2017
56	292	2014
57	297	2009
58	302	2002
59	307	1996
60	312	1989
61	316	1983
62	322	1979
63	327	1974
64	332	1970
65	337	1964
66	342	1958
67	347	1952
68	353	1950
69	358	1944
70	363	1938
71	368	1932
72	373	1927
73	378	1922
74	383	1916
75	388	1912
76	393	1907
77	399	1903
78	403	1897
79	408	1891
80	414	1886
81	419	1880
82	424	1875
83	429	1869
84	434	1863
85	439	1859
86	443	1852
87	449	1848
88	455	1846
89	460	1840
90	465	1837
91	470	1831
92	475	1825
93	480	1820
94	485	1814
95	490	1809
96	495	1803
97	500	1797
98	505	1792
99	510	1785
100	515	1781
101	520	1775
102	525	1770
103	530	1765
104	535	1759
105	540	1755
106	545	1749
107	551	1745
108	556	1741
109	561	1735
110	566	1730
111	571	1726
112	576	1719
113	582	1716
114	587	1711
115	592	1704
116	597	1699
117	601	1693
118	606	1688
119	612	1683
120	616	1677
121	621	1671
122	626	1666
123	631	1661
124	637	1656
125	642	1651
126	647	1646
127	652	1640
128	657	1635
129	662	1630
130	667	1624
131	672	1619
132	677	1614
133	682	1608
134	688	1605
135	693	1601
136	698	1595
137	703	1590
138	708	1584
139	713	1579
140	718	1573
141	722	1568
142	728	1563
143	732	1557
144	738	1552
145	742	1547
146	747	1541
147	752	1536
148	757	1530
149	762	1525
150	767	1520
151	773	1515
152	779	1513
153	784	1508
154	789	1502
155	794	1498
156	799	1492
157	804	1487
158	810	1482
159	815	1478
160	820	1473
161	825	1467
162	831	1463
163	836	1458
164	841	1452
165	846	1447
166	851	1442
167	856	1436
168	861	1432
169	866	1427
170	871	1422
171	876	1417
172	881	1411
173	886	1406
174	892	1402
175	897	1396
176	902	1391
177	907	1386
178	912	1381
179	917	1376
180	922	1370
181	927	1366
182	932	1361
183	937	1355
184	942	1350
185	947	1344
186	953	1340
187	958	1335
188	963	1329
189	968	1324
190	973	1319
191	978	1314
192	984	1310
193	988	1304
194	994	1300
195	999	1295
196	1004	1290
197	1009	1285
198	1014	1280
199	1020	1275
200	1025	1270
201	1030	1264
202	1035	1259
203	1040	1255
204	1045	1249
205	1050	1244
206	1055	1239
207	1060	1234
208	1065	1229
209	1071	1224
210	1076	1219
211	1081	1214
212	1086	1209
213	1091	1204
214	1096	1199
215	1101	1193
216	1107	1189
217	1112	1184
218	1117	1178
219	1122	1173
220	1127	1168
221	1133	1163
222	1137	1158
223	1142	1153
224	1148	1148
225	1152	1142
226	1158	1137
227	1163	1132
228	1168	1127
229	1173	1122
230	1178	1117
231	1183	1112
232	1189	1107
233	1194	1102
234	1199	1097
235	1205	1092
236	1210	1087
237	1215	1082
238	1221	1078
239	1226	1073
240	1231	1067
241	1236	1062
242	1240	1057
243	1246	1052
244	1251	1047
245	1256	1042
246	1261	1036
247	1266	1031
248	1272	1026
249	1276	1021
250	1282	1016
251	1287	1011
252	1292	1006
253	1297	1001
254	1302	996
255	1308	991
256	1313	986
257	1318	981
258	1323	975
259	1328	970
260	1333	965
261	1338	960
262	1343	955
263	1348	950
264	1353	945
265	1358	939
266	1363	934
267	1369	930
268	1374	924
269	1379	919
270	1384	914
271	1389	909
272	1395	904
273	1400	899
274	1405	894
275	1410	889
276	1415	884
277	1420	879
278	1425	873
279	1430	868
280	1435	863
281	1440	858
282	1446	853
283	1451	848
284	1456	843
285	1461	838
286	1466	832
287	1471	827
288	1476	822
289	1481	817
290	1486	812
291	1491	807
292	1496	801
293	1501	796
294	1506	791
295	1512	786
296	1517	781
297	1522	776
298	1527	771
299	1532	766
300	1537	760
301	1543	756
302	1548	751
303	1553	746
304	1559	741
305	1564	736
306	1569	731
307	1575	726
308	1580	721
309	1585	716
310	1591	711
311	1596	706
312	1601	700
313	1606	695
314	1611	690
315	1615	685
316	1620	679
317	1626	675
318	1631	669
319	1636	664
320	1641	659
321	1647	654
322	1652	649
323	1658	644
324	1663	639
325	1668	634
326	1673	629
327	1678	624
328	1684	619
329	1689	614
330	1694	609
331	1700	604
332	1704	599
333	1710	593
334	1715	588
335	1721	583
336	1726	578
337	1731	573
338	1736	568
339	1741	563
340	1746	558
341	1751	553
342	1756	548
343	1761	542
344	1766	537
345	1771	532
346	1776	527
347	1782	522
348	1786	517
349	1792	512
350	1798	507
351	1803	501
352	1808	496
353	1813	491
354	1818	486
355	1823	481
356	1828	476
357	1833	471
358	1838	466
359	1843	460
360	1848	455
361	1853	450
362	1859	445
363	1864	440
364	1869	435
365	1874	430
366	1879	425
367	1884	419
368	1890	414
369	1896	410
370	1901	404
371	1906	399
372	1910	394
373	1916	389
374	1922	384
375	1927	379
376	1932	374
377	1937	369
378	1942	363
379	1947	358
380	1952	353
381	1957	348
382	1962	343
383	1967	338
384	1972	333
385	1977	327
386	1982	322
387	1988	317
388	1993	312
389	1998	307
390	2003	302
391	2007	297
392	2012	291
393	2017	286
394	2023	281
395	2028	276
396	2033	271
397	2038	266
398	2043	261
399	2048	256
400	2053	250
401	2058	245
402	2063	240
403	2068	235
404	2073	230
405	2078	225
406	2084	220
407	2088	215
408	2093	209
409	2099	204
410	2104	199
411	2108	194
412	2113	189
413	2119	184
414	2123	179
415	2128	173
416	2134	168
417	2138	163
418	2144	158
419	2149	153
420	2154	148
421	2159	143
422	2165	138
423	2170	133
424	2176	128
425	2180	122
426	2186	117
427	2191	112
428	2196	107
429	2201	102
430	2206	97
431	2211	92
432	2217	87
433	2221	81
434	2227	76
435	2232	71
436	2237	66
437	2242	61
438	2247	56
439	2252	51
440	2257	46
441	2262	40
442	2267	35
443	2273	30
444	2278	25
445	2283	20
446	2288	15
447	2293	10
448	2298	5
449	2303	0
