iter	Passed	Remaining
0	7	3318
1	13	3013
2	18	2726
3	23	2644
4	29	2596
5	34	2547
6	40	2558
7	45	2539
8	50	2492
9	56	2477
10	61	2457
11	66	2439
12	72	2432
13	77	2418
14	83	2417
15	89	2436
16	96	2466
17	102	2450
18	107	2436
19	113	2443
20	121	2476
21	129	2512
22	134	2497
23	139	2481
24	145	2469
25	151	2463
26	156	2455
27	162	2442
28	167	2428
29	172	2419
30	178	2410
31	184	2405
32	189	2395
33	195	2386
34	201	2385
35	206	2373
36	211	2364
37	217	2355
38	222	2343
39	228	2339
40	233	2328
41	238	2318
42	244	2310
43	249	2304
44	254	2292
45	259	2282
46	265	2273
47	270	2266
48	275	2255
49	280	2244
50	286	2237
51	291	2229
52	296	2221
53	301	2214
54	307	2205
55	312	2196
56	317	2188
57	322	2180
58	328	2177
59	333	2170
60	339	2165
61	345	2160
62	350	2152
63	355	2144
64	361	2138
65	366	2134
66	371	2125
67	377	2119
68	382	2112
69	387	2104
70	393	2099
71	398	2093
72	404	2087
73	409	2081
74	414	2071
75	419	2065
76	425	2059
77	430	2052
78	435	2045
79	441	2040
80	446	2032
81	452	2031
82	458	2028
83	464	2025
84	471	2025
85	477	2023
86	484	2021
87	489	2015
88	494	2007
89	500	2001
90	505	1994
91	510	1987
92	516	1982
93	521	1975
94	527	1970
95	532	1964
96	538	1959
97	544	1955
98	551	1954
99	557	1951
100	564	1950
101	569	1944
102	575	1939
103	581	1935
104	589	1935
105	595	1933
106	601	1927
107	607	1922
108	613	1919
109	618	1912
110	624	1906
111	630	1901
112	636	1896
113	641	1889
114	646	1882
115	651	1875
116	656	1869
117	662	1863
118	667	1857
119	673	1852
120	679	1846
121	684	1841
122	691	1837
123	697	1834
124	704	1830
125	710	1826
126	715	1820
127	721	1814
128	726	1807
129	731	1800
130	736	1794
131	741	1787
132	748	1783
133	753	1777
134	759	1771
135	764	1765
136	770	1759
137	775	1752
138	781	1747
139	786	1742
140	792	1736
141	798	1731
142	804	1726
143	809	1720
144	814	1714
145	820	1708
146	825	1701
147	830	1695
148	836	1689
149	841	1682
150	846	1676
151	852	1670
152	857	1664
153	863	1659
154	869	1654
155	875	1649
156	880	1643
157	886	1638
158	892	1633
159	897	1627
160	904	1622
161	910	1618
162	917	1615
163	923	1610
164	929	1606
165	935	1600
166	941	1594
167	947	1590
168	953	1585
169	960	1582
170	966	1576
171	972	1572
172	979	1567
173	985	1563
174	991	1557
175	998	1554
176	1005	1550
177	1010	1544
178	1016	1538
179	1021	1532
180	1028	1527
181	1033	1522
182	1038	1515
183	1044	1509
184	1049	1503
185	1054	1497
186	1060	1491
187	1065	1484
188	1071	1479
189	1076	1473
190	1082	1468
191	1087	1461
192	1093	1456
193	1099	1450
194	1104	1444
195	1110	1439
196	1116	1433
197	1121	1427
198	1127	1421
199	1132	1415
200	1138	1410
201	1143	1403
202	1149	1398
203	1154	1391
204	1159	1385
205	1165	1380
206	1171	1375
207	1177	1369
208	1182	1363
209	1189	1358
210	1194	1353
211	1200	1347
212	1205	1341
213	1211	1336
214	1217	1330
215	1223	1325
216	1229	1320
217	1235	1314
218	1241	1309
219	1246	1303
220	1251	1297
221	1257	1291
222	1263	1286
223	1269	1280
224	1275	1275
225	1281	1269
226	1286	1264
227	1292	1258
228	1297	1252
229	1303	1246
230	1308	1240
231	1313	1234
232	1318	1228
233	1324	1223
234	1330	1217
235	1336	1211
236	1341	1205
237	1347	1199
238	1352	1194
239	1358	1188
240	1363	1182
241	1369	1176
242	1374	1170
243	1379	1164
244	1385	1159
245	1390	1153
246	1396	1147
247	1401	1141
248	1406	1135
249	1412	1129
250	1417	1123
251	1423	1118
252	1428	1112
253	1434	1107
254	1440	1101
255	1445	1095
256	1451	1090
257	1458	1085
258	1463	1079
259	1470	1074
260	1475	1068
261	1482	1063
262	1488	1058
263	1493	1052
264	1500	1047
265	1506	1041
266	1512	1036
267	1518	1031
