iter	Passed	Remaining
0	6	2995
1	11	2607
2	16	2480
3	21	2375
4	26	2337
5	31	2314
6	36	2280
7	41	2268
8	45	2245
9	50	2226
10	55	2230
11	61	2227
12	65	2216
13	70	2207
14	75	2193
15	81	2202
16	85	2190
17	90	2180
18	95	2170
19	100	2165
20	105	2157
21	110	2142
22	115	2136
23	120	2143
24	125	2135
25	130	2127
26	135	2121
27	140	2118
28	145	2109
29	150	2101
30	155	2097
31	159	2085
32	164	2080
33	169	2074
34	174	2065
35	179	2060
36	183	2053
37	189	2053
38	194	2048
39	199	2042
40	204	2041
41	209	2035
42	214	2029
43	219	2029
44	224	2022
45	229	2015
46	234	2008
47	239	2005
48	244	1999
49	249	1992
50	254	1993
51	259	1985
52	264	1980
53	269	1975
54	274	1969
55	279	1964
56	284	1959
57	288	1953
58	293	1947
59	298	1941
60	303	1936
61	308	1928
62	313	1923
63	318	1919
64	323	1913
65	328	1910
66	332	1903
67	337	1897
68	342	1893
69	347	1886
70	352	1881
71	357	1876
72	362	1871
73	367	1867
74	372	1863
75	377	1857
76	382	1854
77	387	1849
78	392	1844
79	397	1838
80	402	1833
81	407	1828
82	412	1822
83	417	1817
84	422	1812
85	427	1809
86	432	1805
87	437	1800
88	442	1795
89	447	1790
90	452	1785
91	457	1780
92	462	1775
93	467	1769
94	472	1765
95	477	1761
96	482	1755
97	487	1750
98	493	1748
99	499	1747
100	504	1741
101	509	1736
102	513	1730
103	519	1726
104	523	1721
105	528	1715
106	533	1711
107	538	1706
108	543	1701
109	548	1696
110	553	1690
111	558	1686
112	563	1680
113	568	1675
114	573	1670
115	578	1665
116	583	1660
117	588	1654
118	593	1649
119	598	1644
120	603	1639
121	608	1635
122	614	1632
123	619	1627
124	623	1622
125	628	1616
126	633	1611
127	638	1606
128	643	1601
129	648	1596
130	653	1590
131	658	1585
132	663	1580
133	668	1576
134	673	1571
135	678	1566
136	683	1561
137	689	1558
138	694	1553
139	699	1547
140	703	1542
141	708	1537
142	713	1532
143	718	1527
144	723	1522
145	728	1517
146	733	1511
147	737	1505
148	742	1500
149	748	1496
150	753	1491
151	758	1486
152	763	1481
153	768	1476
154	773	1472
155	778	1467
156	783	1461
157	788	1457
158	793	1451
159	798	1447
160	803	1442
161	808	1437
162	813	1432
163	819	1428
164	824	1423
165	829	1419
166	834	1414
167	841	1411
168	846	1406
169	850	1401
170	855	1396
171	860	1391
172	865	1386
173	870	1381
174	875	1375
175	880	1370
176	885	1365
177	890	1360
178	895	1355
179	900	1350
180	904	1344
181	909	1339
182	914	1334
183	919	1329
184	924	1324
185	929	1319
186	934	1314
187	940	1310
188	945	1305
189	950	1300
190	955	1295
191	959	1289
192	964	1284
